S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2016-17,Average Fleet Held (Number) - 2017-18,Average Fleet Held (Number) - 2018-19,Average Age of Fleet (Years) - 2016-17,Average Age of Fleet (Years) - 2017-18,Average Age of Fleet (Years) - 2018-19,Staff Strength (Number) - 2016-17,Staff Strength (Number) - 2017-18,Staff Strength (Number) - 2018-19,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2016-17,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2017-18,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2018-19,Passenger Kms Performed (Lakhs) - 2016-17,Passenger Kms Performed (Lakhs) - 2017-18,Passenger Kms Performed (Lakhs) - 2018-19,Passenger Carried (Lakhs) - 2016-17,Passenger Carried (Lakhs) - 2017-18,Passenger Carried (Lakhs) - 2018-19
1,Andhra Pradesh SRTC,12072,11687,11837,5.59,5.56,5.92,56592,54349,53263,5.20,5.23,5.20,530698.24,544387.26,584846.86,24017,24236.00,26020.85
2,Assam STC,1067,1327,1284,7.00,4.37,5.37,3579,3254,3484,3.71,3.70,3.79,6564.13,7569.06,7064.17,174,178.41,185.31
3,Bangalore Metropolitan TC,6270,6394,6675,7.64,6.28,6.60,34306,34114,33878,3.74,3.74,3.74,195775.79,171896.55,174033.58,17611,16425.00,12775.00
4,Bihar SRTC,483,579,579,13.85,14.85,15.00,1244,1170,1090,4.66,4.66,4.66,6463.32,9875.77,14812.00,111,162.00,266.00
5,Delhi TC,4167,3970,3894,7.50,8.10,9.20,27879,25489,24721,NA,NA,NA,116078.85,109766.51,104667.66,11517,10897.91,11004.48
6,Gujarat SRTC,7863,7345,8042,4.74,5.55,5.41,37688,39835,40148,5.42,5.27,5.38,350277.81,358257.06,373846.57,7887,7187.99,7436.94
7,Himachal RTC,3146,3172,3216,4.96,4.35,5.65,9236,9781,10426,3.70,3.71,3.69,64551.08,68523.85,68500.71,0,0.00,0.00
8,Jammu and Kashmir SRTC,529,525,512,10.00,10.00,10.00,2335,2244,2147,4.33,4.28,4.23,4068.34,4232.40,4169.51,42,43.94,43.24
9,Karnataka SRTC ,8212,8563.4,8778.1,5.23,4.71,5.26,37675,38449,38604,4.84,4.84,4.87,338547.87,416388.90,428313.81,9959,10833.98,10986.09
10,Kerala SRTC,5869,5738,5679,6.20,6.32,7.09,43086,40060,33145,4.05,4.08,4.12,294270.00,301791.00,282848.00,10414,10593.00,9524.00
