S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2018-19,Average Fleet Held (Number) - 2017-18,Average Fleet Held (Number) - 2016-17,Average Fleet Operated (Number) - 2018-19,Average Fleet Operated (Number) - 2017-18,Average Fleet Operated (Number) - 2016-17,Fleet Utilisation (%) - 2018-19,Fleet Utilisation (%) - 2017-18,Fleet Utilisation (%) - 2016-17,Avg Age of Fleet (Years) - 2018-19,Avg Age of Fleet (Years) - 2017-18,Avg Age of Fleet (Years) - 2016-17,Over aged vehicles (%) - 2018-19,Over aged vehicles (%) - 2017-18,Over aged vehicles (%) - 2016-17,Fuel Efficiency (Km per Kg of CNG) - 2018-19,Fuel Efficiency (Km per Kg of CNG) - 2017-18,Fuel Efficiency (Km per Kg of CNG) - 2016-17,Fuel Efficiency (Km per litre of HSD) - 2018-19,Fuel Efficiency (Km per litre of HSD) - 2017-18,Fuel Efficiency (Km per litre of HSD) - 2016-17,Effective Kilometres (Lakh) [Revenue Earning Kilometers (Lakh)] - 2018-19,Effective Kilometres (Lakh) [ Revenue Earning Kilometers (Lakh)] - 2017-18,Effective Kilometres (Lakh) [ Revenue Earning Kilometers (Lakh)] - 2016-17,Staff Strength (Number) - 2018-19,Staff Strength (Number) - 2017-18,Staff Strength (Number) - 2016-17,Staff/Bus Ratio - 2018-19,Staff/Bus Ratio - 2017-18,Staff/Bus Ratio - 2016-17,Staff Productivity (Kms/Staff/Day) - 2018-19,Staff Productivity (Kms/Staff/Day) - 2017-18,Staff Productivity (Kms/Staff/Day) - 2016-17,Vehicle Productivity (Kms/Bus/Day) - 2018-19,Vehicle Productivity (Kms/Bus/Day) - 2017-18,Vehicle Productivity (Kms/Bus/Day) - 2016-17,Passenger Kilometres Offered (Lakh) - 2018-19,Passenger Kilometres Offered (Lakh) - 2017-18,Passenger Kilometres Offered (Lakh) - 2016-17,Passenger KMS Performed (Lakh) - 2018-19,Passenger KMS Performed (Lakh) - 2017-18,Passenger KMS Performed (Lakh) - 2016-17,Occupancy Ratio (%) - 2018-19,Occupancy Ratio (%) - 2017-18,Occupancy Ratio (%) - 2016-17,Passengers Carried (Lakh) - 2018-19,Passengers Carried (Lakh) - 2017-18,Passengers Carried (Lakh) - 2016-17,Passengers carried per Bus/Day (Number) - 2018-19,Passengers carried per Bus/Day (Number) - 2017-18,Passengers carried per Bus/Day (Number) - 2016-17
1,Andhra Pradesh SRTC,11837,11687,12072,11803,11644,12031,99.71,99.63,99.66,5.92,5.56,5.59,1.06,1.20,2.33,4.40,4.40,4.57,5.20,5.23,5.20,15762.74,15633.97,16584.57,53263.00,54349.00,56592.00,4.50,4.65,4.69,81.08,78.81,80.29,364.84,366.50,376.38,752197.95,746053.05,791415.68,584846.86,544387.26,530698.24,77.75,72.97,67.06,26020.85,24236.00,24017.00,602.26,568.15,545.06
2,Assam STC,1284,1327,1067,639,634,614,49.77,47.78,57.54,5.37,4.37,7.00,24.17,29.00,12.84,NA,NA,NA,3.79,3.70,3.71,245.83,291.41,266.89,3484.00,3254.00,3579.00,2.71,2.45,3.35,19.33,24.54,20.43,52.45,60.16,68.53,8112.28,9616.39,8807.37,7064.17,7569.06,6564.13,87.08,78.71,74.53,185.31,178.41,173.94,39.54,36.83,44.66
3,Bangalore Metropolitan TC,6675,6394,6270,5615,5598,5579,84.12,87.55,88.98,6.60,6.28,7.64,10.60,16.40,22.70,NA,NA,NA,3.74,3.74,3.74,4152.85,4164.53,4205.20,33878.00,34114.00,34306.00,5.08,5.34,5.47,33.58,33.45,33.58,170.45,178.44,183.75,243772.50,265152.32,284597.48,174033.58,171896.55,195775.79,71.39,64.83,68.79,12775.00,16425.00,17611.25,524.34,703.78,769.54
4,Bihar SRTC,579,579,483,345,341,225,59.59,58.89,46.58,15.00,14.85,13.85,100.00,100.00,100.00,NA,NA,NA,4.66,4.66,4.66,237.68,229.99,160.46,1090.00,1170.00,1244.00,1.88,2.02,2.58,59.74,53.86,35.34,112.47,108.83,91.02,9031.84,8739.62,6097.48,14812.00,9875.77,6463.32,164.00,113.00,106.00,266.00,162.00,111.00,125.87,76.66,62.96
5,Delhi TC,3894,3970,4167,3295,3402,3547,84.62,85.69,85.12,9.20,8.10,7.50,51.39,20.91,6.08,2.21,2.17,2.20,NA,NA,NA,2340.11,2372.56,2578.71,24721.00,25489.00,27879.00,6.35,6.42,6.69,25.93,25.50,25.34,164.64,163.73,169.55,128916.54,131187.08,143270.88,104667.66,109766.51,116078.85,81.19,83.67,81.02,11004.48,10897.91,11516.52,774.25,752.07,757.19
6,Gujarat SRTC,8042,7345,7863,6882,6499,6643,85.58,88.48,84.48,5.41,5.55,4.74,32.68,24.65,3.54,3.97,4.12,4.23,5.38,5.27,5.42,11271.75,10638.29,10740.52,40148.00,39835.00,37688.00,4.99,5.42,4.79,76.92,73.17,78.08,384.00,396.81,374.23,543589.15,521822.05,528949.73,373846.57,358257.06,350277.81,68.77,68.66,66.22,7436.94,7187.99,7887.10,253.36,268.12,274.81
7,Himachal RTC,3216,3172,3146,3072,2999,2709,95.52,94.55,86.11,5.65,4.35,4.96,22.12,13.50,17.90,NA,NA,NA,3.69,3.71,3.70,2281.69,2249.59,2129.20,10426.00,9781.00,9236.00,3.24,3.08,2.94,59.96,63.01,63.16,194.38,194.30,185.42,88958.91,87734.01,85168.00,68500.71,68523.85,64551.08,77.00,78.10,75.79,0.00,0.00,0.00,0.00,0.00,0.00
8,Jammu and Kashmir SRTC,512,525,529,294,285,265,57.42,54.29,50.09,10.00,10.00,10.00,NA,NA,NA,NA,NA,NA,4.23,4.28,4.33,149.58,156.55,156.90,2147.00,2244.00,2335.00,4.19,4.27,4.41,19.09,19.11,18.41,80.04,81.70,81.26,6289.65,6575.10,5491.43,4169.51,4232.40,4068.34,66.29,64.37,74.09,43.24,43.94,41.91,23.14,22.93,21.71
9,Karnataka SRTC ,8778,8563,8212,8045,7915,7438,91.65,92.43,90.57,5.26,4.71,5.23,37.60,29.10,25.50,NA,NA,NA,4.87,4.84,4.84,10598.57,10487.54,9848.78,38604.00,38449.00,37675.00,4.40,4.49,4.59,75.22,74.73,71.62,330.79,335.53,328.58,599879.29,595692.27,558425.83,428313.81,416388.90,338547.87,71.40,69.90,60.63,10986.09,10833.98,9959.00,342.89,346.62,332.26
10,Kerala SRTC,5679,5738,5869,4548,4733,4664,80.08,82.49,79.47,7.09,6.32,6.20,0.00,0.00,0.00,4.65,4.34,0.00,4.12,4.08,4.05,5546.00,5921.00,5771.00,33145.00,40060.00,43086.00,5.84,6.98,7.34,45.84,40.49,36.70,267.56,282.71,269.40,334968.00,333999.00,350574.00,282848.00,301791.00,294270.00,84.44,90.36,83.94,9524.00,10593.00,10414.00,459.47,505.78,486.14
