S. No.,Name of State Road Transport Undertaking (SRTU),Number of Accidents - 2018-19,Number of Accidents - 2017-18,Number of Accidents - 2016-17, Number of Fatal Accidents - 2018-19, Number of Fatal Accidents - 2017-18, Number of Fatal Accidents - 2016-17,Effective Kilometres (Lakh)/Revenue Earning Kilometers (Lakh) - 2018-19,Effective Kilometres (Lakh)/Revenue Earning Kilometers (Lakh) - 2017-18,Effective Kilometres (Lakh)/Revenue Earning Kilometers (Lakh) - 2016-17,Number of Accidents per lakh Effective Kilometres - 2018-19,Number of Accidents per lakh Effective Kilometres - 2017-18,Number of Accidents per lakh Effective Kilometres - 2016-17,Number of Fatal Accidents per lakh Effective Kilometers - 2018-19,Number of Fatal Accidents per lakh Effective Kilometers - 2017-18,Number of Fatal Accidents per lakh Effective Kilometers - 2016-17
1,Andhra Pradesh SRTC,1163,1244,1206,442,392,450,15762.74,15633.97,16584.57,0.07,0.08,0.07,0.03,0.03,0.03
2,Assam STC,71,65,76,6,8,5,245.83,291.41,266.89,0.29,0.22,0.28,0.02,0.03,0.02
3,Bangalore Metropolitan TC,286,293,299,55,43,44,4152.85,4164.53,4205.20,0.07,0.07,0.07,0.01,0.01,0.01
4,Bihar SRTC,13,12,2,5,0,0,237.68,229.99,160.46,0.05,0.05,0.01,0.02,0.00,0.00
5,Delhi TC,125,121,128,24,27,28,2340.11,2372.56,2578.71,0.05,0.05,0.05,0.01,0.01,0.01
6,Gujarat SRTC,674,615,560,130,172,143,11271.75,10638.29,10740.52,0.06,0.06,0.05,0.01,0.02,0.01
7,Himachal RTC,65,67,60,24,41,28,2281.69,2249.59,2129.20,0.03,0.03,0.03,0.01,0.02,0.01
8,Jammu and Kashmir SRTC,10,18,16,1,6,4,149.58,156.55,156.90,0.07,0.11,0.10,0.01,0.04,0.03
9,Karnataka SRTC ,1018,1049,1050,259,263,299,10598.57,10487.54,9848.78,0.10,0.10,0.11,0.02,0.03,0.03
10,Kerala SRTC,1083,1763,1445,154,187,153,5546.00,5921.00,5771.00,0.20,0.30,0.25,0.03,0.03,0.03
11,Maharashtra SRTC(P),3310,2933,2772,377,358,343,882977.00,881431.00,895662.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Meghalaya STC,3,2,0,0,0,0,24.73,23.93,28.67,0.12,0.08,0.00,0.00,0.00,0.00
13,North Bengal STC,188,139,160,16,54,31,653.01,605.05,573.56,0.29,0.23,0.28,0.02,0.09,0.05
14,North Eastern Karnataka RTC,323,336,408,83,89,101,5160.90,5046.31,4853.05,0.06,0.07,0.08,0.02,0.02,0.02
15,North Western Karnataka RTC,449,452,448,126,127,102,5890.17,6044.55,5854.09,0.08,0.07,0.08,0.02,0.02,0.02
16,Odisha SRTC,30,28,27,10,11,9,343.72,342.38,339.69,0.09,0.08,0.08,0.03,0.03,0.03
17,Pepsu RTC,112,170,43,35,33,23,1529.65,1359.21,1259.85,0.07,0.13,0.03,0.02,0.02,0.02
18,Rajasthan SRTC,187,213,274,67,72,113,5437.74,6184.81,5810.25,0.03,0.03,0.05,0.01,0.01,0.02
19,South Bengal STC,23,35,61,12,14,12,649.50,526.67,471.45,0.04,0.07,0.13,0.02,0.03,0.03
20,Telangana SRTC,772,729,796,294,262,324,13088.44,13191.92,12727.13,0.06,0.06,0.06,0.02,0.02,0.03
21,Tripura RTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Uttar Pradesh SRTC (P),751,741,648,377,375,348,14497.28,14934.11,13517.38,0.05,0.05,0.05,0.03,0.03,0.03
23,Uttarakhand  TC,74,64,84,20,14,17,1438.26,1552.42,1396.65,0.05,0.04,0.06,0.01,0.01,0.01
24,West Bengal Surface Transport Corp.,80,208,243,3,7,6,282.00,281.00,291.00,0.28,0.74,0.84,0.01,0.02,0.02
NA,TOTAL Corporations,10810,11297,10806,2520,2555,2583,984559.20,983668.79,995227.00,0.01,0.01,0.01,0.00,0.00,0.00
25,Kadamba TC Ltd.,50,79,77,1,5,3,345.49,307.12,298.98,0.14,0.26,0.26,0.00,0.02,0.01
26,Metro TC (Chennai) Limited,863,1136,1260,82,92,109,3108.72,3223.28,3483.94,0.28,0.35,0.36,0.03,0.03,0.03
27,PUNBUS,23,30,41,7,10,8,1653.45,1547.60,1461.21,0.01,0.02,0.03,0.00,0.01,0.01
28,State Exp.TC TN Ltd.,288,298,301,61,74,62,2134.04,2256.00,2332.53,0.13,0.13,0.13,0.03,0.03,0.03
29,TN STC (Coimbatore) Ltd.,669,699,884,161,145,173,4280.50,4338.21,4715.37,0.16,0.16,0.19,0.04,0.03,0.04
30,TN STC (Kumbakonam) Ltd.,680,865,993,204,207,232,5906.11,5941.11,6215.07,0.12,0.15,0.16,0.03,0.03,0.04
31,TN STC (Madurai) Ltd.,487,520,559,132,141,157,3625.93,3745.80,3972.13,0.13,0.14,0.14,0.04,0.04,0.04
32,TN STC (Salem) Ltd.,189,183,239,109,108,133,3445.86,3526.31,3785.94,0.05,0.05,0.06,0.03,0.03,0.04
33,TN STC (Villupuram) Ltd.,772,849,1003,182,213,227,5920.23,6091.91,6413.27,0.13,0.14,0.16,0.03,0.03,0.04
34,TN STC ( Tirunelvell) Ltd.,269,289,305,102,106,116,2688.22,2714.47,2864.09,0.10,0.11,0.11,0.04,0.04,0.04
NA,TOTAL Companies,4290,4948,5662,1041,1101,1220,33108.55,33691.81,35542.53,1.26,1.50,1.59,0.27,0.29,0.30
35,Andaman & Nicobar ST,5,5,4,2,NA,1,105.58,106.17,106.45,0.05,0.05,0.04,0.02,0.00,0.01
36,Arunachal Pradesh ST,NA,NA,NA,NA,NA,NA,93.13,90.09,80.26,0.00,0.00,0.00,0.00,0.00,0.00
37,Chandigarh TU,202,190,279,9,5,4,404.95,419.20,440.78,0.50,0.45,0.63,0.02,0.01,0.01
38,Haryana ST,206,249,284,84,96,117,4053.07,4299.96,4601.87,0.05,0.06,0.06,0.02,0.02,0.03
39,Mizoram ST,0,0,0,0,0,0,6.98,6.84,7.08,0.00,0.00,0.00,0.00,0.00,0.00
40,Nagaland ST,2,3,1,0,0,0,43.70,43.68,42.39,0.05,0.07,0.02,0.00,0.00,0.00
41,State Transport Punjab,10,30,0,3,10,0,247.56,347.37,0.00,0.04,0.09,0.00,0.01,0.03,0.00
42,Sikkim NT ,0,1,0,0,3,0,26.74,26.50,24.99,0.00,0.04,0.00,0.00,0.11,0.00
NA,Total Govt Deptts.,425,478,568,98,114,122,4981.71,5339.81,5303.82,0.68,0.75,0.76,0.07,0.18,0.04
43,Ahmedabad Janmarg Ltd,261,267,251,5,4,6,172.03,170.13,178.07,1.52,1.57,1.41,0.03,0.02,0.03
44,Ahmedabad MTC ,374,465,731,11,12,13,452.71,479.44,510.73,0.83,0.97,1.43,0.02,0.03,0.03
45,BEST Undertaking,116,142,383,23,21,21,1690.00,1894.00,2138.00,0.07,0.07,0.18,0.01,0.01,0.01
46,Kolahpur MTU,78,129,124,2,5,4,77.52,84.54,86.51,1.01,1.53,1.43,0.03,0.06,0.05
47,Navi Mumbai MT,128,144,204,4,6,6,319.48,312.56,310.95,0.40,0.46,0.66,0.01,0.02,0.02
48,Pune Mahamandal ,89,51,34,13,12,6,1036.96,1121.31,1093.30,0.09,0.05,0.03,0.01,0.01,0.01
49,Solapur MT,13,8,40,1,0,2,33.94,39.42,63.51,0.38,0.20,0.63,0.03,0.00,0.03
50,Thane MT,85,62,59,7,3,13,204.45,204.93,122.56,0.42,0.30,0.48,0.03,0.01,0.11
51,Kalyan Dombivali MT,50,50,89,4,2,2,40.35,48.94,52.66,1.24,1.02,1.69,0.10,0.04,0.04
