S. No.,Name of State Road Transport Undertaking (SRTU),State Govt Contribution (In lakh) - 2016-17,State Govt Contribution (In lakh) - 2015-16,Central Govt Equity (if any) (in lakh) - 2016-17,Central Govt Equity (if any) (in lakh) - 2015-16,General and Other Reserves (in lakh) - 2016-17,General and Other Reserves (in lakh) - 2015-16,Debentures (in lakh) - 2016-17,Debentures (in lakh) - 2015-16,Loans from Banks and Financial Institutions (in lakh) - 2016-17,Loans from Banks and Financial Institutions (in lakh) - 2015-16,Employee and Public Deposits (in lakh) - 2016-17,Employee and Public Deposits (in lakh) - 2015-16,Security and earnest Money deposits (in lakh) - 2016-17,Security and earnest Money deposits (in lakh) - 2015-16,Others* (in lakh) - 2016-17,Others* (in lakh) - 2015-16,Current liabilities Rs (in Lakh) - 2016-17,Current liabilities Rs (in Lakh) - 2015-16,Total Capital and Liablities - 2016-17,Total Capital and Liablities - 2015-16
1,Andhra Pradesh SRTC,7954.00,7954.00,3561.00,3561.00,951526.00,936156.00,NA,NA,328790.00,304773.00,NA,NA,NA,NA,1420.00,1989.00,300559.00,255206.00,1593810.00,1509639.00
2,Assam STC,68192.00,67662.00,NA,NA,799.00,1219.75,NA,NA,NA,NA,NA,NA,195.00,194.58,36510.00,33610.00,NA,NA,105696.00,102686.33
3,Bangalore Metropolitan TC,21841.73,15771.73,NA,NA,128503.04,120725.74,NA,NA,61656.46,59481.38,NA,NA,4436.53,6098.91,58456.64,45731.90,NA,NA,274894.40,247809.66
4,Bihar SRTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Calcutta STC,862.24,862.24,100.00,100.00,NA,NA,NA,NA,8079.00,4863.00,NA,NA,318.88,281.33,NA,NA,NA,NA,9360.12,6106.57
6,Delhi TC,198385.00,198385.00,NA,NA,154547.40,140750.63,NA,NA,1167614.46,1167614.46,NA,NA,1415.26,1523.94,1719615.94,1318028.70,NA,NA,3241578.06,2826302.73
7,Gujarat SRTC,542115.73,484916.87,10627.82,10627.82,1637.17,95655.00,NA,NA,195.75,195.75,NA,NA,55699.12,56112.58,35789.69,32886.18,NA,NA,646065.28,680394.20
8,Himachal RTC,65504.71,61004.71,1544.45,1544.45,46785.44,41680.30,NA,NA,21135.16,11279.03,16648.23,15120.30,361.81,301.44,34368.87,31309.97,NA,NA,186348.67,162240.20
9,Jammu and Kashmir SRTC,500.00,595.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.00,595.00
10,Karnataka SRTC ,24278.94,24278.94,100.00,100.00,4809.76,4809.76,NA,NA,15768.94,20685.97,40176.26,31297.28,46.22,52.09,37542.66,29858.57,NA,NA,122722.78,111082.61
11,Kerala SRTC,76804.00,72743.00,NA,NA,NA,NA,NA,NA,472035.00,354932.00,NA,NA,NA,NA,NA,NA,NA,NA,548839.00,427675.00
12,Maharashtra SRTC,363319.62,314621.25,5677.43,5677.43,357732.88,324678.67,NA,NA,20000.00,20000.00,2794.58,3388.24,13621.62,14164.07,88572.15,82637.11,NA,NA,851718.28,765166.77
13,Meghalaya STC,280.00,256.00,NA,NA,12.13,12.13,NA,NA,NA,NA,NA,NA,46.57,40.96,465.53,440.53,NA,NA,804.23,749.62
14,North Bengal STC,587.04,587.04,NA,NA,12.15,12.16,NA,NA,1386.66,1386.91,NA,NA,23.39,26.39,NA,NA,NA,NA,2009.24,2012.50
15,North Eastern Karnataka RTC,13112.39,13112.39,NA,NA,48538.20,40357.49,NA,NA,4454.33,6596.02,3500.41,3359.23,NA,NA,56637.98,62563.00,NA,NA,126243.31,125988.13
16,North Western Karnataka RTC,36946.12,36946.12,NA,NA,86961.89,75393.96,NA,NA,12454.24,22143.90,6285.46,4167.03,NA,NA,62574.49,48290.60,NA,NA,205222.20,186941.61
17,Odisha SRTC,16650.83,14650.83,1592.27,1592.27,6120.94,4265.16,NA,NA,NA,NA,NA,NA,NA,NA,1028.03,1028.03,10885.11,11688.76,36277.18,33225.05
18,Pepsu RTC,61416.74,61416.74,2435.54,2435.54,8330.28,8330.27,NA,NA,4519.77,4984.10,NA,NA,653.86,633.76,NA,NA,NA,NA,77356.19,77800.41
19,Rajasthan SRTC,71213.50,61213.50,2682.75,2682.75,827735.40,814324.33,67500.00,67500.00,48691.81,48919.18,790.05,1455.61,3426.72,2268.69,189819.78,170538.38,NA,NA,1211860.01,1168902.44
20,South Bengal STC,1100.93,1100.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25695.94,21533.31,NA,NA,26796.87,22634.24
21,Telangana SRTC,50551.70,37643.70,2545.40,2545.40,495773.96,486843.34,NA,NA,248316.95,227527.90,NA,NA,NA,NA,291658.09,297188.47,NA,NA,1088846.10,1051748.81
22,Tripura RTC,17238.55,16278.44,NA,NA,1020.50,960.11,NA,NA,NA,NA,NA,NA,0.50,0.50,NA,NA,NA,NA,18259.55,17239.05
23,Uttar Pradesh SRTC ,76617.76,66784.28,6001.45,6001.45,27970.96,19679.47,NA,NA,14988.00,11997.08,5213.15,4174.39,NA,NA,146108.76,137614.89,NA,NA,276900.08,246251.56
24,Uttarakhand  TC,23859.83,23859.83,NA,NA,12798.59,12754.56,NA,NA,9098.75,266.50,60.51,60.33,487.38,324.05,NA,NA,NA,NA,46305.06,37265.27
25,Puducherry Road Transport corp,3477.69,3477.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3477.69,3477.69
26,West Bengal Surface Transport Corp.,5380.77,3895.77,NA,NA,3909.38,4111.93,NA,NA,2975.23,2985.23,NA,NA,232.77,700.22,43816.08,36526.46,NA,NA,56314.23,48219.61
NA,TOTAL Corporations,1748191.82,1590018.00,36868.11,36868.11,3165525.07,3132720.76,67500.00,67500.00,2442160.51,2270631.41,75468.65,63022.41,80965.63,82723.51,2830080.63,2351775.10,311444.11,266894.76,10758204.53,9862154.06
27,Kadamba TC Ltd.,9464.33,9464.33,NA,NA,6917.46,6416.12,NA,NA,2697.82,3470.74,NA,NA,45.05,69.29,10055.15,10782.02,NA,NA,29179.81,30202.50
28,Metro TC (Chennai) Limited,58930.51,56695.04,NA,NA,1393.37,1404.90,NA,NA,107239.56,74703.85,22.43,22.76,1053.61,1204.23,189488.03,162862.07,NA,NA,358127.51,296892.85
29,PUNBUS,5615.00,5615.00,NA,NA,48799.60,48804.62,NA,NA,4682.30,3315.57,NA,NA,230.78,194.59,12947.97,11317.09,NA,NA,72275.65,69246.87
30,State Exp.TC TN Ltd.,36033.06,34815.60,NA,NA,129.38,154.04,NA,NA,74371.48,65476.30,2.61,2.61,445.75,524.90,77934.34,73048.91,NA,NA,188916.62,174022.36
31,TN STC (Coimbatore) Ltd.,61461.85,59156.92,327.21,114.25,616.18,1227.09,NA,NA,52372.94,35053.61,NA,NA,NA,NA,217504.13,183092.91,NA,NA,332282.31,278644.78
32,TN STC (Kumbakonam) Ltd.,33468.29,24882.79,NA,NA,458.88,429.87,NA,NA,91951.72,68111.95,91.50,91.48,329.92,345.20,169983.57,149102.75,NA,NA,296283.88,242964.04
33,TN STC (Madurai) Ltd.,52569.36,51698.19,NA,NA,541.66,736.22,NA,NA,62204.91,43353.19,NA,NA,57.18,52.08,211284.02,194527.39,NA,NA,326657.13,290367.07
34,TN STC (Salem) Ltd.,16798.81,15292.81,NA,NA,414.29,209.88,NA,NA,45089.19,32465.25,NA,NA,NA,NA,137166.68,117700.03,NA,NA,199468.97,165667.97
35,TN STC (Villupuram) Ltd.,25311.94,22904.94,NA,NA,767.42,641.84,NA,NA,48864.91,40316.13,NA,NA,554.73,507.93,163450.70,129704.70,NA,NA,238949.70,194075.54
