S. No.,Name of State Road Transport Undertaking (SRTU),Total Revenue (Rs. Lakh) - 2012-13,Total Revenue (Rs. Lakh) - 2013-14,Total Revenue (Rs. Lakh) - 2014-15,Total Revenue (Rs. Lakh) - 2015-16,Total Revenue (Rs. Lakh) - 2016-17,Total Cost (Rs. Lakh) - 2012-13,Total Cost (Rs. Lakh) - 2013-14,Total Cost (Rs. Lakh) - 2014-15,Total Cost (Rs. Lakh) - 2015-16,Total Cost (Rs. Lakh) - 2016-17,Net Profit/Loss (Rs. Lakh) - 2012-13,Net Profit/Loss (Rs. Lakh) - 2013-14,Net Profit/Loss (Rs. Lakh) - 2014-15,Net Profit/Loss (Rs. Lakh) - 2015-16,Net Profit/Loss (Rs. Lakh) - 2016-17
1,Andhra Pradesh SRTC,666152,744066,400801,505851.96,525046.15,669865,834334,444857,501957.08,495154.61,-3713,-90268,-44056,3894.88,29891.54
2,Assam STC,NA,NA,13659,17261.42,11950.46,NA,NA,18338,23791.96,18636.11,NA,NA,-4678,-6530.54,-6685.65
3,Bangalore Metropolitan TC,166046,201394,225684,220748.39,210610.41,180841,216153,232175,219375.73,236701.42,-14795,-14759,-6490,1372.66,-26091.01
4,Bihar SRTC,2053,1631,2161,4868.25,6132.28,3063,2576,11082,11236.86,5352.72,-1009,-945,-8921,-6368.61,779.56
5,Calcutta STC,7044,6198,35809,34884.32,35311.19,21854,23053,43236,48764.56,69398.58,-14810,-16855,-7427,-13880.24,-34087.39
6,Delhi TC,130444,120958,110987,218186.32,247110.11,429668,466803,510133,570378.68,630321.27,-299224,-345845,-291776,-352192.36,-383211.16
7,Gujarat SRTC,248548,277819,286218,256695.66,262262.22,272131,297165,299569,281487.77,303151.52,-23584,-19345,-13350,-24792.11,-40889.30
8,Himachal RTC,NA,66603,75144,93095.43,94550.54,NA,74930,92404,92922.81,104076.57,NA,-8327,-17261,172.62,-9526.03
9,Jammau and Kashmir SRTC,5454,5785,8983,7847.48,7567.18,8235,10184,9067,9183.89,10276.15,-2781,-4399,-84,-1336.41,-2708.97
10,Karnataka SRTC,259233,296692,320347,317878.99,317351.17,259059,304248,324696,312783.85,335058.78,174,-7556,-4349,5095.14,-17707.61
11,Kerala SRTC,161702,169058,202905,181541.00,186111.00,216788,227706,274853,303528.00,363173.00,-55087,-58648,-71948,-121987.00,-177062.00
12,Maharashtra SRTC,609579,673754,725866,734535.58,707827.39,652462,731019,790027,746724.06,758376.16,-42883,-57265,39101,-12188.48,-50548.77
13,Meghalaya STC,1059,835,1180,1228.05,1317.67,1401,1226,1361,1581.73,1463.65,-342,-391,-181,-353.68,-145.98
14,North Bengal STC,7512,7255,20237,24312.64,26261.11,17931,18876,22350,26305.98,28440.96,-10420,-11621,-2113,-1993.34,-2179.85
