S. No.,Name of State Road Transport Undertaking (SRTU),Traffic Revenue (Lakh) - Revenue from Passengers - 2016-17,Traffic Revenue (Lakh) - Revenue from Passengers - 2015-16,Traffic Revenue (Lakh) - Others - 2016-17,Traffic Revenue (Lakh) - Others - 2015-16,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2016-17,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2015-16,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2016-17,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2015-16,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2016-17,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2015-16,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2016-17,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2015-16,Non-Traffic Revenue (Lakh) - Other Receipts - 2016-17,Non-Traffic Revenue (Lakh) - Other Receipts - 2015-16,Total Non-Traffic Revenue(Lakhs) - 2016-17,Total Non-Traffic Revenue(Lakhs) - 2015-16,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2016-17,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2015-16,"Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2016-17","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2015-16",Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2016-17,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2015-16,Total Reveunue (in lakh) - 2016-17,Total Reveunue (in lakh) - 2015-16,Staff Costs (Rs. Lakh) - 2016-17,Staff Costs (Rs. Lakh) - 2015-16,Fuel and Lubricants Cost (Rs. Lakh) - 2016-17,Fuel and Lubricants Cost (Rs. Lakh) - 2015-16, Cost of Tyers and Tubes  (Rs. Lakh) - 2016-17, Cost of Tyers and Tubes  (Rs. Lakh) - 2015-16,Cost of Spares (Rs. Lakh) - 2016-17,Cost of Spares (Rs. Lakh) - 2015-16,Interest (Rs. Lakh) - 2016-17,Interest (Rs. Lakh) - 2015-16,Depreciation (Rs. Lakh) - 2016-17,Depreciation (Rs. Lakh) - 2015-16,Payments to Hired Buses(Rs.  Lakh) - 2016-17,Payments to Hired Buses(Rs.  Lakh) - 2015-16,Payment for accidents compensation (In lakh) - 2016-17,Payment for accidents compensation (In lakh) - 2015-16,Other Cost (Rs. Lakh) - 2016-17,Other Cost (Rs. Lakh) - 2015-16,Taxes (Rs. Lakh) - M.V. Tax - 2016-17,Taxes (Rs. Lakh) - M.V. Tax - 2015-16,Taxes (Rs. Lakh) - Passenger Taxes - 2016-17,Taxes (Rs. Lakh) - Passenger Taxes - 2015-16,Taxes (Rs. Lakh) - GST - 2016-17,Taxes (Rs. Lakh) - GST - 2015-16,Taxes (Rs. Lakh) - Other Taxes - 2016-17,Taxes (Rs. Lakh) - Other Taxes - 2015-16,Taxes (Rs. Lakh) - Total Taxes - 2016-17,Taxes (Rs. Lakh) - Total Taxes - 2015-16,Other Cost(Misc)(Rs. Lakh) - 2016-17,Other Cost(Misc)(Rs. Lakh) - 2015-16,Total Cost (In lakh) - 2016-17,Total Cost (In lakh) - 2015-16
1,Andhra Pradesh SRTC,444775.96,425827.24,0.00,0.00,444775.96,425827.24,1605.18,1217.95,3074.15,1528.91,970.99,725.52,24347.87,36183.34,29998.19,39655.72,50272.00,40369.00,0.00,0.00,50272.00,40369.00,525046.15,505851.96,255224.62,219882.26,142990.74,135155.87,7125.43,9057.69,7478.14,10216.34,25640.31,18678.03,15324.06,19118.39,0.00,46940.00,0.00,0.00,0.00,19559.62,29326.01,23348.88,0.00,0.00,0.00,0.00,12045.30,0.00,41371.31,23348.88,0.00,0.00,495154.61,501957.08
2,Assam STC,6656.19,8849.51,0.00,0.00,6656.19,8849.51,32.63,27.13,25.42,20.92,0.00,0.00,2236.22,5613.86,2294.27,5661.91,0.00,0.00,3000.00,2750.00,3000.00,2750.00,11950.46,17261.42,8953.23,9517.48,4228.39,7869.96,177.72,216.71,139.56,252.52,1968.30,1785.69,2532.17,2668.35,0.00,0.00,0.00,25.66,120.00,954.31,28.00,26.33,0.00,0.00,0.00,0.00,67.35,65.62,95.35,91.95,421.39,409.33,18636.11,23791.96
3,Bangalore Metropolitan TC,177047.15,191802.62,0.00,0.00,177047.15,191802.62,1399.64,1209.67,415.57,447.56,411.84,378.44,10240.83,7389.12,12467.88,9424.79,21095.38,19520.98,0.00,0.00,21095.38,19520.98,210610.41,220748.39,124423.79,109580.99,65719.94,60734.94,2534.37,3112.93,7921.70,7413.61,5111.10,5283.01,12496.64,13338.30,0.00,0.00,1108.91,1669.78,1661.19,2005.95,9826.12,10645.05,52.55,45.88,0.00,0.00,0.00,0.00,9878.67,10690.93,5845.11,5545.29,236701.42,219375.73
4,Bihar SRTC,3969.68,3969.68,0.00,0.00,3969.68,3969.68,0.00,0.00,0.00,0.00,0.00,0.00,2162.60,898.57,2162.60,898.57,0.00,0.00,0.00,0.00,0.00,0.00,6132.28,4868.25,3923.89,1091.68,1029.97,820.24,123.20,95.14,59.29,130.79,0.00,8605.00,0.00,0.00,0.00,0.00,0.00,0.00,111.66,0.00,19.16,13.50,81.25,0.00,0.00,0.00,4.30,72.53,104.71,86.03,0.00,407.98,5352.72,11236.86
5,Calcutta STC,10756.69,9691.31,175.32,80.97,10932.01,9772.28,119.14,207.42,29.21,3.95,576.39,548.73,0.00,0.00,724.74,760.10,0.00,0.00,23654.44,24351.94,23654.44,24351.94,35311.19,34884.32,22189.99,21923.01,8144.69,11140.25,146.51,93.63,720.79,413.72,608.11,597.49,5180.95,1133.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32407.54,13462.94,69398.58,48764.56
6,Delhi TC,77283.89,82090.27,409.76,429.60,77693.65,82519.87,61.62,173.24,944.84,1137.87,411.03,2052.19,6543.11,5663.51,7960.60,9026.81,6455.86,9239.64,155000.00,117400.00,161455.86,126639.64,247110.11,218186.32,154416.73,147469.46,38166.10,40790.54,41.66,245.09,28264.45,24946.63,383059.60,327713.51,16973.07,16864.13,516.48,1163.23,1977.74,2048.53,4992.91,6963.62,469.25,668.31,239.84,287.52,0.00,0.00,1203.44,1218.11,1912.53,2173.94,0.00,0.00,630321.27,570378.68
7,Gujarat SRTC,186151.26,181475.62,12290.96,13533.04,198442.22,195008.66,0.00,0.00,246.00,666.00,0.00,0.00,12122.00,8789.00,12368.00,9455.00,28484.00,23540.00,22968.00,28692.00,51452.00,52232.00,262262.22,256695.66,119144.76,112633.82,114169.67,97437.66,4924.30,5833.84,3609.73,3927.62,9152.06,10128.88,16422.21,16810.81,1609.19,1319.37,0.00,0.00,1291.19,1189.79,372.35,369.82,12878.61,12555.03,0.00,0.00,7357.19,8735.20,20608.15,21660.05,12220.26,10545.93,303151.52,281487.77
8,Himachal RTC,64688.85,59517.44,1367.72,990.32,66056.57,60507.76,0.00,0.00,0.00,74.58,236.37,532.40,757.60,480.69,993.97,1087.67,0.00,0.00,27500.00,31500.00,27500.00,31500.00,94550.54,93095.43,46430.74,38712.04,29425.78,23784.24,2995.26,2687.24,3419.05,3197.18,2223.92,2415.62,3615.16,3163.19,3665.44,2648.33,184.70,1009.87,3879.35,4816.65,0.00,0.00,2164.31,2033.39,0.00,0.00,4296.88,3819.65,6461.19,5853.04,1775.98,4635.41,104076.57,92922.81
9,Jammu and Kashmir SRTC,4475.18,4686.06,0.00,0.00,4475.18,4686.06,0.00,0.00,72.00,146.60,12.40,11.03,7.60,3.79,92.00,161.42,0.00,0.00,3000.00,3000.00,3000.00,3000.00,7567.18,7847.48,6826.26,5421.16,2183.60,2076.00,105.40,166.00,264.60,206.01,0.00,0.00,0.00,289.02,0.00,0.00,95.14,162.16,0.00,0.00,396.40,404.92,404.75,458.62,0.00,0.00,0.00,0.00,801.15,863.54,0.00,0.00,10276.15,9183.89
10,Karnataka SRTC ,252356.30,252869.27,21447.60,24963.32,273803.90,277832.59,349.72,304.97,771.97,1169.42,0.00,0.00,15274.72,14941.99,16396.41,16416.38,27150.86,23630.02,0.00,0.00,27150.86,23630.02,317351.17,317878.99,144630.41,131416.30,117994.86,102021.55,6415.12,6929.02,7133.48,7163.48,1668.69,3232.68,15565.34,20198.98,0.00,0.00,4932.50,4516.01,21428.19,21888.95,15129.98,15282.54,0.00,0.00,0.00,0.00,160.21,134.34,15290.19,15416.88,0.00,0.00,335058.78,312783.85
11,Kerala SRTC,182745.00,179769.00,0.00,0.00,182745.00,179769.00,0.00,0.00,3366.00,1772.00,0.00,0.00,0.00,0.00,3366.00,1772.00,0.00,0.00,0.00,0.00,0.00,0.00,186111.00,181541.00,169579.00,128972.00,89545.00,81938.00,16750.00,16262.00,0.00,0.00,60590.00,51539.00,7446.00,7300.00,0.00,0.00,5100.00,3806.00,4142.00,3981.00,0.00,0.00,0.00,0.00,0.00,0.00,10021.00,9730.00,10021.00,9730.00,0.00,0.00,363173.00,303528.00
12,Maharashtra SRTC(P),534825.98,562656.73,9813.40,14958.83,544639.38,577615.56,1492.19,975.15,2833.53,62.50,13.62,15.89,22185.25,20466.60,26524.59,21520.14,136663.42,135399.88,0.00,0.00,136663.42,135399.88,707827.39,734535.58,315660.30,317869.69,249193.72,231036.19,14661.35,15115.09,10172.93,10777.78,214.67,145.90,30741.40,35466.38,1099.45,1886.50,7831.77,7083.58,29761.65,23550.72,784.40,751.25,87221.34,90391.39,0.00,0.00,11033.18,12649.59,99038.92,103792.23,0.00,0.00,758376.16,746724.06
13,Meghalaya STC,525.86,481.48,0.00,0.00,525.86,481.48,0.00,0.00,0.00,0.00,0.00,0.00,41.81,28.73,41.81,28.73,750.00,717.84,0.00,0.00,750.00,717.84,1317.67,1228.05,963.89,932.91,296.97,300.95,15.40,20.77,24.29,36.08,0.00,0.00,75.09,75.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.35,4.35,6.35,4.35,81.66,211.58,1463.65,1581.73
14,North Bengal STC,13203.18,12372.64,0.00,0.00,13203.18,12372.64,0.00,0.00,45.41,108.37,0.00,0.00,117.35,137.63,162.76,246.00,0.00,0.00,12895.17,11694.00,12895.17,11694.00,26261.11,24312.64,15641.19,14291.75,7930.80,7325.43,495.63,452.89,758.28,737.51,1505.16,1505.12,609.00,609.00,0.00,0.00,115.09,114.89,1045.49,791.91,0.00,0.00,0.89,2.92,5.75,0.00,8.28,7.46,14.92,10.38,325.40,467.10,28440.96,26305.98
15,North Eastern Karnataka RTC,129920.32,129688.86,2550.26,2721.93,132470.58,132410.79,103.99,52.37,533.98,674.74,0.00,0.00,5349.81,4118.32,5987.78,4845.43,13483.91,12868.86,0.00,0.00,13483.91,12868.86,151942.27,150125.08,69251.76,62157.96,54161.96,46986.55,3853.51,4177.51,4043.71,4287.23,680.50,1146.73,5407.70,7187.73,0.00,0.00,1510.66,2100.19,0.00,0.00,6878.94,6862.97,0.00,0.00,0.00,0.00,65.20,41.57,6944.14,6904.54,13044.97,19468.81,158898.91,154417.25
16,North Western Karnataka RTC,149527.28,150654.78,0.00,0.00,149527.28,150654.78,180.39,65.03,242.05,453.00,19.42,87.80,6947.22,5897.34,7389.08,6503.17,17121.22,16221.53,0.00,0.00,17121.22,16221.53,174037.58,173379.48,84437.00,76616.03,65511.71,56749.96,3334.90,3557.34,2673.33,2662.58,1757.56,2881.94,8918.48,13431.73,0.00,0.00,0.00,0.00,12017.16,13932.82,7342.78,7425.53,0.00,0.00,0.00,0.00,0.00,0.00,7342.78,7425.53,0.00,0.00,185992.92,177257.93
17,Odisha SRTC,7769.25,7298.32,435.74,376.99,8204.99,7675.31,21.71,14.08,10.50,10.35,2.47,1.86,1461.79,1209.51,1496.47,1235.80,0.00,0.00,0.00,0.00,0.00,0.00,9701.46,8911.11,2509.98,2275.69,4446.89,3801.45,376.09,396.60,440.67,405.35,110.93,110.93,670.73,720.34,0.00,0.00,0.00,0.00,182.36,0.00,408.20,395.26,0.00,0.00,0.00,0.00,172.61,121.53,580.91,516.79,203.43,183.89,9521.99,8411.04
18,Pepsu RTC,36893.08,32478.36,1611.77,893.90,38504.85,33372.26,0.00,122.53,14.75,215.09,0.00,0.00,0.00,0.00,14.75,337.62,7280.61,7330.38,4700.00,5400.00,11980.61,12730.38,50500.21,46440.26,21334.84,19966.76,14049.48,11688.63,585.05,382.35,479.42,371.53,560.00,680.00,1120.00,960.00,3823.66,3394.34,374.45,593.52,2374.08,1954.64,2363.93,2595.70,1709.49,1041.23,0.00,0.00,4073.42,3636.93,8146.84,7273.86,0.00,0.00,52847.82,47265.63
19,Rajasthan SRTC,158287.84,154472.15,11149.93,11567.13,169437.77,166039.28,313.63,306.85,315.97,79.83,619.76,496.91,8692.34,3683.20,9941.70,4566.79,184.33,150.17,0.00,0.00,184.33,150.17,179563.80,170756.24,116424.61,112939.77,62471.56,57449.53,1532.31,2766.54,3293.45,2473.04,8689.00,9016.67,6333.67,6722.97,4642.54,1916.78,3593.00,2598.00,NA,NA,584.56,632.80,2124.51,2141.46,380.08,NA,19240.28,18957.23,22329.43,21731.49,5003.43,4980.77,234313.00,222595.56
20,South Bengal STC,11852.45,10859.30,NA,NA,11852.45,10859.30,13.65,25.88,48.62,72.86,0.00,0.95,242.56,157.97,304.83,257.66,0.00,0.00,6616.00,5936.99,6616.00,5936.99,18773.28,17053.95,9593.04,8134.00,6635.77,5897.20,509.35,487.73,530.65,617.60,3202.64,2798.09,1065.89,1099.16,0.00,0.00,53.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,834.42,784.83,834.42,784.83,1483.20,1332.43,23908.25,21151.04
21,Telangana SRTC,348119.76,329478.99,1588.34,1046.50,349708.10,330525.49,2097.16,1430.13,2004.06,1541.89,0.00,0.00,20391.22,51397.13,24492.44,54369.15,55370.67,53577.50,0.00,0.00,55370.67,53577.50,429571.21,438472.14,217434.64,239639.78,107001.81,97419.56,5683.39,7393.65,13788.53,12901.96,13684.75,13830.67,11151.35,12244.82,53906.42,40692.44,3805.52,4671.16,50891.40,61466.71,20765.73,19519.28,0.00,0.00,0.00,0.00,6355.27,6352.17,27121.00,25871.45,0.00,0.00,504468.81,516132.20
22,Tripura RTC,120.60,172.32,0.00,0.00,120.60,172.32,0.00,0.00,0.00,0.00,0.00,0.00,75.40,74.03,75.40,74.03,0.00,0.00,1657.55,1706.37,1657.55,1706.37,1853.55,1952.72,1657.50,1706.37,75.70,107.45,12.30,15.56,20.15,33.30,0.00,0.00,19.70,25.60,2.60,3.55,0.00,0.00,41.55,52.75,1.90,2.25,0.00,0.00,0.00,0.00,4.70,5.92,6.60,8.17,40.10,39.43,1876.20,1992.18
23,Uttar Pradesh SRTC (P),390365.39,333304.27,0.00,0.00,390365.39,333304.27,651.13,769.54,729.60,282.76,0.00,0.00,5001.76,4283.31,6382.49,5335.61,0.00,0.00,0.00,0.00,0.00,0.00,396747.88,338639.88,138728.50,127664.24,104533.83,89333.99,5238.77,6068.58,9273.16,8615.45,1171.85,1898.84,17228.97,14380.08,62198.09,48437.28,0.00,0.00,3988.10,3400.49,1318.64,1108.30,24402.38,21312.72,0.00,0.00,18946.17,14829.89,44667.19,37250.91,0.00,0.00,387028.46,337049.86
24,Uttarakhand  TC,43901.72,41570.03,2751.00,2740.00,46652.72,44310.03,9.69,32.92,96.19,67.01,0.00,0.00,1182.66,1084.80,1288.54,1184.73,1059.92,391.50,0.00,0.00,1059.92,391.50,49001.18,45886.26,22078.66,20632.35,15902.85,14462.43,546.19,572.86,939.76,1041.55,0.00,0.00,2268.13,1891.56,4397.28,4582.33,811.78,559.11,1221.97,445.70,18.74,15.97,2751.00,2740.00,0.00,0.00,0.00,0.00,2769.74,2755.97,0.00,0.00,50936.36,46943.86
25,Puducherry Road Transport corp,4147.00,3546.00,0.00,0.00,4147.00,3546.00,0.00,0.00,107.00,105.00,0.00,0.00,0.00,0.00,107.00,105.00,0.00,0.00,774.00,265.00,774.00,265.00,5028.00,3916.00,1990.00,2020.00,2204.00,1600.00,110.00,91.00,95.00,68.00,0.00,0.00,58.00,60.00,0.00,0.00,0.00,0.00,642.00,520.00,94.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,88.00,0.00,0.00,5193.00,4447.00
26,West Bengal Surface Transport Corp.,2958.72,34454.19,0.00,0.00,2958.72,34454.19,34.47,103.34,21.65,10.81,4.51,0.03,56.07,58.98,116.70,173.16,0.00,0.00,283.26,200.30,283.26,200.30,3358.68,34827.65,2602.04,2367.39,2185.62,1937.30,59.72,49.57,192.45,120.74,2755.62,2721.51,365.07,383.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1246.95,878.42,9407.47,8458.85
NA,TOTAL Corporations,3243324.58,3204036.44,65591.80,74302.53,3308916.38,3278338.97,8485.94,7038.20,15948.47,10652.02,3278.80,4851.75,145437.79,172561.42,173151.00,195103.39,365372.18,342957.30,262048.42,232896.60,627420.60,575853.90,4109487.98,4049296.26,2076051.37,1935834.89,1310201.41,1189865.87,78352.93,86247.33,105736.57,103017.60,524354.77,466715.31,181588.78,196143.07,135861.15,152984.15,31494.55,30958.46,139792.25,167475.63,96129.09,90156.66,134030.92,133010.16,385.83,0.00,95895.55,81166.92,326441.49,304333.74,74099.42,62569.31,4983974.69,4696145.36
27,Kadamba TC Ltd.,7029.78,7416.21,0.00,0.00,7029.78,7416.21,43.36,28.24,23.21,15.79,5.41,3.64,2826.32,1609.93,2898.30,1657.60,1276.25,1280.53,5500.00,6500.00,6776.25,7780.53,16704.33,16854.34,9561.86,9723.19,4118.40,3649.52,271.03,291.09,528.11,370.95,450.55,470.94,1063.88,924.63,179.06,168.44,0.00,0.00,627.87,506.87,0.00,0.00,195.22,198.00,0.00,0.00,34.16,35.00,229.38,233.00,27.29,-3.84,17057.43,16334.79
28,Metro TC (Chennai) Limited,104144.39,107198.44,139.04,107.94,104283.43,107306.38,761.37,589.83,332.20,293.73,136.36,124.93,2545.48,2687.14,3775.41,3695.63,23050.31,16163.01,8461.09,3316.00,31511.40,19479.01,139570.24,130481.02,94726.13,85136.97,42175.78,39071.66,2311.11,2841.65,4855.14,5719.76,11533.50,8722.75,4362.82,2839.51,0.00,0.00,4196.45,3130.61,22092.00,27840.47,1143.41,1055.42,0.00,0.00,0.00,0.00,0.00,0.00,1143.41,1055.42,4121.90,4089.67,191518.24,180448.47
29,PUNBUS,46176.16,35871.00,0.00,0.00,46176.16,35871.00,138.00,151.15,5.01,12.20,501.00,7.23,260.80,497.10,904.81,667.68,2393.03,7025.32,0.00,0.00,2393.03,7025.32,49474.00,43564.00,16256.00,12200.00,18190.00,15924.10,809.99,674.01,1490.00,1023.33,443.10,238.15,1181.23,2170.15,1650.55,1527.13,0.00,0.00,7148.81,933.02,0.00,0.00,1211.22,1059.01,0.00,0.00,14.95,6202.05,1226.17,7261.06,653.15,1148.05,49049.00,43099.00
30,State Exp.TC TN Ltd.,56992.53,55011.55,41.48,55.50,57034.01,55067.05,0.00,4.22,151.14,90.71,0.00,0.00,0.00,0.00,151.14,94.93,661.83,281.06,10182.89,7957.61,10844.72,8238.67,68029.87,63400.65,31069.40,29682.23,24467.01,21850.64,1200.62,1204.87,1385.14,1453.84,8378.19,7683.65,3426.31,3533.28,0.00,0.00,0.00,0.00,0.00,0.00,993.09,1020.39,0.00,0.00,0.00,0.00,4384.64,4727.40,5377.73,5747.79,10434.79,7951.04,85739.19,79107.34
31,TN STC (Coimbatore) Ltd.,102072.54,102485.17,713.81,727.96,102786.35,103213.13,266.91,21.72,407.97,372.42,0.00,0.00,2041.04,1289.46,2715.92,1683.60,11361.74,12080.29,9730.43,3714.00,21092.17,15794.29,126594.44,120691.02,92770.74,87510.26,50196.71,45834.02,1571.66,1847.33,4027.69,4614.91,12031.72,8750.42,3196.26,3199.09,0.00,0.00,2971.05,2869.17,0.00,0.00,3463.52,3437.13,0.00,0.00,0.00,0.00,0.00,0.00,3463.52,3437.13,4444.90,2827.62,174674.25,160889.95
32,TN STC (Kumbakonam) Ltd.,133430.78,134934.94,648.58,694.38,134079.36,135629.32,245.56,215.37,478.14,385.80,124.22,79.87,2403.01,1660.89,3250.93,2341.93,13956.13,14645.16,12263.00,4975.00,26219.13,19620.16,163549.42,157591.41,107697.51,101561.15,61078.05,55880.26,3552.67,4209.77,1970.67,1957.60,11824.29,9246.88,3749.93,4128.15,0.00,0.00,6113.56,4775.27,2481.43,2513.50,4845.70,4839.92,NA,NA,NA,NA,2050.92,2151.83,6896.62,6991.75,5907.18,5188.61,211271.91,196452.94
33,TN STC (Madurai) Ltd.,85178.47,85457.75,0.00,0.00,85178.47,85457.75,207.43,65.85,464.54,267.33,0.00,0.00,977.79,1033.37,1649.76,1366.55,11480.30,11480.75,8072.21,3019.00,19552.51,14499.75,106380.74,101324.05,72936.16,67415.39,41520.28,37109.48,2306.66,2445.46,1610.54,1892.02,7131.73,5217.92,2734.49,3338.51,0.00,0.00,4079.27,3049.63,625.62,568.80,2271.00,2269.29,0.00,0.00,0.00,0.00,43.28,50.72,2314.28,2320.01,5656.23,5367.68,140915.26,128724.90
34,TN STC (Salem) Ltd.,77382.51,78418.38,0.00,0.00,77382.51,78418.38,1349.44,1008.91,0.00,0.00,0.00,0.00,0.00,0.00,1349.44,1008.91,14451.86,10744.01,0.00,0.00,14451.86,10744.01,93183.81,90171.30,61522.61,56494.58,37653.81,34720.54,1807.60,2084.25,1868.20,1719.70,6587.53,4900.87,2279.30,2044.41,0.00,0.00,3637.90,3227.96,5803.71,5731.79,NA,NA,NA,NA,NA,NA,NA,NA,2552.79,2583.00,0.00,0.00,123713.45,113507.10
35,TN STC (Villupuram) Ltd.,135745.79,134223.53,337.62,349.52,136083.41,134573.05,101.86,161.90,452.28,310.11,0.00,0.00,2113.87,1494.93,2668.01,1966.94,13416.52,12707.49,12699.00,4965.00,26115.52,17672.49,164866.94,154212.48,104394.81,103052.88,64038.33,56934.95,2219.53,2555.44,4175.46,4372.99,7392.09,6583.98,3771.35,4231.53,0.00,0.00,3959.12,2936.72,0.00,0.00,4147.82,4199.47,0.00,0.00,0.00,0.00,0.00,0.00,4147.82,4199.47,8381.59,8401.10,202480.10,193269.06
36,TN STC ( Tirunelvell) Ltd.,60577.13,59664.96,531.63,569.66,61108.76,60234.62,14.85,121.76,396.26,281.01,9.61,8.10,988.32,586.88,1409.04,997.75,6532.25,6859.34,6020.58,2318.00,12552.83,9177.34,75070.63,70409.71,54010.44,52322.53,31088.14,27818.50,1679.63,1988.28,1328.83,1283.20,12446.32,10542.76,1847.73,1390.71,0.00,0.00,2248.59,2422.20,0.00,0.00,2122.05,2151.14,0.00,0.00,0.00,14.72,88.37,28.60,2225.14,2268.11,5012.43,4507.90,111887.25,104544.19
NA,TOTAL Companies,808730.08,800681.93,2412.16,2504.96,811142.24,803186.89,3128.78,2368.95,2710.75,2029.10,776.60,223.77,14156.63,10859.70,20772.76,15481.52,98580.22,93266.96,72929.20,36764.61,171509.42,130031.57,1003424.42,948699.98,644945.66,605099.18,374526.51,338793.67,17730.50,20142.15,23239.78,24408.30,78219.02,62358.32,27613.30,27799.97,1829.61,1695.57,27205.94,22411.56,38779.44,38094.45,18986.59,18972.76,1406.44,1257.01,0.00,14.72,6616.32,13195.60,29576.86,36096.74,44639.46,39477.83,1308306.08,1216377.74
37,Andaman and Nicobar ST,1328.59,1744.79,0.00,0.00,1328.59,1744.79,0.00,0.00,6.01,0.00,0.00,0.00,0.00,0.00,6.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1334.60,1744.79,3649.00,2639.30,1799.00,1812.61,259.78,135.18,549.00,175.12,0.00,0.00,465.81,593.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.09,173.22,0.00,0.00,0.00,0.00,189.09,173.22,0.00,0.00,6911.68,5529.33
38,Arunachal Pradesh ST,1588.00,1332.00,4.00,0.00,1592.00,1332.00,6.00,0.00,0.00,22.00,0.00,0.00,137.00,798.00,143.00,820.00,0.00,0.00,0.00,0.00,0.00,0.00,1735.00,2152.00,4737.00,3698.00,2298.00,1899.00,2.00,2.00,2536.00,2267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9573.00,7866.00
39,Chandigarh TU,10849.16,10937.44,701.90,700.39,11551.06,11637.83,182.18,190.99,0.00,0.00,0.00,0.00,2420.43,2276.84,2602.61,2467.83,0.00,0.00,0.00,0.00,0.00,0.00,14153.67,14105.66,9319.79,8689.00,5622.97,4729.47,265.08,212.92,1176.92,1005.51,100.28,102.43,1133.50,1160.16,0.00,0.00,0.00,0.00,0.00,0.00,2.35,13.65,701.90,700.39,0.00,0.00,352.03,417.35,1056.28,1131.39,3977.54,4188.94,22652.36,21219.82
40,Haryana ST,133117.85,131367.23,0.00,0.00,133117.85,131367.23,0.00,0.00,0.00,0.00,0.00,0.00,10484.30,10104.95,10484.30,10104.95,0.00,0.00,0.00,0.00,0.00,0.00,143602.15,141472.18,98618.96,92565.42,52910.66,47238.99,2748.45,3037.89,5297.29,4704.51,3850.00,3750.00,4075.00,4275.24,0.00,0.00,147.07,507.82,0.00,0.00,1074.03,1019.77,17089.08,16070.81,0.00,0.00,10956.48,10379.44,29119.59,27470.02,6608.18,6583.43,203375.20,190133.32
41,Mizoram ST,159.87,156.12,0.00,0.00,159.87,156.12,0.00,0.00,0.00,0.00,0.00,0.00,27.27,28.37,27.27,28.37,0.00,0.00,187.14,187.14,187.14,187.14,374.28,371.63,2143.16,2006.35,150.37,139.07,37.45,36.00,91.15,90.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.06,129.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.18,272.90,2614.37,2674.38
42,Nagaland ST,9.07,10.50,0.00,0.00,9.07,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.31,0.17,0.31,0.00,0.00,0.00,0.00,0.00,0.00,9.24,10.81,40.02,37.63,8.50,8.25,3.05,3.40,1.90,2.05,2.85,2.10,0.00,0.00,0.00,0.00,0.25,0.84,0.00,0.00,0.42,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.53,0.00,0.00,56.99,54.80
