S. No.,Name of State Road Transport Undertaking (SRTU),Revenue/Km(Paise) - 2016-17,Revenue/Km(Paise) - 2015-16,Revenue/Bus/Day (Rs.) - 2016-17,Revenue/Bus/Day (Rs.) - 2015-16,Cost/KM (paise) - 2016-17,Cost/KM (paise) - 2015-16,Cost/Bus/Day (Rs.) - 2016-17,Cost/Bus/Day (Rs.) - 2015-16,Profit/Loss per Km (Paise) - 2016-17,Profit/Loss per Km (Paise) - 2015-16,Profit/Loss per Bus/Day (Rs.) - 2016-17,Profit/Loss per Bus/Day (Rs.) - 2015-16,Staff Cost as % of Total Cost - 2016-17,Staff Cost as % of Total Cost - 2015-16,Fuel and Lubricant Cost as % of Total Cost - 2016-17,Fuel and Lubricant Cost as % of Total Cost - 2015-16,Tyres and Tubes Cost as % of Total Cost - 2016-17,Tyres and Tubes Cost as % of Total Cost - 2015-16,Spares Cost as % of Total Cost - 2016-17,Spares Cost as % of Total Cost - 2015-16,Interest Cost as % of Total Cost - 2016-17,Interest Cost as % of Total Cost - 2015-16,Depreciation Cost as % of Total Cost - 2016-17,Depreciation Cost as % of Total Cost - 2015-16,Payments to Hired Buses as % of Total Cost - 2016-17,Payments to Hired Buses as % of Total Cost - 2015-16,Payment for accidents compensation as % of Total Cost - 2016-17,Payment for accidents compensation as % of Total Cost - 2015-16,Tax Cost as % of Total Cost - 2016-17,Tax Cost as % of Total Cost - 2015-16,Other Costs as % of Total Cost - 2016-17,Other Costs as % of Total Cost - 2015-16,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) - 2016-17,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2015-16,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16
1,Andhra Pradesh SRTC,3167,3115,11916,11538,2986,3091,11237,11449,180,24,678,89,51.54,43.80,28.88,26.93,1.44,1.80,1.51,2.04,5.18,3.72,3.09,3.81,0.00,9.35,0.00,0.00,8.36,4.65,0.00,3.90,15.39,13.54,8.62,8.32,0.43,0.56,0.45,0.63,1.55,1.15,0.92,1.18,0.00,2.89,0.00,0.00,2.50,1.44,0.00,1.20
2,Assam STC,4478,5741,3069,4339,6983,7912,4785,5980,-2505,-2172,-1717,-1641,48.04,40.00,22.69,33.08,0.95,0.91,0.75,1.06,10.56,7.51,13.59,11.22,0.00,0.00,0.00,0.11,0.51,0.39,2.91,5.73,33.55,31.65,15.84,26.17,0.67,0.72,0.52,0.84,7.37,5.94,9.49,8.87,0.00,0.00,0.00,0.09,0.36,0.31,2.03,4.54
3,Bangalore Metropolitan TC,5008,4939,9203,9392,5629,4908,10343,9334,-620,31,-1140,58,52.57,49.95,27.76,27.69,1.07,1.42,3.35,3.38,2.16,2.41,5.28,6.08,0.00,0.00,0.47,0.76,4.17,4.87,3.17,3.44,29.59,24.52,15.63,13.59,0.60,0.70,1.88,1.66,1.22,1.18,2.97,2.98,0.00,0.00,0.26,0.37,2.35,2.39,1.79,1.69
4,Bihar SRTC,8502,6536,7534,5981,7421,15087,6576,13805,1081,-8551,958,-7824,73.31,9.72,19.24,7.30,2.30,0.85,1.11,1.16,0.00,76.58,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.77,2.09,3.63,54.40,14.66,14.28,11.01,1.71,1.28,0.82,1.76,0.00,115.53,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.16,1.55,5.48
5,Calcutta STC,12134,12343,12515,11756,23848,17254,24597,16433,-11714,-4911,-12082,-4677,31.97,44.96,11.74,22.84,0.21,0.19,1.04,0.85,0.88,1.23,7.47,2.32,0.00,0.00,0.00,0.00,0.00,0.00,46.70,27.61,76.25,77.57,27.99,39.42,0.50,0.33,2.48,1.46,2.09,2.11,17.80,4.01,0.00,0.00,0.00,0.00,0.00,0.00,111.37,47.63
6,Delhi TC,9583,8161,16243,13098,24443,21335,41433,34239,-14861,-13173,-25189,-21142,24.50,25.85,6.06,7.15,0.01,0.04,4.48,4.37,60.77,57.46,2.69,2.96,0.08,0.20,0.31,0.36,0.30,0.38,0.79,1.22,59.88,55.16,14.80,15.26,0.02,0.09,10.96,9.33,148.55,122.58,6.58,6.31,0.20,0.44,0.77,0.77,0.74,0.81,1.94,2.60
7,Gujarat SRTC,2442,2407,9138,8957,2823,2639,10563,9822,-381,-232,-1425,-865,39.30,40.01,37.66,34.62,1.62,2.07,1.19,1.40,3.02,3.60,5.42,5.97,0.53,0.47,0.00,0.00,6.80,7.69,4.46,4.17,11.09,10.56,10.63,9.14,0.46,0.55,0.34,0.37,0.85,0.95,1.53,1.58,0.15,0.12,0.00,0.00,1.92,2.03,1.26,1.10
8,Himachal RTC,4441,4924,8343,9643,4888,4915,9183,9625,-447,9,-841,18,44.61,41.66,28.27,25.60,2.88,2.89,3.29,3.44,2.14,2.60,3.47,3.40,3.52,2.85,0.18,1.09,6.21,6.30,5.43,10.17,21.81,20.48,13.82,12.58,1.41,1.42,1.61,1.69,1.04,1.28,1.70,1.67,1.72,1.40,0.09,0.53,3.03,3.10,2.66,5.00
9,Jammu and Kashmir SRTC,4823,4562,3919,3525,6550,5339,5322,4125,-1727,-777,-1403,-600,66.43,59.03,21.25,22.60,1.03,1.81,2.57,2.24,0.00,0.00,0.00,3.15,0.00,0.00,0.93,1.77,7.80,9.40,0.00,0.00,43.51,31.52,13.92,12.07,0.67,0.97,1.69,1.20,0.00,0.00,0.00,1.68,0.00,0.00,0.61,0.94,5.11,5.02,0.00,0.00
10,Karnataka SRTC ,3222,3283,10588,10657,3402,3230,11178,10486,-180,53,-591,171,43.17,42.02,35.22,32.62,1.91,2.22,2.13,2.29,0.50,1.03,4.65,6.46,0.00,0.00,1.47,1.44,4.56,4.93,6.40,7.00,14.69,13.57,11.98,10.54,0.65,0.72,0.72,0.74,0.17,0.33,1.58,2.09,0.00,0.00,0.50,0.47,1.55,1.59,2.18,2.26
