S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2012-13,Average Fleet Held (Number) - 2013-14,Average Fleet Held (Number) - 2014-15,Average Fleet Held (Number) - 2015-16,Average Fleet Held (Number) - 2016-17,Average Age of Fleet (Years) - 2012-13,Average Age of Fleet (Years) - 2013-14,Average Age of Fleet (Years) - 2014-15,Average Age of Fleet (Years) - 2015-16,Average Age of Fleet (Years) - 2016-17,Staff Strength (Number) - 2012-13,Staff Strength (Number) - 2013-14,Staff Strength (Number) - 2014-15,Staff Strength (Number) - 2015-16,Staff Strength (Number) - 2016-17,Fuel Efficiency (Km/litre of HSD) - 2012-13,Fuel Efficiency (Km/litre of HSD) - 2013-14,Fuel Efficiency (Km/litre of HSD) - 2014-15,Fuel Efficiency (Km/litre of HSD) - 2015-16,Fuel Efficiency (Km/litre of HSD) - 2016-17,Passenger Kms Performed (Lakhs) - 2012-13,Passenger Kms Performed (Lakhs) - 2013-14,Passenger Kms Performed (Lakhs) - 2014-15,Passenger Kms Performed (Lakhs) - 2015-16,Passenger Kms Performed (Lakhs) - 2016-17,Passenger Carried (Lakhs) - 2012-13,Passenger Carried (Lakhs) - 2013-14,Passenger Carried (Lakhs) - 2014-15,Passenger Carried (Lakhs) - 2015-16,Passenger Carried (Lakhs) - 2016-17
1,Andhra Pradesh SRTC,22477,11857,12079,12012,12072,NA,NA,5.68,7.73,5.46,122287,63141,61806,57902,56592,5.2,5.21,5.23,5.19,5.20,1017168,446812,548032,516978.85,538552.0531,51673,16359,23192,22977.48,24017.00
2,Assam STC,NA,NA,815,1090,1067,NA,NA,3.53,4.40,5.35,NA,NA,3148,3987,3579,NA,NA,3.65,3.79,3.71,NA,NA,7065,7437.69,6564.01,NA,NA,149,207.95,173.94
3,Bangalore Metropolitan TC,6328,6603,6649,6439.4,6269.7,4.59,5.3,5.97,6.89,7.64,34278,36076,36474,35554,34306,3.8,3.82,3.79,3.76,3.74,214586,198797,217254,192031.51,174914.33,17112,18342,19367,18570.84,17611.25
4,Bihar SRTC,414,414,223,223,223,10.78,11.78,11.85,12.85,13.85,1204,920,749,625,525,4.3,4.31,4.29,4.27,4.17,3575,2678,2673,3146.03,3081.39,53,26,25,26.55,24.90
5,Calcutta STC,779,718,813,813,773,5.4,5.71,3.61,3.61,2.96,5485,5059,4998,4998,4647,3.0,2.96,2.11,2.11,2.04,12175,10120,7653,7652.94,8272,1077,865,869,869.30,986.00
6,Delhi TC,5602,5341,4977,4564,4168,5,6.3,6.7,7.10,7.50,38103,35503,32864,30527,27879,2.8,2.79,2.30,0.00,0.00,180220,155143,110187,105793.87,93766.28,17072,15868,14187,12944.24,11516.52
7,Gujarat SRTC,7719,7852,7765,7852,7863,NA,4.01,4.83,5.29,4.74,40370,40070,39257,39707,37688,5.5,5.50,5.48,5.48,5.42,351521,336104,333368,326305.62,350277.81,8411,8050,7735,7613.34,7887.10
8,Himachal RTC,2076,2059,2447,2645,3105,NA,8,NA,9.00,9.00,8419,8777,8018,9134,9236,3.6,3.58,3.61,3.67,3.70,72111,1691,NA,47997.93,51751.08,NA,NA,NA,NA,NA
9,Jammu and Kashmir SRTC,704,694,610,610,529,9,10.28,10.41,10.00,10.00,2207,2035,1720,1989,1921,4.2,4.28,4.23,4.34,4.33,6929,6436,179,4260.05,4068.34,51,52,46,46.44,41.91
10,Karnataka SRTC,7831,8243,8321,8172,8212,3.62,3.8,4.23,4.94,5.23,36249,38776,37326,37129,37675,4.8,4.76,4.82,4.83,4.84,368679,354625,354490,343937.34,338547.87,9391,9662,10349,10103.63,9959.00
11,Kerala SRTC,5847,5830,5691,5636,5869,6.5,6.71,6.97,6.39,6.20,39712,42431,40812,42240,43086,4.3,4.21,4.19,4.16,4.15,NA,NA,5537,187593,197195,12156,11634,11059,10438.00,10414.00
12,Maharashtra SRTC,17497,18055.13,17957,18514,18710,3.11,4,4.58,4.83,5.42,100052,107709,107500,105679,103043,4.9,4.77,4.76,4.76,4.77,536151,525761,649286,639210,615727,26064,25630,24557,24561.00,24438.00
13,Meghalaya STC,52,65,63,59,52,9,8,5.62,6.78,7.21,288,276,286,270,260,3.6,4.57,4.45,4.80,5.40,275,394,399,458.55,457.27,3,4,4,3.69,3.88
14,North Bengal STC,720,688,661,779,805,7.38,8.36,6.15,6.53,6.29,3410,3111,2370,3778,3709,4.0,3.94,4.09,4.10,4.25,15614,14560,13800,18266.81,18655.12,672,645,764,NA,NA
15,North Eastern Karnataka RTC,4058,4247,4319.6,4447,4384.8,5.12,5.25,5.68,6.19,6.26,18455,19128,18412,20341,20577,5.2,5.14,5.15,5.15,5.17,154908,153732,153146,158480.9,158552.46,4836,4873,4891,4922.70,4927.50
16,North Western Karnataka RTC,4523,4615,4738,4736.4,4801.9,NA,5.2,5.67,6.29,6.69,22262,22508,23573,23586,24321,5.1,5.10,5.17,5.18,5.18,171826,172959,179303,178564,177228,8213,8213,8304,8289.90,8249.00
17,Odisha SRTC,376,422,446,458,455,4.6,3.77,4.89,6.30,5.3,770,697,606,1599,1651,4.6,4.66,4.69,4.70,4.72,NA,15990,19949,12042.04,12313.52,57,55,64,69.64,71.21
18,Pepsu RTC,981,989,907,1025,1067,8,10.5,8,8,8,4397,3570,3046,3700,3658,4.4,4.45,4.44,4.52,4.65,1090,1074,NA,1178.71,1259.85,NA,NA,NA,35.69,37.27
19,Rajasthan SRTC,4480,4674,4704,4529,4635,4.07,3.67,4.18,5.03,5.26,19822,21384,20551,19163,17844,4.9,4.93,5.01,5.00,5.06,211371,222145,223386,289216.13,284702.25,3129,3466,3582,3387.78,3184.50
20,South Bengal STC,477,424,590,662,721,6.25,6.12,5.1,5.37,5.43,2244,2031,2148,2127,2148,4.1,4.10,4.12,4.16,4.32,16040,16734,11783,16585.41,18234.53,948,957,49,165.58,183.87
21,Telangana SRTC,NA,10288,10329,10391,10415,NA,5.85,6.32,7.12,7.44,NA,58039,56740,55993,54117,NA,5.09,5.12,5.10,5.13,NA,435830,436291,435517.99,432563.53,NA,32175,33391,32935.94,34879.77
