S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2016-17,Average Fleet Held (Number) - 2015-16,Average Fleet Operated (Number) - 2016-17,Average Fleet Operated (Number) - 2015-16,Fleet Utilisation (%) - 2016-17,Fleet Utilisation (%) - 2015-16,Avg Age of Fleet (Years) - 2016-17,Avg Age of Fleet (Years) - 2015-16,Over aged vehicles (%) - 2016-17,Over aged vehicles (%) - 2015-16,Fuel Efficiency (Km per Kg of CNG) - 2016-17,Fuel Efficiency (Km per Kg of CNG) - 2015-16,Fuel Efficiency (Km per litre of HSD) - 2016-17,Fuel Efficiency (Km per litre of HSD) - 2015-16,Effective Kilometres (Lakh) [Revenue Earning Kilometers (Lakh)] - 2016-17,Effective Kilometres (Lakh) [ Revenue Earning Kilometers (Lakh)] - 2015-16,Staff Strength (Number) - 2016-17,Staff Strength (Number) - 2015-16,Staff/Bus Ratio - 2016-17,Staff/Bus Ratio - 2015-16,Staff Productivity (Kms/Staff/Day) - 2016-17,Staff Productivity (Kms/Staff/Day) - 2015-16,Vehicle Productivity (Kms/Bus/Day) - 2016-17,Vehicle Productivity (Kms/Bus/Day) - 2015-16,Passenger Kilometres Offered (Lakh) - 2016-17,Passenger Kilometres Offered (Lakh) - 2015-16,Passenger KMS Performed (Lakh) - 2016-17,Passenger KMS Performed (Lakh) - 2015-16,Occupancy Ratio (%) - 2016-17,Occupancy Ratio (%) - 2015-16,Passengers Carried (Lakh) - 2016-17,Passengers Carried (Lakh) - 2015-16,Passengers carried per Bus/Day (Number) - 2016-17,Passengers carried per Bus/Day (Number) - 2015-16
1,Andhra Pradesh SRTC,12072,12012,12031,11931,99.66,99.33,5.46,7.73,13.29,13.28,NA,NA,5.20,5.19,16580.38,16237.56,56592,57902,4.69,4.82,80.27,76.62,376.29,369.34,791406.40,777454.37,538552.05,516978.85,68.05,66.50,24017.00,22977.48,545.06,522.64
2,Assam STC,1067,1090,614,668,57.54,61.28,5.35,4.40,36.40,12.58,NA,NA,3.71,3.79,266.89,300.69,3579,3987,3.35,3.66,20.43,20.61,68.53,75.37,8807.21,9943.53,6564.01,7437.69,74.53,74.80,173.94,207.95,44.66,52.13
3,Bangalore Metropolitan TC,6270,6439,5579,5856,88.99,90.95,7.64,6.89,22.70,14.40,NA,NA,3.74,3.76,4205.20,4469.82,34306,35554,5.47,5.52,33.58,34.35,183.76,189.65,254004.89,258802.58,174914.33,192031.51,68.86,74.20,17611.25,18570.84,769.57,787.96
4,Bihar SRTC,223,223,94,94,42.15,42.15,13.85,12.85,100.00,100.00,NA,NA,4.17,4.27,72.13,74.48,525,625,2.35,2.80,37.64,32.56,88.62,91.25,3462.24,3570.04,3081.39,3146.03,89.00,88.12,24.90,26.55,30.59,32.53
5,Calcutta STC,773,813,484,454,62.61,55.84,2.96,3.61,6.42,8.77,NA,NA,2.04,2.11,291.00,282.63,4647,4998,6.01,6.15,17.16,15.45,103.14,94.98,14125.00,9576.25,8272.00,7652.94,58.56,79.92,986.00,869.30,349.47,292.14
6,Delhi TC,4168,4564,3547,3817,85.10,83.63,7.50,7.10,6.08,13.07,2.24,2.26,NA,NA,2578.71,2673.50,27879,30527,6.69,6.69,25.34,23.93,169.50,160.05,152143.89,157736.50,93766.28,105793.87,61.63,67.07,11516.52,12944.24,757.01,774.91
7,Gujarat SRTC,7863,7852,6643,6587,84.48,83.89,4.74,5.29,3.54,7.47,NA,NA,5.42,5.48,10740.52,10665.37,37688,39707,4.79,5.06,78.08,73.39,374.23,371.12,528949.73,527887.64,350277.81,326305.62,66.22,61.81,7887.10,7613.34,274.81,264.92
8,Himachal RTC,3105,2645,2709,2509,87.25,94.86,9.00,9.00,17.71,11.92,NA,NA,3.70,3.67,2129.20,1890.60,9236,9134,2.97,3.45,63.16,56.55,187.87,195.30,NA,NA,51751.08,47997.93,NA,NA,NA,NA,NA,NA
9,Jammu and Kashmir SRTC,529,610,265,266,50.09,43.61,10.00,10.00,54.00,57.00,NA,NA,4.33,4.34,156.90,172.01,1921,1989,3.63,3.26,22.38,23.63,81.26,77.04,5491.43,6020.05,4068.34,4260.05,74.09,70.76,41.91,46.44,21.71,20.80
10,Karnataka SRTC ,8212,8172,7438,7401,90.57,90.57,5.23,4.94,25.20,15.90,NA,NA,4.84,4.83,9848.78,9683.57,37675,37129,4.59,4.54,71.62,71.26,328.58,323.76,499333.15,497733.96,338547.87,343937.34,67.80,69.10,9959.00,10103.63,332.26,337.81
11,Kerala SRTC,5869,5636,4664,4523,79.47,80.25,6.20,6.39,0.00,0.00,NA,NA,4.15,4.16,5771.00,5490.00,43086,42240,7.34,7.49,36.70,35.51,269.40,266.15,234918.00,242915.00,197195.00,187593.00,83.94,77.23,10414.00,10438.00,486.14,506.02
12,Maharashtra SRTC(P),18710,18514,16834,16981,89.97,91.72,5.42,4.83,8.38,1.67,NA,NA,4.77,4.76,20661.17,21006.38,103043,105679,5.51,5.71,54.93,54.31,302.54,310.01,895662.00,918189.00,615727.00,639210.00,68.75,69.62,24438.00,24561.00,357.85,362.46
13,Meghalaya STC,52,59,36,46,69.23,77.97,7.21,6.78,45.00,48.50,NA,NA,5.40,4.80,28.67,26.22,260,270,5.00,4.58,30.21,26.53,151.05,121.42,774.09,710.05,457.27,458.55,59.07,64.58,3.88,3.69,20.44,17.09
14,North Bengal STC,805,779,675,632,83.85,81.13,6.29,6.53,45.00,40.00,NA,NA,4.25,4.10,573.56,558.96,3709,3778,4.61,4.85,42.37,40.42,195.20,196.05,24497.10,24035.28,18655.12,18266.81,76.15,76.00,NA,NA,NA,NA
15,North Eastern Karnataka RTC,4385,4447,3969,3984,90.52,89.58,6.26,6.19,18.40,12.10,NA,NA,5.17,5.15,4853.04,4809.32,20577,20341,4.69,4.57,64.62,64.60,303.23,295.49,247505.04,250084.64,158552.46,158480.90,64.06,63.37,4927.50,4922.70,307.88,302.45
16,North Western Karnataka RTC,4802,4736,4570,4558,95.16,96.23,6.69,6.29,49.30,41.00,NA,NA,5.18,5.18,5854.09,5838.63,24321,23586,5.06,4.98,65.95,67.64,334.01,336.81,298559.00,297770.00,177228.00,178564.00,59.36,59.97,8249.00,8289.90,470.65,478.21
17,Odisha SRTC,455,458,379,372,83.30,81.22,5.30,6.30,6.00,11.00,NA,NA,4.72,4.70,339.69,330.13,1651,1599,3.63,3.49,56.37,56.41,204.54,196.94,19241.64,18817.41,12313.52,12042.04,63.99,63.99,71.21,69.64,42.88,41.54
18,Pepsu RTC,1067,1025,1067,1025,100.00,100.00,8.00,8.00,25.00,35.00,NA,NA,4.65,4.52,1259.85,1178.71,3658,3700,3.43,3.61,94.36,87.04,323.49,314.20,1299.40,1302.96,1259.85,1178.71,96.96,90.46,37.27,35.69,9.57,9.51
19,Rajasthan SRTC,4635,4529,4051,4013,87.40,88.61,5.26,5.03,19.63,12.92,NA,NA,5.06,5.00,5810.25,5902.37,17844,19163,3.85,4.23,89.21,84.16,343.44,356.08,305502.26,312847.36,284702.25,289216.13,93.19,92.45,3184.50,3387.78,188.23,204.38
20,South Bengal STC,721,662,470,446,65.19,67.37,5.43,5.37,5.55,10.07,4.94,NA,4.32,4.16,471.45,447.51,2148,2127,2.98,3.21,60.13,57.48,179.15,184.70,23572.50,22375.50,18234.53,16585.41,77.36,74.12,183.87,165.58,69.87,68.34
21,Telangana SRTC,10415,10391,10399,10379,99.85,99.88,7.44,7.12,8.72,17.21,4.32,4.39,5.13,5.10,12727.13,12381.39,54117,55993,5.20,5.39,64.43,60.42,334.79,325.56,637247.40,620307.64,432563.53,435517.99,67.88,70.21,34879.77,32935.94,917.53,866.03
22,Tripura RTC,47,47,16,16,34.04,34.04,9.00,8.00,24.00,20.00,NA,NA,5.35,5.25,1.20,1.35,307,353,6.53,7.51,1.07,1.04,7.00,7.85,1.15,1.20,1.00,1.00,86.96,83.33,1.80,2.00,10.49,11.63
23,Uttar Pradesh SRTC ,10780,9577,10526,9269,97.64,96.78,4.53,5.19,8.26,15.54,4.59,4.57,5.24,5.23,13517.38,11849.91,23487,23028,2.18,2.40,157.68,140.60,343.54,338.07,655482.00,573483.00,445728.00,418644.00,68.00,73.00,5645.91,5560.10,143.49,158.63
24,Uttarakhand  TC,1242,1246,1171,1174,94.28,94.22,6.00,6.00,10.00,20.50,NA,NA,4.66,4.63,1396.65,1382.00,3909,4111,3.15,3.30,97.89,91.85,308.09,303.05,1621.67,1532.26,1396.65,1382.00,86.12,90.19,368.22,369.17,81.23,80.95
25,Puducherry Road Transport corp,143,143,122,122,85.31,85.31,6.00,7.00,NA,NA,NA,NA,4.16,4.14,186.48,152.06,759,762,5.31,5.33,67.31,54.52,357.28,290.53,23.90,20.07,162.58,131.99,NA,NA,239.05,158.49,457.99,302.82
26,West Bengal Surface Transport Corp.,252,232,150,150,59.52,64.66,5.62,5.83,23.20,23.20,NA,NA,2.56,2.50,67.18,74.09,561,575,2.23,2.48,32.81,35.21,73.04,87.26,76.14,88.91,67.18,74.09,88.23,83.33,28.17,30.64,30.63,36.08
NA,TOTAL Corporations,108661,106902,98503,97273,90.65,90.99,6.63,6.64,23.27,22.52,4.02,3.74,4.48,4.43,120388.50,117879.26,517485,528857,4.76,4.95,63.74,60.90,303.54,301.28,5603707.23,5533205.20,3934039.10,3912888.45,70.20,70.72,164622.55,164100.96,415.07,419.42
27,Kadamba TC Ltd.,530,569,358,361,67.55,63.44,5.16,5.49,5.16,13.96,NA,NA,4.13,4.24,298.98,309.37,2023,2003,3.82,3.52,40.49,42.20,154.55,148.55,17639.74,17634.07,9386.34,9798.65,53.21,55.57,342.02,356.18,176.80,171.03
28,Metro TC (Chennai) Limited,4002,3832,3242,3237,81.01,84.47,7.08,6.59,74.92,72.71,NA,NA,4.50,4.36,3483.94,3535.23,24326,24930,6.08,6.51,39.24,38.74,238.51,252.06,243876.01,250415.44,189176.02,190868.11,77.57,76.22,17184.42,17814.63,1176.43,1270.19
29,PUNBUS,1209,1258,1100,1258,90.98,100.00,7.00,7.00,0.00,0.00,NA,NA,4.60,4.63,1365.85,1408.74,3746,3500,3.10,2.78,99.89,109.97,309.52,305.96,76204.70,81402.06,36638.70,36603.66,48.08,44.97,1047.55,1046.76,237.39,227.34
30,State Exp.TC TN Ltd.,1184,1169,1058,1053,89.36,90.08,5.03,4.06,78.73,78.30,NA,NA,5.24,5.19,2332.53,2235.03,6203,6677,5.24,5.71,103.02,91.46,539.74,522.38,97999.75,97692.46,80982.94,78934.11,82.64,80.80,2727.03,2259.62,631.02,528.13
31,TN STC (Coimbatore) Ltd.,3245,3249,3129,3166,96.43,97.45,6.88,6.10,51.80,48.84,NA,NA,5.18,5.16,4715.37,4867.88,18948,19647,5.84,6.05,68.18,67.70,398.11,409.36,343752.50,346988.69,180075.85,236590.85,52.39,68.18,9021.21,9322.91,761.65,784.01
32,TN STC (Kumbakonam) Ltd.,3718,3820,3605,3662,96.96,95.86,7.01,6.28,64.77,52.93,NA,NA,5.68,5.62,6215.07,6378.58,23527,23613,6.33,6.18,72.37,73.81,457.98,456.23,390318.93,399658.65,276075.91,280317.60,70.73,70.14,10488.33,10895.61,772.87,779.30
33,TN STC (Madurai) Ltd.,2593,2640,2298,2298,88.62,87.05,6.46,5.76,68.00,44.00,NA,NA,5.39,5.38,3972.12,4009.25,15089,15266,5.82,5.78,72.12,71.76,419.69,414.93,270332.27,272306.17,154322.48,155207.25,57.09,57.00,6103.95,6406.78,644.93,663.06
34,TN STC (Salem) Ltd.,2222,2309,2089,2109,94.01,91.34,7.50,6.78,67.85,66.39,NA,NA,5.58,5.55,3785.94,3944.63,13516,13760,6.08,5.96,76.74,78.33,466.81,466.77,241635.67,250876.58,177304.27,156566.93,73.38,62.41,5562.03,5533.12,685.80,654.73
35,TN STC (Villupuram) Ltd.,3576,3590,3425,3442,95.78,95.88,7.00,6.20,63.35,54.21,NA,NA,5.61,5.59,6413.27,6438.04,22530,22417,6.30,6.24,77.99,78.47,491.35,489.98,395646.33,399189.76,299522.90,298709.73,75.70,74.83,7819.38,8419.94,599.08,640.82
36,TN STC ( Tirunelvell) Ltd.,1881,1903,1756,1770,93.35,93.01,6.35,6.12,55.72,46.37,NA,NA,5.15,5.18,2864.03,2903.19,11839,11920,6.29,6.26,66.28,66.55,417.15,416.83,1874.38,1898.55,1403.64,1408.37,74.89,74.18,6672.74,6673.70,971.90,958.18
NA,TOTAL Companies,24160,24339,22060,22356,91.31,91.85,6.55,6.04,53.03,47.77,NA,NA,5.11,5.09,35447.10,36029.94,141747,143733,5.87,5.91,68.51,68.49,401.97,404.46,2079280.28,2118062.43,1404889.05,1445005.26,67.57,68.22,66968.66,68729.25,759.42,771.54
37,Andaman and Nicobar ST,268,268,247,247,92.16,92.16,7.32,7.32,19.00,14.00,NA,NA,3.72,3.72,106.03,105.80,990,858,3.69,3.20,29.34,33.69,108.39,107.86,107.86,107.62,106.03,105.80,98.30,98.31,81.32,115.09,83.13,117.33
38,Arunachal Pradesh ST,192,164,157,140,81.77,85.37,9.32,...,54.00,63.00,NA,NA,3.00,2.56,82.00,72.00,815,815,4.24,4.97,27.57,24.14,117.01,119.95,80.00,88.00,80.00,72.00,100.00,81.82,NA,12.66,NA,21.09
39,Chandigarh TU,533,494,450,421,84.43,85.22,4.74,7.83,22.70,72.42,NA,NA,3.69,3.71,404.95,394.87,1921,1967,3.60,3.98,57.75,54.85,208.15,218.40,14173.00,15795.00,12149.00,11846.00,85.72,75.00,557.85,539.19,286.75,298.22
40,Haryana ST,4145,4170,3771,3747,90.98,89.86,4.37,4.07,2.00,2.00,3.26,3.16,4.75,4.74,4601.87,4589.28,16968,17646,4.09,4.23,74.30,71.06,304.17,300.70,230094.00,229464.00,158216.00,172764.00,68.76,75.29,4458.81,4554.46,294.71,298.41
41,Mizoram ST,49,32,23,15,46.94,46.88,6.00,6.80,6.10,9.30,NA,NA,2.69,3.01,5.99,6.08,383,383,7.82,11.97,4.28,4.34,33.49,51.91,155.96,158.31,127.89,154.57,82.00,97.64,0.56,0.42,3.13,3.59
42,Nagaland ST,223,223,75,82,33.63,36.77,12.00,11.09,79.82,70.41,NA,NA,3.75,3.75,45.10,53.98,1050,1050,4.71,4.71,11.77,14.05,55.41,66.14,1575.00,1889.00,1103.00,1360.00,70.03,72.00,12.00,13.00,14.74,15.93
43,State Transport Punjab,605,484,605,484,100.00,100.00,7.00,7.00,23.00,23.00,NA,NA,4.54,4.52,366.49,339.67,3644,3834,6.02,7.92,27.55,24.21,165.96,191.75,22976.75,18424.44,13840.80,10947.06,60.24,59.42,441.65,351.36,200.00,198.35
44,Sikkim NT ,122,126,103,104,84.43,82.54,6.38,8.00,10.65,19.84,NA,NA,3.30,3.30,22.86,18.98,677,723,5.55,5.74,9.25,7.17,51.34,41.16,708.66,588.38,571.50,417.43,80.65,70.95,18.03,14.06,40.49,30.49
NA,Total Govt Deptts.,6137,5961,5431,5240,88.50,87.90,7.14,7.44,27.16,34.25,3.26,3.16,3.68,3.66,5635.29,5580.66,26448,27276,4.31,4.58,58.38,55.90,251.57,255.79,269871.23,266514.75,186194.22,197666.86,68.99,74.17,5570.22,5600.24,248.67,256.69
45,Ahmedabad MTC ,910,993,775,804,85.16,80.97,5.30,6.34,0.18,9.34,NA,NA,3.22,3.26,510.73,580.31,5365,5498,5.90,5.54,26.08,28.84,153.76,159.67,24636.26,28283.52,16282.48,17902.19,66.09,63.30,2095.00,2274.95,630.74,625.95
46,BEST Undertaking,3844,4094,3267,3466,84.99,84.66,9.83,9.10,0.00,0.00,2.67,2.72,2.87,2.84,2137.53,2343.99,32676,34334,8.50,8.39,17.92,18.65,152.35,156.43,139463.34,153160.76,70275.18,73489.93,50.39,47.98,10342.64,10610.84,737.15,708.14
47,Kolhapur MTU,129,129,107,101,82.95,78.29,7.60,5.50,42.00,42.00,NA,NA,3.96,3.91,86.51,86.98,944,974,7.32,7.55,25.11,24.40,183.73,184.23,4152.69,4175.16,2953.78,2977.46,71.13,71.31,221.59,220.46,470.62,466.94
48,Navi Mumbai MT,385,375,310,257,80.52,68.53,4.81,4.47,10.67,5.18,2.80,NA,4.90,2.92,310.96,264.07,2560,2395,6.65,6.39,33.28,30.13,221.28,192.40,380.33,329.75,310.96,264.07,81.76,80.08,912.00,844.00,648.99,614.94
49,Pune Mahamandal ,2045,2075,1380,1447,67.48,69.73,9.17,8.18,0.00,0.00,3.06,3.24,3.14,3.26,1093.30,1146.16,9656,9945,4.72,4.79,31.02,31.49,146.47,150.92,59859.97,62855.59,41496.51,49498.25,69.32,78.75,3939.17,4115.04,527.74,541.84
50,Sholapur MT,203,180,50,80,24.63,44.44,5.00,4.00,4.10,5.10,NA,NA,5.00,6.00,64.61,105.12,928,986,4.57,5.48,19.07,29.13,87.19,159.56,50.49,83.10,50.49,83.10,100.00,100.00,110.83,263.46,149.57,399.90
51,Thane MT,393,353,195,192,49.62,54.39,5.10,4.20,49.62,54.39,2.48,2.56,2.76,2.78,122.55,130.94,2095,2186,5.33,6.19,16.03,16.37,85.43,101.35,6906.89,7187.34,3877.32,4781.22,56.14,66.52,470.03,574.92,327.67,444.99
52,Kalyan Dombivali MT,170,170,73,73,42.94,42.94,4.70,3.75,4.59,22.37,NA,NA,3.34,2.85,52.66,58.69,564,570,3.32,3.35,25.58,28.13,84.87,94.33,83.14,78.25,16.34,15.08,19.65,19.27,147.20,168.30,237.23,270.49
NA,Total Muncipal undertakings,8079,8369,6157,6420,76.21,76.71,5.99,5.03,13.90,17.30,2.75,2.84,3.65,3.48,4378.85,4716.26,54788,56888,6.78,6.80,21.90,22.65,148.49,153.97,235533.11,256153.47,135263.06,149011.30,57.43,58.17,18238.46,19071.97,618.50,622.65
53,HIMCHAHL PRADESH TDCL,17,17,12,11,70.59,64.71,7.50,6.50,4.00,4.00,NA,NA,2.80,2.85,NA,NA,76,92,4.47,5.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
