S. No.,Name of State Road Transport Undertaking (SRTU),Total Revenue (Rs. Lakh) - 2016-17,Total Revenue (Rs. Lakh) - 2015-16,Total Cost (Rs. Lakh) - 2016-17,Total Cost (Rs. Lakh) - 2015-16,Net Profit/Loss (Rs. Lakh) - 2016-17,Net Profit/Loss (Rs. Lakh) - 2015-16,Profit before Tax (Rs. Lakh) - 2016-17,Profit before Tax (Rs. Lakh) - 2015-16
1,Andhra Pradesh SRTC,525046.15,505851.96,495154.61,501957.08,29891.54,3894.88,71262.85,27243.76
2,Assam STC,11950.46,17261.42,18636.11,23791.96,-6685.65,-6530.54,-6590.30,-6438.59
3,Bangalore Metropolitan TC,210610.41,220748.39,236701.42,219375.73,-26091.01,1372.66,-16212.34,12063.59
4,Bihar SRTC,6132.28,4868.25,5352.72,11236.86,779.56,-6368.61,884.27,-6282.58
5,Calcutta STC,35311.19,34884.32,69398.58,48764.56,-34087.39,-13880.24,-34087.39,-13880.24
6,Delhi TC,247110.11,218186.32,630321.27,570378.68,-383211.16,-352192.36,-381298.63,-350018.42
7,Gujarat SRTC,262262.22,256695.66,303151.52,281487.77,-40889.30,-24792.11,-20281.15,-3132.06
8,Himachal RTC,94550.54,93095.43,104076.57,92922.81,-9526.03,172.62,-3064.84,6025.66
9,Jammu and Kashmir SRTC,7567.18,7847.48,10276.15,9183.89,-2708.97,-1336.41,-1907.82,-472.87
10,Karnataka SRTC ,317351.17,317878.99,335058.78,312783.85,-17707.61,5095.14,-2417.42,20512.02
11,Kerala SRTC,186111.00,181541.00,363173.00,303528.00,-177062.00,-121987.00,-167041.00,-112257.00
12,Maharashtra SRTC(P),707827.39,734535.58,758376.16,746724.06,-50548.77,-12188.48,48490.15,91603.75
13,Meghalaya STC,1317.67,1228.05,1463.65,1581.73,-145.98,-353.68,-139.63,-349.33
14,North Bengal STC,26261.11,24312.64,28440.96,26305.98,-2179.85,-1993.34,-2164.93,-1982.96
15,North Eastern Karnataka RTC,151942.27,150125.08,158898.91,154417.25,-6956.64,-4292.17,-12.50,2612.37
16,North Western Karnataka RTC,174037.58,173379.48,185992.92,177257.93,-11955.34,-3878.45,-4612.56,3547.08
17,Odisha SRTC,9701.46,8911.11,9521.99,8411.04,179.47,500.07,760.38,1016.86
18,Pepsu RTC,50500.21,46440.26,52847.82,47265.63,-2347.61,-825.37,5799.23,6448.49
19,Rajasthan SRTC,179563.80,170756.24,234313.00,222595.56,-54749.20,-51839.32,-32419.77,-30107.83
20,South Bengal STC,18773.28,17053.95,23908.25,21151.04,-5134.97,-4097.09,-4300.55,-3312.26
21,Telangana SRTC,429571.21,438472.14,504468.81,516132.20,-74897.60,-77660.06,-47776.60,-51788.61
22,Tripura RTC,1853.55,1952.72,1876.20,1992.18,-22.65,-39.46,-16.05,-31.29
23,Uttar Pradesh SRTC (P),396747.88,338639.88,387028.46,337049.86,9719.42,1590.02,54386.61,38840.93
24,Uttarakhand  TC,49001.18,45886.26,50936.36,46943.86,-1935.18,-1057.60,834.56,1698.37
25,Puducherry Road Transport corp,5028.00,3916.00,5193.00,4447.00,-165.00,-531.00,-71.00,-443.00
26,West Bengal Surface Transport Corp.,3358.68,34827.65,9407.47,8458.85,-6048.79,26368.80,-6048.79,26368.80
NA,TOTAL Corporations,4109487.98,4049296.26,4983974.69,4696145.36,-874486.71,-646849.10,-548045.22,-342515.36
27,Kadamba TC Ltd.,16704.33,16854.34,17057.43,16334.79,-353.10,519.55,-123.72,752.55
28,Metro TC (Chennai) Limited,139570.24,130481.02,191518.24,180448.47,-51948.00,-49967.45,-50804.59,-48912.03
29,PUNBUS,49474.00,43564.00,49049.00,43099.00,425.00,465.00,1651.17,7726.06
30,State Exp.TC TN Ltd.,68029.87,63400.65,85739.19,79107.34,-17709.32,-15706.69,-12331.59,-9958.90
31,TN STC (Coimbatore) Ltd.,126594.44,120691.02,174674.25,160889.95,-48079.81,-40198.93,-44616.29,-36761.80
32,TN STC (Kumbakonam) Ltd.,163549.42,157591.41,211271.91,196452.94,-47722.49,-38861.53,-40825.87,-31869.78
33,TN STC (Madurai) Ltd.,106380.74,101324.05,140915.26,128724.90,-34534.52,-27400.85,-32220.24,-25080.84
34,TN STC (Salem) Ltd.,93183.81,90171.30,123713.45,113507.10,-30529.64,-23335.80,-27976.85,-20752.80
35,TN STC (Villupuram) Ltd.,164866.94,154212.48,202480.10,193269.06,-37613.16,-39056.58,-33465.34,-34857.11
