S. No.,Name of State Road Transport Undertaking (SRTU),Number of Accidents - 2016-17,Number of Accidents - 2015-16, Number of Fatal Accidents - 2016-17, Number of Fatal Accidents - 2015-16,Effective Kilometres (Lakh)/Revenue Earning Kilometers (Lakh) - 2016-17,Effective Kilometres (Lakh)/Revenue Earning Kilometers (Lakh) - 2015-16,Number of Accidents per lakh Effective Kilometres - 2016-17,Number of Accidents per lakh Effective Kilometres - 2015-16,Number of Fatal Accidents per lakh Effective Kilometers - 2016-17,Number of Fatal Accidents per lakh Effective Kilometers - 2015-16
1,Andhra Pradesh SRTC,1206,1108,450,409,16580.38,16237.56,0.07,0.07,0.03,0.03
2,Assam STC,76,31,5,6,266.89,300.69,0.28,0.10,0.02,0.02
3,Bangalore Metropolitan TC,299,338,44,68,4205.20,4469.82,0.07,0.08,0.01,0.02
4,Bihar SRTC,2,4,0,0,72.13,74.48,0.03,0.05,0.00,0.00
5,Calcutta STC,243,308,6,13,291.00,282.63,0.84,1.09,0.02,0.05
6,Delhi TC,128,153,28,30,2578.71,2673.50,0.05,0.06,0.01,0.01
7,Gujarat SRTC,560,569,143,164,10740.52,10665.37,0.05,0.05,0.01,0.02
8,Himachal RTC,60,57,28,19,2129.20,1890.60,0.03,0.03,0.01,0.01
9,Jammu and Kashmir SRTC,16,19,4,2,156.90,172.01,0.10,0.11,0.03,0.01
10,Karnataka SRTC ,1050,1100,299,271,9848.78,9683.57,0.11,0.11,0.03,0.03
11,Kerala SRTC,1445,1504,153,193,5771.00,5490.00,0.25,0.27,0.03,0.04
12,Maharashtra SRTC(P),2772,2920,343,369,20661.17,21006.38,0.13,0.14,0.02,0.02
13,Meghalaya STC,0,0,0,0,28.67,26.22,0.00,0.00,0.00,0.00
14,North Bengal STC,160,113,31,33,573.56,558.96,0.28,0.20,0.05,0.06
15,North Eastern Karnataka RTC,408,404,101,118,4853.04,4809.32,0.08,0.08,0.02,0.02
16,North Western Karnataka RTC,449,499,116,169,5854.09,5838.63,0.08,0.09,0.02,0.03
17,Odisha SRTC,28,27,10,6,339.69,330.13,0.08,0.08,0.03,0.02
18,Pepsu RTC,43,41,23,16,1259.85,1178.71,0.03,0.03,0.02,0.01
19,Rajasthan SRTC,274,322,113,129,5810.25,5902.37,0.05,0.05,0.02,0.02
20,South Bengal STC,65,61,12,15,471.45,447.51,0.14,0.14,0.03,0.03
21,Telangana SRTC,796,827,324,348,12727.13,12381.39,0.06,0.07,0.03,0.03
22,Tripura RTC,0,0,0,0,1.20,1.35,0.00,0.00,0.00,0.00
23,Uttar Pradesh SRTC (P),648,630,348,339,13517.38,11849.91,0.05,0.05,0.03,0.03
24,Uttarakhand  TC,59,97,10,29,1396.65,1382.00,0.04,0.07,0.01,0.02
25,Puducherry Road Transport corp,58,51,8,12,186.48,152.06,0.31,0.34,0.04,0.08
26,West Bengal Surface Transport Corp.,67,74,1,1,67.18,74.09,1.00,1.00,0.01,0.01
NA,TOTAL Corporations,10912,11257,2600,2759,120388.50,117879.26,0.09,0.10,0.02,0.02
27,Kadamba TC Ltd.,77,70,3,4,298.98,309.37,0.26,0.23,0.01,0.01
28,Metro TC (Chennai) Limited,1260,1551,19,114,3483.94,3535.23,0.36,0.44,0.01,0.03
29,PUNBUS,60,94,0,0,1365.85,1408.74,0.04,0.07,0.00,0.00
30,State Exp.TC TN Ltd.,301,335,62,77,2332.53,2235.03,0.13,0.15,0.03,0.03
31,TN STC (Coimbatore) Ltd.,884,983,173,177,4715.37,4867.88,0.19,0.20,0.04,0.04
32,TN STC (Kumbakonam) Ltd.,993,982,232,240,6215.07,6378.58,0.16,0.15,0.04,0.04
33,TN STC (Madurai) Ltd.,559,551,157,152,3972.12,4009.25,0.14,0.14,0.04,0.04
34,TN STC (Salem) Ltd.,239,304,133,162,3785.94,3944.63,0.06,0.08,0.04,0.04
35,TN STC (Villupuram) Ltd.,1004,1085,228,230,6413.27,6438.04,0.16,0.17,0.04,0.04
36,TN STC ( Tirunelvell) Ltd.,305,374,116,106,2864.03,2903.19,0.11,0.13,0.04,0.04
NA,TOTAL Companies,5682,6329,1123,1262,35447.10,36029.94,0.16,0.18,0.03,0.04
37,Andaman and Nicobar ST,4,3,1,1,106.03,105.80,0.04,0.03,0.01,0.01
38,Arunachal Pradesh ST,0,2,0,0,82.00,72.00,0.00,0.03,0.00,0.00
39,Chandigarh TU,202,154,9,6,404.95,394.87,0.50,0.39,0.02,0.02
40,Haryana ST,284,263,117,123,4601.87,4589.28,0.06,0.06,0.03,0.03
41,Mizoram ST,2,1,0,0,5.99,6.08,0.33,0.16,0.00,0.00
42,Nagaland ST,0,1,0,1,45.10,53.98,0.00,0.02,0.00,0.02
43,State Transport Punjab,0,1,0,0,366.49,339.67,0.00,0.00,0.00,0.00
44,Sikkim NT ,0,0,0,0,22.86,18.98,0.00,0.00,0.00,0.00
NA,Total Govt Deptts.,492,425,127,131,5635.29,5580.66,0.09,0.08,0.02,0.02
45,Ahmedabad MTC ,731,715,13,19,510.73,580.31,1.43,1.23,0.03,0.03
46,BEST Undertaking,407,465,21,29,2137.53,2343.99,0.19,0.20,0.01,0.01
47,Kolahpur MTU,124,162,4,1,86.51,86.98,1.43,1.86,0.05,0.01
48,Navi Mumbai MT,204,151,6,5,310.96,264.07,0.66,0.57,0.02,0.02
49,Pune Mahamandal ,34,50,6,12,1093.30,1146.16,0.03,0.04,0.01,0.01
50,Solapur MT,37,88,1,5,64.61,105.12,0.57,0.84,0.02,0.05
51,Thane MT,65,59,2,3,122.55,130.94,0.53,0.45,0.02,0.02
52,Kalyan Dombivali MT,10,10,2,4,52.66,58.69,0.19,0.17,0.04,0.07
NA,Total Muncipal undertakings,1612,1700,55,78,4378.85,4716.26,0.37,0.36,0.01,0.02
53,HIMCHAHL PRADESH TDCL,0,0,0,0,NA,NA,NA,NA,NA,NA
54,DELHI INTEGRATED MTS,18,30,15,20,1041.76,1006.96,0.02,0.03,0.01,0.02
NA,Total Associate members,18,30,15,20,1041.76,1006.96,0.02,0.03,0.01,0.02
55,MEERUT CIY TSL,19,12,5,4,80.54,88.29,0.24,0.14,0.06,0.05
56,KANPUR CITY TSL,11,9,4,3,11.17,5.66,0.98,1.59,0.36,0.53
NA,Total Special Purpose Vehicle,30,21,9,7,91.71,93.95,0.33,0.22,0.10,0.07
NA,Total (Reporting SRTUs),18746,19762,3929,4257,166983.20,165307.03,0.11,0.12,0.02,0.03
