States/UTs,Pedestrian - Number of Road Accidents,Pedestrian - Number of Persons - Killed,Pedestrian - Number of Persons - Greviously Injured,Pedestrian - Number of Persons - Minor Injured,Bicycles - Number of Road Accidents,Bicycles - Number of Persons - Killed,Bicycles - Number of Persons - Greviously Injured,Bicycles - Number of Persons - Minor Injured,Two Wheelers - Number of Road Accidents,Two Wheelers - Number of Persons - Killed,Two Wheelers - Number of Persons - Greviously Injured,Two Wheelers - Number of Persons - Minor Injured,Auto Rickshaws - Number of Road Accidents,Auto Rickshaws - Number of Persons - Killed,Auto Rickshaws - Number of Persons - Greviously Injured,Auto Rickshaws - Number of Persons - Minor Injured,"Cars, Taxis, Vans and LMV - Number of Road Accidents","Cars, Taxis, Vans and LMV - Number of Persons - Killed","Cars, Taxis, Vans and LMV - Number of Persons - Greviously Injured","Cars, Taxis, Vans and LMV - Number of Persons - Minor Injured",Trucks/Lorries - Number of Road Accidents,Trucks/Lorries - Number of Persons - Killed,Trucks/Lorries - Number of Persons - Greviously Injured,Trucks/Lorries - Number of Persons - Minor Injured,Buses - Number of Road Accidents,Buses - Number of Persons - Killed,Buses - Number of Persons - Greviously Injured,Buses - Number of Persons - Minor Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Road Accidents,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Killed,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Greviously Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Minor Injured,Others - Number of Road Accidents,Others - Number of Persons - Killed,Others - Number of Persons - Greviously Injured,Others - Number of Persons - Minor Injured
Agra,26,26,26,19,39,11,16,19,277,104,120,45,74,63,59,29,116,114,74,26,99,52,88,35,190,63,67,13,188,143,162,38,76,40,70,26
Ahmedabad,418,135,195,153,29,14,16,9,591,126,271,269,136,52,48,43,113,56,11,55,18,13,6,7,15,1,21,4,0,0,0,0,55,42,21,14
Allahabad(Prayagraj),110,34,33,35,92,31,35,34,241,132,97,44,210,81,108,40,198,87,84,37,126,94,57,39,141,49,69,39,201,44,100,66,94,47,29,19
Amritsar,18,13,9,2,9,7,3,0,74,53,26,10,1,0,0,3,14,9,11,3,2,1,1,0,0,0,0,0,2,2,0,0,13,10,8,0
Asansol Durgapur,208,162,60,3,21,11,9,0,102,62,60,12,1,1,0,0,39,16,35,13,34,28,46,14,11,5,68,15,3,3,0,0,27,25,6,11
Aurangabad,158,59,94,19,8,2,4,2,270,109,158,54,25,4,24,8,73,17,18,12,6,3,1,3,10,0,0,16,2,1,0,1,8,4,18,2
Bengaluru,1352,272,783,414,47,13,21,20,2197,374,1332,876,184,16,71,72,581,34,148,253,81,4,13,25,66,1,32,55,0,0,0,0,176,54,88,47
Bhopal,138,25,19,94,2,2,1,1,1187,93,124,1085,141,4,6,96,1163,45,51,718,221,28,3,118,218,12,6,127,0,0,0,0,217,50,13,168
Chandigarh,88,36,2,57,28,10,2,20,124,46,11,98,18,7,1,36,39,3,1,16,1,1,0,0,2,0,0,23,5,1,0,8,0,0,0,0
Coimbatore,111,9,30,55,11,3,25,13,433,54,132,328,31,2,6,23,234,12,68,193,123,28,46,65,119,24,25,64,0,0,0,0,0,0,0,0
Chennai,566,126,145,337,174,43,29,112,2669,514,803,1948,463,44,87,449,1948,202,501,1547,709,222,135,358,342,101,73,178,0,0,0,0,0,0,0,0
Delhi,1161,364,206,653,239,67,30,163,1919,490,274,1376,281,51,51,240,910,233,107,802,166,62,15,102,128,27,13,119,427,90,38,363,379,79,44,556
Dhanbad,25,14,9,10,16,7,14,6,92,75,17,10,12,8,5,0,8,5,1,0,2,2,0,0,1,1,0,0,11,11,0,3,4,4,0,0
Faridabad,242,117,27,126,40,17,4,23,299,86,62,253,39,8,6,52,39,15,2,57,11,10,0,5,1,1,0,0,2,1,0,3,16,9,0,15
Ghaziabad,143,62,74,33,18,8,9,3,374,167,165,90,40,12,22,13,259,110,91,66,21,11,11,1,21,8,12,6,0,0,0,0,14,7,6,4
Gwalior,474,70,14,390,34,6,0,24,321,49,21,240,132,19,6,99,253,29,6,139,155,28,6,77,147,27,13,92,0,0,0,0,593,64,14,467
Hyderabad,820,95,62,672,17,4,1,12,1355,157,101,1438,146,6,7,136,496,4,10,182,14,0,1,11,52,5,2,14,0,0,0,0,0,0,0,0
Indore,1196,131,26,1158,45,3,0,46,970,126,7,983,63,1,1,52,317,22,0,191,111,8,1,11,66,3,0,18,7,1,0,2,608,33,7,488
Jabalpur,184,29,35,144,229,25,48,244,1469,107,188,1308,358,69,60,323,653,93,87,519,146,44,57,267,225,39,56,194,0,0,0,0,133,0,0,0
Jaipur,907,296,203,342,31,4,8,30,916,255,311,513,45,9,15,27,1530,402,485,895,598,264,134,318,244,53,74,226,0,0,0,0,0,0,0,0
Jamshedpur,3,0,5,0,19,11,11,0,79,47,35,7,32,12,20,7,29,5,15,9,24,14,9,6,5,3,5,0,0,0,0,0,0,0,0,0
