States/UTs,T-Junction - Total number of Accidents - Numbers,T-Junction - Total number of Accidents - Rank,T-Junction - Persons Killed - Numbers,T-Junction - Persons Killed - Rank,T-Junction - Persons Injured - Greviously Injured,T-Junction - Persons Injured - Minor Injury,T-Junction - Persons Injured - Total Injured,Y-Junction - Total number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured - Greviously Injured,Y-Junction - Persons Injured - Minor Injury,Y-Junction - Persons Injured - Total Injured,Four arm Junction - Total number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured - Greviously Injured,Four arm Junction - Persons Injured - Minor Injury,Four arm Junction - Persons Injured - Total Injured,Staggered Junction - Total number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured - Greviously Injured,Staggered Junction - Persons Injured - Minor Injury,Staggered Junction - Persons Injured - Total Injured,Round about Junction - Total number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured - Greviously Injured,Round about Junction - Persons Injured - Minor Injury,Round about Junction - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured,Total - Total number of Accidents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured
Agra,71,31,52,12,27,29,56,85,34,46,42,88,114,29,51,45,96,101,46,57,40,97,91,28,34,37,71,623,427,467,57,524,1085,616,682,250,932
Ahmedabad,187,22,56,11,77,79,156,74,21,38,32,70,247,82,121,96,217,101,30,45,45,90,179,53,84,94,178,587,197,224,208,432,1375,439,589,554,1143
Allahabad(Prayagraj),130,24,42,16,50,47,97,113,44,60,42,102,181,57,72,49,121,116,36,62,28,90,103,35,36,32,68,770,385,332,155,487,1413,599,612,353,965
Amritsar,6,46,2,47,3,1,4,0,0,0,0,0,3,1,2,0,2,3,1,2,0,2,4,1,3,0,3,117,90,48,17,65,133,95,58,18,76
Asansol Durgapur,52,38,39,17,11,4,15,9,5,4,1,5,19,12,7,4,11,71,59,28,11,39,8,5,3,9,12,287,193,231,39,270,446,313,284,68,352
Aurangabad,71,31,32,22,37,11,48,6,1,3,1,4,64,21,32,26,58,0,0,0,0,0,5,2,0,3,3,414,143,245,76,321,560,199,317,117,434
Bengaluru,786,3,133,3,419,274,693,217,22,96,101,197,819,111,445,269,714,553,81,293,194,487,331,86,181,74,255,1978,335,1054,850,1904,4684,768,2488,1762,4250
Bhopal,362,12,39,17,23,244,267,346,34,37,229,266,208,3,23,141,164,806,54,37,664,701,205,16,2,153,155,1360,113,101,976,1077,3287,259,223,2407,2630
Chandigarh,5,47,1,48,0,5,5,0,0,0,0,0,53,17,1,81,82,13,5,4,7,11,13,2,0,9,9,221,79,12,156,168,305,104,17,258,275
Coimbatore,135,23,24,32,53,79,132,62,5,27,42,69,52,5,19,39,58,0,0,0,0,0,10,0,0,0,0,803,98,233,581,814,1062,132,332,741,1073
Chennai,481,9,83,8,197,234,431,221,44,89,107,196,465,96,175,239,414,455,65,188,217,405,540,68,223,313,536,4709,896,901,3819,4720,6871,1252,1773,4929,6702
Delhi,717,4,181,1,109,552,661,354,72,40,340,380,801,198,89,637,726,462,99,77,338,415,339,90,32,248,280,2937,823,431,2259,2690,5610,1463,778,4374,5152
Dhanbad,56,35,37,20,18,16,34,50,41,14,4,18,16,11,4,2,6,22,16,5,4,9,27,22,5,3,8,0,0,0,0,0,171,127,46,29,75
Faridabad,7,45,3,45,0,5,5,0,0,0,0,0,101,35,11,80,91,0,0,0,0,0,2,1,0,2,2,579,225,90,447,537,689,264,101,534,635
Ghaziabad,52,38,15,38,28,21,49,10,0,9,6,15,138,63,71,22,93,24,5,18,9,27,33,7,19,15,34,633,295,245,143,388,890,385,390,216,606
Gwalior,230,21,26,28,11,167,178,160,20,8,105,113,359,45,16,255,271,108,5,5,84,89,37,6,0,26,26,1215,190,40,891,931,2109,292,80,1528,1608
Hyderabad,286,15,28,25,28,235,263,165,15,7,127,134,134,8,11,98,109,1909,182,125,1647,1772,406,38,13,358,371,0,0,0,0,0,2900,271,184,2465,2649
Indore,916,2,95,7,16,785,801,868,85,12,734,746,577,53,7,522,529,71,6,0,63,63,655,72,6,613,619,296,17,1,232,233,3383,328,42,2949,2991
Jabalpur,962,1,114,5,187,838,1025,495,43,56,434,490,624,49,81,567,648,319,64,61,255,316,67,0,2,78,80,930,136,144,827,971,3397,406,531,2999,3530
Jaipur,348,13,68,9,111,189,300,73,15,28,34,62,368,61,96,252,348,48,5,6,47,53,80,22,29,34,63,3354,1112,960,1795,2755,4271,1283,1230,2351,3581
Jamshedpur,59,34,26,28,22,11,33,51,25,21,9,30,34,18,19,4,23,25,12,15,3,18,22,11,23,2,25,0,0,0,0,0,191,92,100,29,129
Jodhpur,76,29,27,27,17,32,49,38,10,8,23,31,50,9,6,18,24,23,10,1,14,15,34,5,3,29,32,896,528,242,441,683,1117,589,277,557,834
Kannur,109,26,15,38,87,64,151,36,7,20,12,32,19,3,14,6,20,0,0,0,0,0,5,0,3,3,6,488,57,281,321,602,657,82,405,406,811
Kanpur,54,37,28,25,34,7,41,33,16,24,4,28,31,15,21,7,28,136,63,71,17,88,241,106,126,32,158,1012,464,559,141,700,1507,692,835,208,1043
Khozikode,344,14,21,35,268,80,348,54,6,42,13,55,131,14,88,41,129,9,1,8,7,15,6,1,5,1,6,1053,136,741,303,1044,1597,179,1152,445,1597
