States/UTs,Traffic Light Signal - Total number of Accidents,Traffic Light Signal - Persons Killed,Traffic Light Signal - Persons Injured - Greviously Injured,Traffic Light Signal - Persons Injured - Minor Injury,Traffic Light Signal - Persons Injured - Total Injured,Police Controlled - Total number of Accidents,Police Controlled - Persons Killed,Police Controlled - Persons Injured - Greviously Injured,Police Controlled - Persons Injured - Minor Injury,Police Controlled - Persons Injured - Total Injured,Stop Sign - Total number of Accidents,Stop Sign - Persons Killed,Stop Sign - Persons Injured - Greviously Injured,Stop Sign - Persons Injured - Minor Injury,Stop Sign - Persons Injured - Total Injured,Flashing Signal/Blinker - Total number of Accidents,Flashing Signal/Blinker - Persons Killed,Flashing Signal/Blinker - Persons Injured - Greviously Injured,Flashing Signal/Blinker - Persons Injured - Minor Injury,Flashing Signal/Blinker - Persons Injured - Total Injured,Uncontrolled - Total number of Accidents - Number,Uncontrolled - Total number of Accidents - Rank,Uncontrolled - Persons Killed - Number,Uncontrolled - Persons Killed - Rank,Uncontrolled - Persons Injured - Greviously Injured,Uncontrolled - Persons Injured - Minor Injury,Uncontrolled - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured,Total - Total number of Accidents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured
Agra,50,10,29,52,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,15,179,8,186,141,327,623,427,467,57,524,1085,616,682,250,932
Ahmedabad,64,19,31,24,55,32,13,19,10,29,32,9,18,10,28,18,5,8,7,15,642,10,196,7,289,295,584,587,197,224,208,432,1375,439,589,554,1143
Allahabad(Prayagraj),130,40,49,49,98,121,46,56,42,98,168,58,67,44,111,119,34,61,29,90,105,37,36,30,47,34,81,770,385,332,155,487,1413,599,612,353,965
Amritsar,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,48,4,46,9,0,9,117,90,48,17,65,133,95,58,18,76
Asansol Durgapur,3,1,2,0,2,26,17,9,4,13,10,5,4,2,6,2,2,0,0,0,118,34,95,16,38,23,61,287,193,231,39,270,446,313,284,68,352
Aurangabad,2,1,0,1,1,6,1,2,1,3,0,0,0,0,0,0,0,0,0,0,138,29,54,21,70,39,109,414,143,245,76,321,560,199,317,117,434
Bengaluru,356,46,187,132,319,249,17,121,100,221,120,14,64,46,110,171,19,95,68,163,1810,4,337,2,967,566,1533,1978,335,1054,850,1904,4684,768,2488,1762,4250
Bhopal,274,3,10,240,250,98,6,3,68,71,328,12,19,291,310,44,2,0,25,25,1183,6,123,10,90,807,897,1360,113,101,976,1077,3287,259,223,2407,2630
Chandigarh,58,18,3,80,83,1,0,2,0,2,0,0,0,0,0,9,4,0,11,11,16,47,3,47,0,11,11,221,79,12,156,168,305,104,17,258,275
Coimbatore,93,14,35,59,94,8,0,6,5,11,6,0,2,2,4,18,2,6,10,16,134,30,18,37,50,84,134,803,98,233,581,814,1062,132,332,741,1073
Chennai,432,88,178,228,406,601,93,269,316,585,304,101,107,148,255,258,57,129,127,256,567,11,17,39,189,291,480,4709,896,901,3819,4720,6871,1252,1773,4929,6702
Delhi,623,136,90,521,611,136,34,18,102,120,227,46,25,188,213,144,33,21,102,123,1543,5,391,1,193,1202,1395,2937,823,431,2259,2690,5610,1463,778,4374,5152
Dhanbad,47,36,9,5,14,0,0,0,0,0,50,40,14,8,22,3,2,2,0,2,71,41,49,26,21,16,37,0,0,0,0,0,171,127,46,29,75
Faridabad,20,6,3,16,19,0,0,0,0,0,7,2,1,6,7,30,8,6,22,28,53,43,23,35,1,43,44,579,225,90,447,537,689,264,101,534,635
Ghaziabad,36,9,27,10,37,33,7,23,10,33,10,0,8,7,15,30,6,17,14,31,148,26,68,17,70,32,102,633,295,245,143,388,890,385,390,216,606
Gwalior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,7,102,12,40,637,677,1215,190,40,891,931,2109,292,80,1528,1608
Hyderabad,190,4,27,124,151,62,1,2,60,62,6,0,3,3,6,15,1,0,14,14,2627,2,265,5,152,2264,2416,0,0,0,0,0,2900,271,184,2465,2649
Indore,24,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3063,1,311,3,41,2697,2738,296,17,1,232,233,3383,328,42,2949,2991
Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,3,270,4,387,2172,2559,930,136,144,827,971,3397,406,531,2999,3530
Jaipur,293,63,95,148,243,61,9,18,41,59,12,0,0,14,14,39,2,23,13,36,512,12,97,14,134,340,474,3354,1112,960,1795,2755,4271,1283,1230,2351,3581
Jamshedpur,49,25,22,8,30,36,19,21,4,25,27,11,15,4,19,24,12,14,3,17,55,42,25,33,28,10,38,0,0,0,0,0,191,92,100,29,129
Jodhpur,30,6,5,14,19,6,1,0,4,4,10,1,3,5,8,2,1,1,0,1,173,25,52,23,26,93,119,896,528,242,441,683,1117,589,277,557,834
Kannur,7,0,8,2,10,45,5,26,30,56,0,0,0,0,0,1,0,2,1,3,116,35,20,36,88,52,140,488,57,281,321,602,657,82,405,406,811
Kanpur,22,13,16,3,19,20,9,13,7,20,17,11,10,3,13,131,77,55,21,76,305,20,118,11,182,33,215,1012,464,559,141,700,1507,692,835,208,1043
Khozikode,48,7,27,11,38,65,6,48,21,69,2,0,1,1,2,5,0,5,2,7,424,14,30,31,330,107,437,1053,136,741,303,1044,1597,179,1152,445,1597
Kochi,204,9,148,52,200,532,21,381,118,499,11,1,18,5,23,30,4,24,8,32,128,32,10,43,78,46,124,1385,110,1048,328,1376,2290,155,1697,557,2254
Kolkata,655,34,326,244,570,159,22,58,42,100,59,0,29,18,47,96,1,57,28,85,249,23,6,45,133,79,212,1282,204,624,366,990,2500,267,1227,777,2004
Kollam,123,13,102,19,121,183,19,158,26,184,101,9,91,9,100,79,7,78,24,102,468,13,52,23,429,73,502,986,125,868,104,972,1940,225,1726,255,1981
Kota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,28,15,40,27,102,129,643,210,86,598,684,784,225,113,700,813
Lucknow,0,0,0,0,0,186,107,50,41,91,0,0,0,0,0,0,0,0,0,0,400,16,177,9,162,62,224,1099,297,295,321,616,1685,581,507,424,931
Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,46,11,42,6,1,7,535,253,267,15,282,553,264,273,16,289
Madurai,36,4,15,22,37,6,0,3,4,7,8,2,3,4,7,2,0,4,0,4,74,40,18,37,34,44,78,740,169,-54,720,666,866,193,5,794,799
Mallapuram,5,1,3,1,4,52,5,44,9,53,1,0,0,2,2,1,0,1,0,1,380,19,53,22,285,91,376,2123,305,1722,668,2390,2562,364,2055,771,2826
Meerut,79,29,14,36,50,36,13,7,15,22,60,25,10,25,35,52,22,14,23,37,129,31,58,20,19,55,74,600,266,92,334,426,956,413,156,488,644
Mumbai,186,24,120,64,184,27,0,24,4,28,8,0,5,2,7,8,1,5,2,7,25,44,2,48,18,6,24,2618,420,1975,700,2675,2872,447,2147,778,2925
Nagpur,74,7,43,40,83,16,3,6,9,15,17,1,6,13,19,22,2,19,8,27,110,36,24,34,73,52,125,768,213,465,308,773,1007,250,612,430,1042
Nashik,19,2,15,9,24,3,2,2,0,2,91,25,63,20,83,58,18,33,22,55,20,45,7,44,15,5,20,362,123,257,99,356,553,177,385,155,540
Patna,0,0,0,0,0,38,15,40,2,42,0,0,0,0,0,0,0,0,0,0,101,39,40,28,65,3,68,385,137,188,16,204,524,192,293,21,314
Pune,238,49,135,42,177,110,25,65,16,81,99,28,46,16,62,0,0,0,0,0,0,49,0,49,0,0,0,344,104,217,89,306,791,206,463,163,626
Raipur,71,7,13,27,40,97,24,7,106,113,27,2,1,21,22,40,8,4,19,23,769,8,205,6,21,289,310,1142,212,29,1044,1073,2146,458,75,1506,1581
Rajkot,22,7,12,5,17,95,43,27,25,52,31,5,17,12,29,0,0,0,0,0,145,27,27,32,69,51,120,282,88,87,132,219,575,170,212,225,437
Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,310,45,0,323,323,310,45,0,323,323
Surat,48,17,37,7,44,23,5,17,6,23,11,2,10,4,14,3,0,4,0,4,218,24,96,15,100,53,153,642,172,366,114,480,945,292,534,184,718
Thiruvanthapuram,196,28,167,48,215,105,8,102,15,117,4,0,5,1,6,9,0,12,3,15,395,17,37,29,367,83,450,1286,132,1109,272,1381,1995,205,1762,422,2184
Thrissur,20,2,17,9,26,148,14,106,65,171,2,0,3,0,3,7,3,5,3,8,743,9,61,19,554,317,871,1290,133,951,461,1412,2210,213,1636,855,2491
Tiruchirapalli,20,6,0,14,14,0,0,0,0,0,0,0,0,0,0,13,6,0,6,6,294,21,67,18,32,302,334,190,25,0,231,231,517,104,32,553,585
Vadodra,16,0,9,8,17,3,0,3,0,3,0,0,0,0,0,20,4,9,5,14,103,38,15,40,49,38,87,537,139,277,153,430,679,158,347,204,551
Varanasi,0,0,0,0,0,44,23,12,12,24,45,18,14,14,28,23,10,7,9,16,119,33,51,25,33,30,63,379,186,113,84,197,610,288,179,149,328
Vijaywada city,262,50,70,187,257,244,41,58,144,202,72,15,54,27,81,35,5,8,24,32,389,18,99,13,122,232,354,493,144,162,303,465,1495,354,474,917,1391
Vizaq,361,79,194,59,253,118,18,74,41,115,35,11,16,9,25,44,12,38,16,54,282,22,47,27,193,80,273,866,156,515,235,750,1706,323,1030,440,1470
Total,5487,913,2294,2641,4935,3832,693,1900,1525,3425,2018,454,752,984,1736,1605,370,767,669,1436,23290,NA,4061,NA,6512,14083,20595,46549,11307,19241,22752,41993,82781,17798,31466,42654,74120
