States/UTs,Over-Speeding - Number of Accidents - Number,Over-Speeding - Number of Accidents - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/ Consumption of alcohol and drug  - Number of Accidents,Drunken Driving/ Consumption of alcohol and drug  - Persons Killed,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Greviously Injured,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Minor Injury,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Agra,477,33,271,14,223,93,316,169,74,145,54,199,203,123,143,39,182,102,59,85,25,110,134,89,86,39,125,0,0,0,0,0
Ahmedabad,1358,16,433,6,583,547,1130,3,1,2,0,2,13,4,4,7,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Allahabad(Prayagraj),297,38,120,31,123,76,199,230,96,102,62,164,267,113,110,53,163,233,98,97,60,157,246,102,113,54,167,140,70,67,48,115
Amritsar,93,47,60,43,41,9,50,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,17,9,26
Asansol Durgapur,217,43,156,23,137,29,166,0,0,0,0,0,5,3,3,0,3,0,0,0,0,0,0,0,0,0,0,224,154,144,39,183
Aurangabad,534,28,179,19,291,117,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,26,0,26
Bengaluru,4143,1,691,3,2225,1482,3707,32,7,17,16,33,77,8,30,35,65,51,5,30,22,52,10,1,4,23,27,371,56,182,184,366
Bhopal,1861,9,151,26,107,1390,1497,0,0,0,0,0,109,3,5,99,104,27,0,0,34,34,0,0,0,0,0,1290,105,111,884,995
Chandigarh,282,39,99,35,17,242,259,8,0,0,8,8,3,1,0,2,2,12,4,0,6,6,0,0,0,0,0,0,0,0,0,0
Coimbatore,888,21,117,33,266,634,900,4,0,1,1,2,55,0,20,42,62,13,0,14,0,14,0,0,0,0,0,102,15,31,64,95
Chennai,3043,4,668,4,528,2123,2651,438,49,205,264,469,645,99,169,501,670,937,216,276,637,913,434,48,175,308,483,1374,172,420,1096,1516
Delhi,2448,7,713,2,287,1806,2093,215,45,29,173,202,369,69,42,417,459,371,100,51,269,320,199,53,15,158,173,2008,483,354,1551,1905
