States/UTs,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Total Accidents - Rank,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Killed - Rank,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured ,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured ,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Greviously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured ,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured ,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured 
Agra,439,37,250,17,398,99,497,173,85,85,45,130,350,181,151,65,216,62,49,34,20,54,61,51,14,21,35
Ahmedabad,1249,20,388,7,541,487,1028,79,39,26,38,64,47,12,22,29,51,0,0,0,0,0,0,0,0,0,0
Allahabad(Prayagraj),377,39,136,36,151,89,240,241,130,127,76,203,339,124,148,72,220,233,90,96,55,151,223,119,90,61,151
Amritsar,86,48,67,44,34,9,43,0,0,0,0,0,7,5,4,0,4,0,0,0,0,0,40,23,20,9,29
Asansol Durgapur,202,45,140,35,109,38,147,5,3,2,0,2,75,44,76,3,79,0,0,0,0,0,164,126,97,27,124
Aurangabad,551,34,197,24,311,113,424,3,0,2,0,2,6,2,4,4,8,0,0,0,0,0,0,0,0,0,0
Bengaluru,4521,1,749,2,2393,1700,4093,90,10,44,41,85,73,9,51,21,72,0,0,0,0,0,0,0,0,0,0
Bhopal,2486,7,199,23,149,1808,1957,267,17,21,202,223,47,5,4,39,43,0,0,0,0,0,487,38,49,358,407
Chandigarh,299,41,103,40,16,253,269,4,0,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Coimbatore,959,23,123,39,294,673,967,103,9,38,68,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chennai,1365,18,288,11,379,910,1289,255,38,47,210,257,5251,926,1347,3809,5156,0,0,0,0,0,0,0,0,0,0
Delhi,2636,6,699,3,400,1977,2377,800,201,96,646,742,863,240,95,673,768,0,0,0,0,0,1311,323,187,1078,1265
Dhanbad,17,50,10,50,9,3,12,109,93,18,13,31,9,4,5,3,8,1,2,0,0,0,35,18,14,10,24
Faridabad,632,30,243,18,91,494,585,0,0,0,0,0,57,21,10,40,50,0,0,0,0,0,0,0,0,0,0
Ghaziabad,441,36,190,27,192,107,299,44,16,24,13,37,46,17,27,12,39,0,0,0,0,0,359,162,147,84,231
Gwalior,2109,9,292,10,80,1528,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyderabad,2900,4,271,15,184,2465,2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indore,2915,3,282,12,33,2545,2578,179,14,3,158,161,0,0,0,0,0,0,0,0,0,0,289,32,6,246,252
Jabalpur,1983,12,280,13,329,1751,2080,582,48,78,565,643,8,2,3,4,7,0,0,0,0,0,824,76,121,679,800
Jaipur,4156,2,1228,1,1177,2303,3480,50,8,13,35,48,5,1,2,2,4,0,0,0,0,0,60,46,38,11,49
Jamshedpur,52,49,25,49,28,7,35,49,22,22,8,30,46,22,18,10,28,0,0,0,0,0,44,23,32,4,36
Jodhpur,861,26,480,4,241,397,638,26,14,2,13,15,61,44,8,32,40,0,0,0,0,0,169,51,26,115,141
Kannur,476,35,66,45,293,315,608,181,16,112,91,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanpur,383,38,186,28,219,46,265,210,87,114,48,162,302,143,142,61,203,136,72,75,16,91,476,204,285,37,322
Khozikode,1357,19,130,38,989,383,1372,120,28,82,38,120,120,21,81,24,105,0,0,0,0,0,0,0,0,0,0
Kochi,2135,8,135,37,1590,526,2116,28,5,16,8,24,43,5,32,8,40,0,0,0,0,0,84,10,59,15,74
Kolkata,2048,10,234,19,1027,632,1659,200,12,94,68,162,147,8,65,45,110,0,0,0,0,0,105,13,41,32,73
Kollam,1471,16,160,33,1314,197,1511,52,3,44,7,51,47,10,38,5,43,0,0,0,0,0,370,52,330,46,376
Kota,716,29,192,25,110,631,741,40,17,3,38,41,28,16,0,31,31,0,0,0,0,0,0,0,0,0,0
Lucknow,1158,21,356,8,334,320,654,177,55,54,46,100,210,98,68,34,102,140,72,51,24,75,0,0,0,0,0
Ludhiana,104,47,52,47,49,3,52,34,12,16,6,22,55,31,24,0,24,0,0,0,0,0,360,169,184,7,191
Madurai,865,25,192,25,5,794,799,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallapuram,2047,11,276,14,1668,620,2288,125,17,83,44,127,72,10,56,16,72,0,0,0,0,0,318,61,248,91,339
Meerut,251,42,100,41,36,130,166,130,53,22,75,97,154,69,24,81,105,84,32,14,48,62,337,159,60,154,214
Mumbai,2872,5,447,5,2147,778,2925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,937,24,233,20,576,399,975,66,16,34,30,64,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0
Nashik,553,32,177,29,385,155,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patna,160,46,61,46,93,6,99,146,43,93,5,98,203,80,97,10,107,0,0,0,0,0,15,8,10,0,10
Pune,791,28,206,21,463,163,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raipur,1515,15,422,6,68,1391,1459,138,27,5,77,82,62,9,2,38,40,10,0,0,0,0,421,0,0,0,0
Rajkot,553,32,161,32,205,218,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,7,7,14
Srinagar,218,44,34,48,0,249,249,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,79,11,0,61,61
Surat,846,27,257,16,475,170,645,81,30,46,14,60,18,5,13,0,13,0,0,0,0,0,0,0,0,0,0
Thiruvanthapuram,1803,14,172,30,1601,385,1986,169,28,143,29,172,23,5,18,8,26,0,0,0,0,0,0,0,0,0,0
Thrissur,1838,13,169,31,1362,702,2064,211,23,159,71,230,161,21,115,82,197,0,0,0,0,0,0,0,0,0,0
Tiruchirapalli,338,40,74,43,21,340,361,117,25,5,124,129,57,2,6,86,92,0,0,0,0,0,5,3,0,3,3
Vadodra,624,31,148,34,324,189,513,55,10,23,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varanasi,228,43,97,42,58,61,119,118,56,40,28,68,175,79,61,37,98,0,0,0,0,0,89,56,20,23,43
Vijaywada city,1412,17,328,9,453,862,1315,8,2,0,7,7,75,24,21,48,69,0,0,0,0,0,0,0,0,0,0
Vizaq,992,22,202,22,557,267,824,137,13,72,47,119,171,31,95,46,141,44,5,43,5,48,362,72,263,75,338
Total,59927,NA,11907,NA,23961,30688,54649,5616,1326,1908,3065,4973,9419,2328,2936,5479,8415,710,322,313,168,481,7109,1915,2348,3254,5602
