States/Uts,Pedestrians - National Highways under NHAI - Total Accidents,Pedestrians - National Highways under NHAI - Death,Pedestrians - National Highways under State PWD - Total Accidents,Pedestrians - National Highways under State PWD - Death,Pedestrians - National Highways under Other department - Total Accidents,Pedestrians - National Highways under Other department - Death,Bicycles - National Highways under NHAI - Total Accidents,Bicycles - National Highways under NHAI - Death,Bicycles - National Highways under State PWD - Total Accidents,Bicycles - National Highways under State PWD - Death,Bicycles - National Highways under Other department - Total Accidents,Bicycles - National Highways under Other department - Death,Two Wheelers - National Highways under NHAI - Total Accidents,Two Wheelers - National Highways under NHAI - Death,Two Wheelers - National Highways under State PWD - Total Accidents,Two Wheelers - National Highways under State PWD - Death,Two Wheelers - National Highways under Other department - Total Accidents,Two Wheelers - National Highways under Other department - Death,Auto Rickshaws - National Highways under NHAI - Total Accidents,Auto Rickshaws - National Highways under NHAI - Death,Auto Rickshaws - National Highways under State PWD - Total Accidents,Auto Rickshaws - National Highways under State PWD - Death,Auto Rickshaws - National Highways under Other department - Total Accidents,Auto Rickshaws - National Highways under Other department - Death,"Cars, Taxis, Vans and LMV - National Highways under NHAI - Total Accidents","Cars, Taxis, Vans and LMV - National Highways under NHAI - Death","Cars, Taxis, Vans and LMV - National Highways under State PWD - Total Accidents","Cars, Taxis, Vans and LMV - National Highways under State PWD - Death","Cars, Taxis, Vans and LMV - National Highways under Other department - Total Accidents","Cars, Taxis, Vans and LMV - National Highways under Other department - Death",Trucks/Lorries - National Highways under NHAI - Total Accidents,Trucks/Lorries - National Highways under NHAI - Death,Trucks/Lorries - National Highways under State PWD - Total Accidents,Trucks/Lorries - National Highways under State PWD - Death,Trucks/Lorries - National Highways under Other department - Total Accidents,Trucks/Lorries - National Highways under Other department - Death,Buses - National Highways under NHAI - Total Accidents,Buses - National Highways under NHAI - Death,Buses - National Highways under State PWD - Total Accidents,Buses - National Highways under State PWD - Death,Buses - National Highways under Other department - Total Accidents,Buses - National Highways under Other department - Death,Other - Non-Motorized Vehicles(E-rickshaw etc.) - National Highways under NHAI - Total Accidents,Other - Non-Motorized Vehicles(E-rickshaw etc.) - National Highways under NHAI - Death,Other - Non-Motorized Vehicles(E-rickshaw etc.) - National Highways under State PWD - Total Accidents,Other - Non-Motorized Vehicles(E-rickshaw etc.) - National Highways under State PWD - Death,Other - Non-Motorized Vehicles(E-rickshaw etc.) - National Highways under Other department - Total Accidents,Other - Non-Motorized Vehicles(E-rickshaw etc.) - National Highways under Other department - Death,Other - National Highways under NHAI - Total Accidents,Other - National Highways under NHAI - Death,Other - National Highways under State PWD - Total Accidents,Other - National Highways under State PWD - Death,Other - National Highways under Other department - Total Accidents,Other - National Highways under Other department - Death,Total - National Highways under NHAI - Total Accidents,Total - National Highways under NHAI - Death,Total - National Highways under State PWD - Total Accidents,Total - National Highways under State PWD - Death,Total - National Highways under other department - Total Accidents,Total - National Highways under other department - Death
Andhra Pradesh,899,458,321,147,18,8,78,32,14,9,1,0,2274,786,656,280,40,13,351,113,161,54,9,3,820,323,294,133,7,0,634,265,169,87,8,2,215,104,88,55,0,0,64,14,8,3,0,0,457,184,95,40,1,1,5792,2279,1806,808,84,27
Arunachal Pradesh,2,2,1,1,0,0,0,0,0,0,0,0,20,10,8,5,0,0,3,3,1,1,0,0,19,9,7,5,0,0,4,1,2,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,20,10,5,3,0,0,70,37,25,17,0,0
Assam,454,208,102,56,0,0,97,48,39,11,0,0,858,421,502,173,0,0,132,57,78,25,0,0,654,296,342,125,1,1,240,93,55,21,0,0,96,53,40,23,0,0,11,5,11,2,0,0,193,48,83,24,0,0,2735,1229,1252,460,1,1
Bihar,533,461,193,167,3,1,177,160,53,46,0,0,1634,1227,467,357,6,5,145,107,28,19,0,0,419,290,118,81,1,1,187,123,40,21,0,0,79,42,12,7,0,0,24,12,4,4,0,0,288,211,113,92,2,2,3486,2633,1028,794,12,9
Chhattisgarh,167,86,127,61,0,0,48,21,49,22,0,0,888,396,752,307,0,0,22,6,64,8,0,0,505,96,291,82,0,0,213,87,148,57,0,0,58,33,50,16,0,0,16,3,13,5,0,0,258,74,142,61,0,0,2175,802,1636,619,0,0
Goa,0,0,30,14,0,0,0,0,3,1,0,0,0,0,391,74,0,0,0,0,12,0,0,0,0,0,524,16,0,0,0,0,180,2,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1244,107,0,0
Gujarat,466,329,27,23,1,0,18,15,1,1,0,0,985,517,103,60,1,0,164,89,34,16,0,0,702,369,111,59,0,0,506,212,71,55,0,0,105,50,14,6,0,0,50,26,0,0,0,0,143,64,8,7,1,0,3139,1671,369,227,3,0
Haryana,327,213,261,100,272,140,20,20,4,3,17,19,405,247,310,83,236,101,38,29,36,20,45,31,279,150,165,56,144,30,190,170,129,88,76,42,65,44,21,20,33,21,11,7,7,6,25,18,146,139,106,74,74,30,1481,1019,1039,450,922,432
Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1396,487,NA,NA,NA,NA,1396,487,NA,NA,NA,NA
Jammu and Kashmir,60,8,0,0,0,0,0,0,0,0,0,0,510,71,0,0,0,0,5,0,0,0,0,0,1301,203,0,0,0,0,77,43,0,0,0,0,128,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081,384,0,0,0,0
