States/UTs,Less than 5 years - Total Accidents - Number,Less than 5 years - Total Accidents - Rank,Less than 5 years - Persons Killed - Number,Less than 5 years - Persons Killed - Rank,Less than 5 years - Persons Injured - Greviously Injured,Less than 5 years - Persons Injured - Minor Injury,Less than 5 years - Persons Injured - Total Injured,5.1 - 10 Years - Total Accidents,5.1 - 10 Years - Persons Killed,5.1 - 10 Years - Persons Injured - Greviously Injured,5.1 - 10 Years - Persons Injured - Minor Injury,5.1 - 10 Years - Persons Injured - Total Injured,10.1 - 15 Years - Total Accidents,10.1 - 15 Years - Persons Killed,10.1 - 15 Years - Persons Injured - Greviously Injured,10.1 - 15 Years - Persons Injured - Minor Injury,10.1 - 15 Years - Persons Injured - Total Injured,Greater than 15 years - Total Accidents,Greater than 15 years - Persons Killed,Greater than 15 years - Persons Injured - Greviously Injured,Greater than 15 years - Persons Injured - Minor Injury,Greater than 15 years - Persons Injured - Total Injured,Age Not Known - Total Accidents,Age Not Known - Persons Killed,Age Not Known - Persons Injured - Greviously Injured,Age Not Known - Persons Injured - Minor Injury,Age Not Known - Persons Injured - Total Injured
Andhra Pradesh,8294,8,2867,9,2776,6977,9753,6620,2546,1939,5368,7307,2536,873,612,2499,3111,1321,503,303,1086,1389,3221,1195,660,2399,3059
Arunachal Pradesh,56,31,29,28,38,31,69,64,33,41,36,77,51,27,34,30,64,29,21,30,28,58,37,17,23,18,41
Assam,3287,15,1298,15,2249,354,2603,2504,1013,2124,290,2414,1177,382,978,187,1165,499,159,448,66,514,883,356,655,122,777
Bihar,4849,11,3530,7,3030,174,3204,2433,1735,1730,92,1822,1420,1005,1102,48,1150,624,447,499,20,519,681,488,511,0,511
Chhattisgarh,3999,12,1346,14,823,3255,4078,2892,1032,597,2254,2851,1254,442,256,1057,1313,2060,686,278,1141,1419,3694,1497,597,2832,3429
Goa,1989,16,134,24,131,851,982,759,105,102,188,290,497,43,24,134,158,169,11,8,0,8,26,4,0,10,10
Gujarat,4994,10,2060,10,2829,1977,4806,4469,1797,2605,1862,4467,1933,877,1222,930,2152,2020,930,1230,739,1969,3630,1726,1621,1243,2864
Haryana,1768,17,809,18,408,1262,1670,1313,624,296,1010,1306,831,412,331,633,964,1239,727,396,728,1124,5793,2485,1468,2830,4298
Himachal Pradesh ,1182,22,449,19,555,1416,1971,889,393,460,1313,1773,236,89,107,280,387,117,60,47,193,240,449,155,163,370,533
Jammu and Kashmir,1384,20,277,20,786,1206,1992,1259,236,686,1122,1808,342,70,298,206,504,206,31,179,138,317,2605,382,2275,636,2911
Jharkhand,1532,18,1091,16,959,285,1244,890,678,539,123,662,506,349,398,80,478,705,509,327,100,427,1584,1174,781,226,1007
Karnataka,17947,2,4524,1,12318,10535,22853,13156,3641,8604,7649,16253,5254,1446,3631,2993,6624,2394,546,1443,1635,3078,1907,801,959,680,1639
Kerala,14415,4,1607,13,11548,4673,16221,13167,1375,10435,4506,14941,3530,409,2716,1348,4064,1426,142,1159,486,1645,8573,907,6712,2472,9184
