States,Valid Permanent License - Number,Valid Permanent License - Rank,Learner's Licence,Without Licence,Others(Not known),Total Accidents
Andhra Pradesh,15303,9,1262,2576,2851,21992
Arunachal Pradesh,63,32,50,52,72,237
Assam,7037,13,640,369,304,8350
Bihar,8373,12,823,130,681,10007
Chhattisgarh,8395,11,857,1763,2884,13899
Goa,3337,20,4,74,25,3440
Gujarat,11936,10,1070,1245,2795,17046
Haryana,3922,17,230,327,6465,10944
Himachal Pradesh ,1807,21,20,784,262,2873
Jammu and Kashmir,4863,16,38,18,877,5796
Jharkhand,1428,22,501,545,2743,5217
Karnataka,33119,3,1372,4260,1907,40658
Kerala,32560,4,61,1360,7130,41111
Madhya Pradesh,35948,2,2577,5935,6209,50669
Maharashtra,28986,5,901,1085,1953,32925
Manipur,392,26,145,73,62,672
Meghalaya,176,30,64,78,164,482
Mizoram,51,35,0,9,2,62
Nagaland,184,29,96,77,1,358
Orissa,6955,14,886,1721,1502,11064
Punjab,3763,18,1249,1064,272,6348
Rajasthan,21114,7,454,514,1398,23480
Sikkim,148,31,5,7,2,162
Tamil Nadu,42827,1,1252,9479,3670,57228
Telangana,16859,8,313,608,3790,21570
Tripura,612,25,26,17,0,655
Uttarakhand,762,24,10,61,519,1352
Uttar Pradesh,21521,6,6642,6641,7768,42572
West Bengal,6117,15,333,2803,905,10158
Andaman and Nicobar Islands,226,28,0,4,0,230
Chandigarh,300,27,0,5,0,305
Dadra and Nagar Haveli,63,32,0,2,3,68
Daman and Diu,62,34,0,3,4,69
Delhi ,3691,19,283,323,1313,5610
Lakshadweep,1,36,0,0,0,1
Puducherry,892,23,45,346,109,1392
Total,323793,NA,22209,44358,58642,449002
