States/Uts,Drivers - Persons Killed - Number,Drivers - Persons Killed - Rank,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed - Number,Passengers - Persons Killed - Rank,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured
Andhra Pradesh,335,10,218,585,803,376,11,287,1174,1461
Arunachal Pradesh,12,24,9,3,12,6,30,7,5,12
Assam,83,16,161,41,202,170,16,331,102,433
Bihar,49,21,47,0,47,27,21,37,0,37
Chhattisgarh,305,12,140,585,725,396,9,231,1064,1295
Goa,5,28,5,67,72,19,23,24,250,274
Gujarat,635,6,688,484,1172,812,5,1152,793,1945
Haryana,268,14,196,306,502,210,14,131,174,305
Himachal Pradesh,273,13,147,509,656,361,12,302,1836,2138
Jammu and Kashmir,21,23,18,109,127,14,26,54,116,170
Jharkhand,318,11,210,61,271,145,17,154,58,212
Karnataka,439,7,778,1022,1800,379,10,869,1561,2430
Kerala,59,17,134,106,240,174,15,969,1086,2055
Madhya Pradesh,716,5,386,2749,3135,1019,3,885,4184,5069
Maharashtra,819,3,1005,570,1575,878,4,1715,977,2692
Manipur,12,24,22,48,70,27,21,39,136,175
Meghalaya,23,22,28,14,42,12,28,21,11,32
Mizoram,1,30,0,1,1,5,31,2,9,11
Nagaland,5,28,20,26,46,9,29,13,31,44
Orissa,380,9,464,355,819,506,6,740,749,1489
Punjab,168,15,184,258,442,258,13,132,98,230
Rajasthan,840,2,437,863,1300,1983,2,1323,3541,4864
Sikkim,10,27,10,21,31,15,25,42,67,109
Tamil Nadu,722,4,245,4693,4938,429,8,193,3462,3655
Telangana,395,8,152,1085,1237,502,7,154,2352,2506
Tripura,11,26,76,0,76,36,20,279,2,281
Uttarakhand,57,20,73,30,103,89,18,236,75,311
Uttar Pradesh,2484,1,1652,937,2589,2392,1,1706,936,2642
West Bengal,58,18,100,16,116,13,27,44,17,61
Andaman and Nicobar Islands,0,32,1,1,2,0,33,1,5,6
Chandigarh,0,32,1,0,1,0,33,0,0,0
Dadra and Nagar Haveli,0,32,0,0,0,0,33,19,0,19
Daman and Diu,1,30,5,1,6,4,32,7,7,14
Delhi,58,18,13,135,148,39,19,5,66,71
Lakshadweep,0,32,0,0,0,0,33,0,0,0
Puducherry,0,32,2,5,7,18,24,34,173,207
Total,9562,NA,7627,15686,23313,11323,NA,12138,25117,37255
