States/UTs,Residential Area - Total Accidents,Residential Area - Persons Killed,Residential Area - Persons Injured - Greviously Injured,Residential Area - Persons Injured - Minor Injury,Residential Area - Persons Injured - Total Injured,Institutional Area - Total Accidents,Institutional Area - Persons Killed,Institutional Area - Persons Injured - Greviously Injured,Institutional Area - Persons Injured - Minor Injury,Institutional Area - Persons Injured - Total Injured,Market/Commercial area - Total Accidents,Market/Commercial area - Persons Killed,Market/Commercial area - Persons Injured - Greviously Injured,Market/Commercial area - Persons Injured - Minor Injury,Market/Commercial area - Persons Injured - Total Injured,Open Area - Total Accidents - Number,Open Area - Total Accidents - Rank,Open Area - Persons Killed - Number,Open Area - Persons Killed -Rank,Open Area - Persons Injured - Greviously Injured,Open Area - Persons Injured - Minor Injury,Open Area - Persons Injured - Total Injured,Other - Total Accidents,Other - Persons Killed,Other - Persons Injured - Greviously Injured,Other - Persons Injured - Minor Injury,Other - Persons Injured - Total Injured
Andhra Pradesh,4615,1473,1600,3571,5171,962,306,331,778,1109,2672,666,775,1894,2669,11308,7,4570,8,2450,10762,13212,2435,969,1134,1324,2458
Arunachal Pradesh,26,13,28,29,57,23,11,27,28,55,61,29,31,30,61,75,30,45,28,50,32,82,52,29,30,24,54
Assam,1635,609,1322,282,1604,787,234,570,141,711,1618,505,1151,191,1342,3353,16,1479,17,2699,267,2966,957,381,712,138,850
Bihar,2140,1529,1522,95,1617,948,626,662,37,699,1523,1002,1057,86,1143,5233,13,3933,9,3504,115,3619,163,115,127,1,128
Chhattisgarh,3505,1094,644,2507,3151,420,139,71,346,417,1124,275,213,726,939,7725,10,3107,11,1341,6164,7505,1125,388,282,796,1078
Goa,1104,115,87,471,558,206,9,16,41,57,786,34,43,163,206,1344,22,139,23,119,508,627,0,0,0,0,0
Gujarat,3703,1330,1966,1418,3384,1088,384,653,490,1143,1976,629,1112,773,1885,10279,8,5047,7,5776,4070,9846,0,0,0,0,0
Haryana,1581,714,404,983,1387,833,418,350,362,712,1375,616,486,801,1287,4392,14,2050,14,1048,2554,3602,2763,1259,611,1763,2374
Himachal Pradesh,408,147,173,483,656,316,94,148,343,491,471,109,197,414,611,1670,21,794,19,814,2317,3131,8,2,0,15,15
Jammu and Kashmir,931,163,291,920,1211,246,23,205,112,317,686,83,424,362,786,2647,17,494,22,2395,1281,3676,1286,233,909,633,1542
Jharkhand,1240,916,694,165,859,419,273,245,90,335,802,528,480,125,605,2068,20,1585,16,1206,282,1488,688,499,379,152,531
Karnataka,5251,1148,3636,2795,6431,3204,550,2126,2016,4142,5418,1205,3551,2987,6538,26639,2,8030,2,17548,15601,33149,146,25,94,93,187
Kerala,3373,361,2776,995,3771,1731,169,1356,577,1933,3692,351,2739,1244,3983,6539,11,817,18,5212,2271,7483,25776,2742,20487,8398,28885
Madhya Pradesh,10391,2063,1840,8951,10791,2605,511,365,2164,2529,7002,966,918,5712,6630,20272,3,5646,5,3138,19347,22485,10399,2063,1050,9331,10381
