State/UT,Straight Road - Number of Accidents - Number,Straight Road - Number of Accidents - Rank,Straight Road - Persons  Killed - Number,Straight Road - Persons  Killed - Rank,Straight Road - Persons Injured - Greviously Injured,Straight Road - Persons Injured - Minor Injury,Straight Road - Persons Injured - Total Injured,Curved Road - Number of Accidents,Curved Road - Persons  Killed,Curved Road - Persons Injured - Greviously Injured,Curved Road - Persons Injured - Minor Injury,Curved Road - Persons Injured - Total Injured,Bridge - Number of Accidents,Bridge - Persons  Killed,Bridge - Persons Injured - Greviously Injured,Bridge - Persons Injured - Minor Injury,Bridge - Persons Injured - Total Injured,Culvert - Number of Accidents,Culvert - Persons  Killed,Culvert - Persons Injured - Greviously Injured,Culvert - Persons Injured - Minor Injury,Culvert - Persons Injured - Total Injured,Pot Holes - Number of Accidents,Pot Holes - Persons  Killed,Pot Holes - Persons Injured - Greviously Injured,Pot Holes - Persons Injured - Minor Injury,Pot Holes - Persons Injured - Total Injured,Steep Grade - Number of Accidents,Steep Grade - Persons  Killed,Steep Grade - Persons Injured - Greviously Injured,Steep Grade - Persons Injured - Minor Injury,Steep Grade - Persons Injured - Total Injured,Ongoing Road Works/Under Construction - Number of Accidents,Ongoing Road Works/Under Construction - Persons  Killed,Ongoing Road Works/Under Construction - Persons Injured - Greviously Injured,Ongoing Road Works/Under Construction - Persons Injured - Minor Injury,Ongoing Road Works/Under Construction - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons  Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,16661,7,6078,7,4016,14113,18129,2668,960,929,2359,3288,716,268,266,623,889,291,121,154,207,361,95,32,91,58,149,48,15,12,49,61,285,96,181,172,353,1228,414,641,748,1389
Arunachal Pradesh,39,34,19,32,21,23,44,21,13,18,16,34,36,15,20,17,37,27,13,19,17,36,12,6,11,9,20,20,13,21,18,39,30,19,26,19,45,52,29,30,24,54
Assam,4378,16,1864,17,3184,420,3604,1059,421,861,157,1018,705,229,572,112,684,454,119,404,53,457,322,93,269,45,314,189,63,152,16,168,392,123,258,87,345,851,296,754,129,883
Bihar,6255,13,4692,10,4221,172,4393,2204,1409,1409,114,1523,261,178,209,14,223,311,206,292,12,304,0,0,0,0,0,142,102,98,5,103,18,16,9,0,9,816,602,634,17,651
Chhattisgarh,8558,11,2956,12,1434,6764,8198,2154,792,447,1687,2134,357,158,117,208,325,292,143,72,225,297,77,28,15,55,70,88,24,17,63,80,233,84,33,198,231,2140,818,416,1339,1755
Goa,2678,19,260,22,251,1100,1351,729,35,12,79,91,15,1,0,0,0,13,0,2,4,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,13718,10,5838,8,7529,5149,12678,2092,921,1170,1018,2188,546,270,329,187,516,273,135,194,98,292,5,5,0,1,1,204,117,178,190,368,206,102,107,108,215,2,2,0,0,0
Haryana,4804,15,2311,16,854,3025,3879,942,423,392,545,937,408,216,273,174,447,296,150,202,147,349,61,20,47,13,60,161,88,80,74,154,300,151,213,99,312,3972,1698,838,2386,3224
Himachal Pradesh,1889,21,641,20,923,2029,2952,762,394,299,1338,1637,38,20,13,74,87,0,0,0,0,0,21,16,20,30,50,114,54,56,65,121,42,19,21,21,42,7,2,0,15,15
Jammu and Kashmir,1299,22,203,23,439,1283,1722,441,96,201,454,655,28,5,6,31,37,17,5,9,27,36,1,0,0,1,1,33,9,13,24,37,52,17,20,23,43,3925,661,3536,1465,5001
Jharkhand,2349,20,1713,18,1245,253,1498,1138,847,754,208,962,273,184,218,65,283,191,117,113,37,150,120,94,52,29,81,132,95,61,15,76,88,53,28,25,53,926,698,533,182,715
Karnataka,33070,2,9023,2,21800,18520,40320,5573,1363,3863,3668,7531,1259,327,896,876,1772,76,12,64,75,139,113,38,69,42,111,117,38,75,74,149,426,144,182,231,413,24,13,6,6,12
Kerala,26543,4,2868,13,20877,8656,29533,6938,769,5622,2612,8234,358,41,285,129,414,116,17,94,35,129,57,7,39,16,55,60,11,45,31,76,170,28,120,48,168,6869,699,5488,1958,7446
Madhya Pradesh,28405,3,6653,6,4567,24757,29324,6211,1267,975,5736,6711,1201,224,132,1026,1158,1122,279,215,1077,1292,339,91,38,268,306,959,136,87,1000,1087,2253,317,292,2080,2372,10179,2282,1005,9561,10566
Maharashtra,25370,5,9871,1,14614,7131,21745,4271,1585,2706,1325,4031,810,321,566,236,802,538,213,252,120,372,181,72,97,64,161,898,361,558,175,733,829,341,348,423,771,28,24,11,2,13
Manipur,451,25,111,25,236,461,697,146,29,28,216,244,30,7,6,39,45,25,5,4,35,39,2,0,1,2,3,0,0,0,0,0,5,2,0,10,10,13,2,9,8,17
Meghalaya,209,28,91,27,56,55,111,115,23,26,3,29,9,4,2,1,3,3,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,143,59,33,46,79
Mizoram,32,35,24,30,5,17,22,25,20,6,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,1,0,0,1,1
Nagaland,123,29,10,34,33,65,98,27,2,10,18,28,0,0,0,0,0,60,3,16,20,36,14,0,0,7,7,19,0,8,9,17,112,9,23,37,60,3,2,0,0,0
Orissa,5975,14,2866,14,3212,2347,5559,2240,1016,1340,1012,2352,383,193,278,251,529,364,162,224,223,447,218,117,140,128,268,61,33,36,37,73,569,286,313,215,528,1254,660,772,649,1421
Punjab,3272,18,2342,15,1430,634,2064,828,589,353,205,558,414,267,148,161,309,436,242,178,29,207,102,245,44,18,62,137,53,22,24,46,442,281,98,27,125,717,506,382,59,441
Rajasthan,18804,6,8389,3,5362,13049,18411,1502,672,407,1044,1451,157,58,31,119,150,122,44,33,112,145,92,34,35,82,117,46,23,16,33,49,252,126,83,159,242,2505,1217,734,1680,2414
Sikkim,52,31,20,31,32,41,73,51,23,56,70,126,1,2,0,0,0,0,0,0,0,0,7,1,0,0,0,10,4,16,26,42,7,4,10,11,21,34,19,20,36,56
Tamil Nadu,43262,1,7897,5,2917,48504,51421,8250,1446,770,8934,9704,2394,544,404,2250,2654,1236,180,222,1090,1312,502,93,87,343,430,506,87,203,358,561,645,73,180,558,738,433,205,93,224,317
Telangana,16016,8,5143,9,2356,14009,16365,1523,514,157,1426,1583,570,176,32,609,641,396,163,13,305,318,146,49,9,115,124,50,16,5,36,41,353,90,19,283,302,2516,813,287,2338,2625
Tripura,396,26,140,24,446,5,451,218,82,323,2,325,28,11,26,1,27,12,5,12,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Uttarakhand,976,23,562,21,739,203,942,206,166,240,44,284,22,23,14,0,14,15,7,18,0,18,26,15,22,0,22,12,8,8,3,11,27,34,41,8,49,68,52,114,3,117
Uttar Pradesh,15366,9,8262,4,6747,3529,10276,6721,3534,2826,1650,4476,2991,1576,1352,777,2129,2496,1205,1009,706,1715,2122,1034,971,521,1492,1581,797,723,470,1193,3434,1858,1532,883,2415,7861,4389,3343,1893,5236
West Bengal,8358,12,4523,11,6879,1118,7997,1065,568,853,146,999,250,142,215,49,264,151,89,141,26,167,61,31,36,10,46,15,5,30,2,32,258,142,231,21,252,0,0,0,0,0
Andaman and Nicobar Islands,119,30,10,34,33,73,106,94,7,37,52,89,2,0,0,0,0,5,2,1,2,3,0,0,0,0,0,10,1,3,6,9,0,0,0,0,0,0,0,0,0,0
Chandigarh,305,27,104,26,17,258,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,50,32,36,29,65,15,80,17,11,25,0,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,46,33,19,32,31,15,46,16,5,15,10,25,7,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,3434,17,1001,19,496,2595,3091,443,111,64,344,408,256,72,45,187,232,38,4,6,36,42,72,16,15,48,63,13,3,0,13,13,154,39,25,112,137,1200,217,127,1039,1166
Lakshadweep,1,36,0,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,729,24,84,28,317,548,865,198,28,69,172,241,141,15,68,76,144,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,322,19,170,198,368
