States/UTs,Pedestrian - Number of Road Accidents,Pedestrian - Number of Persons - Killed,Pedestrian - Number of Persons - Greviously Injured,Pedestrian - Number of Persons - Minor Injured,Bicycles - Number of Road Accidents,Bicycles - Number of Persons - Killed,Bicycles - Number of Persons - Greviously Injured,Bicycles - Number of Persons - Minor Injured,Two Wheelers - Number of Road Accidents,Two Wheelers - Number of Persons - Killed,Two Wheelers - Number of Persons - Greviously Injured,Two Wheelers - Number of Persons - Minor Injured,Auto Rickshaws - Number of Road Accidents,Auto Rickshaws - Number of Persons - Killed,Auto Rickshaws - Number of Persons - Greviously Injured,Auto Rickshaws - Number of Persons - Minor Injured,"Cars, Taxis, Vans and LMV - Number of Road Accidents","Cars, Taxis, Vans and LMV - Number of Persons - Killed","Cars, Taxis, Vans and LMV - Number of Persons - Greviously Injured","Cars, Taxis, Vans and LMV - Number of Persons - Minor Injured",Trucks/Lorries - Number of Road Accidents,Trucks/Lorries - Number of Persons - Killed,Trucks/Lorries - Number of Persons - Greviously Injured,Trucks/Lorries - Number of Persons - Minor Injured,Buses - Number of Road Accidents,Buses - Number of Persons - Killed,Buses - Number of Persons - Greviously Injured,Buses - Number of Persons - Minor Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Road Accidents,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Killed,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Greviously Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Minor Injured,Others - Number of Road Accidents,Others - Number of Persons - Killed,Others - Number of Persons - Greviously Injured,Others - Number of Persons - Minor Injured,Total - Number of Road Accidents,Total - Number of Persons - Killed,Total - Number of Persons - Greviously Injured,Total - Number of Persons - Minor Injured
Andhra Pradesh,4275,1723,894,2064,279,94,87,232,9456,3352,2613,7334,1937,572,832,2968,2399,703,649,2229,1671,629,480,1210,634,213,301,1003,58,16,7,78,1283,682,427,1211,21992,7984,6290,18329
Arunachal Pradesh,18,8,7,3,0,0,0,0,30,26,27,24,12,6,19,8,59,27,38,31,21,9,11,22,20,4,21,27,17,6,3,5,60,41,40,23,237,127,166,143
Assam,1793,718,1186,138,260,106,204,21,2409,1031,1431,290,484,127,483,81,1429,528,1269,246,618,241,481,98,462,153,685,65,204,56,184,12,691,248,531,68,8350,3208,6454,1019
Bihar,1693,1259,840,110,659,419,402,26,4060,3135,2707,154,633,440,773,8,1332,932,1006,20,414,243,197,0,216,131,264,2,103,73,84,2,897,573,599,12,10007,7205,6872,334
Chhattisgarh,1439,578,229,767,600,173,101,377,6887,2894,1389,5520,392,51,77,394,1965,413,312,1356,1086,274,115,464,260,71,70,377,67,13,5,98,1203,536,253,1186,13899,5003,2551,10539
Goa,199,50,23,104,14,2,1,8,1757,186,183,620,37,1,0,23,1063,16,41,238,140,4,5,95,178,8,4,66,0,0,0,0,52,30,8,29,3440,297,265,1183
Gujarat,2745,1291,1161,628,238,84,108,58,6412,2755,3744,2309,1088,375,698,677,3349,1381,2069,1670,1877,817,871,692,511,200,465,438,96,41,87,26,730,446,304,253,17046,7390,9507,6751
Haryana,3131,1673,739,1432,187,103,27,268,3322,1614,823,2208,242,99,119,332,1346,589,451,1001,558,320,120,341,230,135,106,301,157,105,25,103,1771,419,489,477,10944,5057,2899,6463
Himachal Pradesh,672,192,289,341,16,5,6,6,542,288,549,686,8,2,12,23,1137,469,352,1540,232,59,56,245,142,81,40,674,0,0,0,0,124,50,28,57,2873,1146,1332,3572
Jammu and Kashmir,593,88,287,364,37,7,6,42,1510,171,925,588,85,14,59,75,2004,246,1251,1336,639,138,336,260,344,108,514,335,15,5,0,1,569,219,846,307,5796,996,4224,3308
Jharkhand,624,386,265,47,392,261,216,78,1235,1114,1074,227,403,235,388,101,642,497,409,99,615,426,238,51,206,125,155,73,93,71,19,34,1007,686,240,104,5217,3801,3004,814
