States/UTs,T-Junction - Total number of Accidents - Numbers,T-Junction - Total number of Accidents - Rank,T-Junction - Persons Killed - Numbers,T-Junction - Persons Killed - Rank,T-Junction - Persons Injured - Greviously Injured,T-Junction - Persons Injured - Minor Injury,T-Junction - Persons Injured - Total Injured,Y-Junction - Total number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured - Greviously Injured,Y-Junction - Persons Injured - Minor Injury,Y-Junction - Persons Injured - Total Injured,Four arm Junction - Total number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured - Greviously Injured,Four arm Junction - Persons Injured - Minor Injury,Four arm Junction - Persons Injured - Total Injured,Staggered Junction - Total number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured - Greviously Injured,Staggered Junction - Persons Injured - Minor Injury,Staggered Junction - Persons Injured - Total Injured,Round about Junction - Total number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured - Greviously Injured,Round about Junction - Persons Injured - Minor Injury,Round about Junction - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,2395,6,788,5,888,1441,2329,1213,400,408,815,1223,1342,460,403,719,1122,1932,775,476,1455,1931,665,233,175,561,736,14445,5328,3940,13338,17278
Arunachal Pradesh,38,25,19,23,22,19,41,39,22,25,21,46,36,20,21,19,40,50,27,25,26,51,0,0,0,0,0,74,39,73,58,131
Assam,486,19,169,19,349,46,395,455,145,295,48,343,344,109,270,41,311,143,40,140,17,157,204,65,163,26,189,6718,2680,5237,841,6078
Bihar,693,16,475,14,335,31,366,419,273,237,16,253,249,133,178,18,196,73,39,48,9,57,94,55,69,4,73,8479,6230,6005,256,6261
Chhattisgarh,1447,11,539,13,203,835,1038,355,147,68,195,263,1063,187,96,587,683,484,208,143,338,481,17,7,2,10,12,10533,3915,2039,8574,10613
Goa,127,22,14,25,4,29,33,39,2,3,9,12,181,9,5,41,46,0,0,0,0,0,79,7,6,11,17,3014,265,247,1093,1340
Gujarat,1451,9,635,9,720,734,1454,529,237,304,241,545,1242,491,750,435,1185,1585,777,876,607,1483,688,246,371,317,688,11551,5004,6486,4417,10903
Haryana,466,20,234,17,170,203,373,340,154,162,153,315,527,250,188,249,437,549,222,164,260,424,339,144,100,160,260,8723,4053,2115,5438,7553
Himachal Pradesh,40,24,12,27,22,46,68,26,7,10,31,41,6,1,2,5,7,0,0,0,0,0,0,0,0,0,0,2801,1126,1298,3490,4788
Jammu and Kashmir,512,18,102,20,171,586,757,197,40,128,164,292,96,14,72,50,122,12,2,13,5,18,756,116,877,341,1218,4223,722,2963,2162,5125
Jharkhand,622,17,432,16,338,54,392,432,320,202,38,240,345,212,184,45,229,199,133,121,36,157,347,221,173,59,232,3272,2483,1986,582,2568
Karnataka,3510,5,701,8,2115,1551,3666,1388,289,813,792,1605,1927,407,1269,661,1930,1125,201,623,508,1131,1180,266,786,454,1240,31528,9094,21349,19526,40875
Kerala,7744,1,722,7,6387,2259,8646,2753,269,2251,787,3038,2211,191,1681,749,2430,1096,133,809,313,1122,369,35,305,111,416,26938,3090,21137,9266,30403
Madhya Pradesh,4990,3,884,2,699,4213,4912,3288,542,320,2772,3092,3315,434,336,2806,3142,2636,458,328,2444,2772,2178,422,179,2073,2252,34262,8509,5449,31197,36646
Maharashtra,1639,8,579,11,926,462,1388,735,249,414,185,599,797,222,463,243,706,314,99,197,69,266,414,132,279,98,377,29026,11507,16873,8419,25292
Manipur,74,23,13,26,23,96,119,34,5,9,44,53,33,5,8,43,51,12,4,5,7,12,11,0,1,12,13,508,129,238,569,807
Meghalaya,6,33,4,30,0,1,1,4,4,0,0,0,2,0,1,0,1,1,0,1,0,1,101,45,25,17,42,368,126,90,87,177
Mizoram,9,32,7,28,3,6,9,6,2,2,9,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,46,38,6,30,36
Nagaland,16,29,3,32,15,11,26,17,4,3,6,9,12,1,8,7,15,1,0,0,0,0,1,0,1,0,1,311,18,63,132,195
Orissa,1193,13,548,12,676,428,1104,722,286,421,191,612,730,306,406,246,652,324,162,174,131,305,314,131,170,74,244,7781,3900,4468,3792,8260
Punjab,769,14,583,10,319,99,418,467,334,167,58,225,671,373,244,79,323,323,253,189,64,253,430,303,175,52,227,3688,2679,1561,805,2366
Rajasthan,1354,12,452,15,398,890,1288,501,175,139,319,458,838,214,239,487,726,1243,593,225,1050,1275,606,246,251,328,579,18938,8883,5449,13204,18653
Sikkim,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7,7,160,71,134,177,311
