States/UTs,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Total Accidents - Rank,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Killed - Rank,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured ,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured ,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Greviously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured ,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured ,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured 
Andhra Pradesh,17340,9,6317,8,4039,15619,19658,874,241,532,475,1007,1040,402,489,663,1152,138,40,130,47,177,2600,984,1100,1525,2625
Arunachal Pradesh,62,32,29,30,41,34,75,49,26,34,29,63,36,17,29,27,56,38,26,32,29,61,52,29,30,24,54
Assam,4322,15,1735,17,3287,457,3744,1862,660,1597,176,1773,1163,410,891,211,1102,201,48,164,20,184,802,355,515,155,670
Bihar,4217,16,3156,13,2987,138,3125,2203,1515,1465,91,1556,2781,1884,1978,100,2078,0,0,0,0,0,806,650,442,5,447
Chhattisgarh,9033,11,3209,12,1540,6726,8266,1535,520,315,1043,1358,885,288,171,769,940,54,25,7,89,96,2392,961,518,1912,2430
Goa,3131,19,276,23,245,1091,1336,309,21,20,92,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,15014,10,6462,7,8221,5896,14117,1364,656,875,596,1471,668,272,411,259,670,0,0,0,0,0,0,0,0,0,0
Haryana,4619,14,2347,16,836,3121,3957,1555,702,475,908,1383,1836,825,612,967,1579,394,173,370,211,581,2540,1010,606,1256,1862
Himachal Pradesh,2501,21,969,19,1195,2916,4111,183,64,64,325,389,16,8,7,29,36,9,7,4,22,26,164,98,62,280,342
Jammu and Kashmir,3838,17,594,22,2992,1596,4588,148,17,66,119,185,30,1,30,17,47,0,0,0,0,0,1780,384,1136,1576,2712
Jharkhand,2363,22,1602,18,1404,157,1561,828,699,601,132,733,657,525,448,172,620,195,194,128,154,282,1174,781,423,199,622
Karnataka,35753,2,9721,2,23394,20170,43564,3181,852,2448,2115,4563,1654,383,1069,1147,2216,70,2,44,60,104,0,0,0,0,0
Kerala,35197,3,3561,10,28068,11601,39669,4571,650,3513,1455,4968,1343,229,989,429,1418,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,34681,4,7596,6,4458,31671,36129,5549,1181,1126,4794,5920,2946,702,751,2400,3151,336,78,32,291,323,7157,1692,944,6349,7293
Maharashtra,31536,5,12311,1,18351,9066,27417,1186,400,691,343,1034,184,71,101,66,167,7,0,2,1,3,12,6,7,0,7
Manipur,394,26,99,26,170,438,608,148,32,51,179,230,75,11,23,108,131,10,3,2,15,17,45,11,38,31,69
Meghalaya,181,29,89,27,44,15,59,20,1,6,7,13,13,1,3,2,5,0,0,0,0,0,268,88,64,81,145
Mizoram,44,34,37,29,6,27,33,9,7,2,9,11,3,1,1,9,10,0,0,0,0,0,6,3,2,0,2
Nagaland,130,30,13,35,30,52,82,91,8,24,50,74,108,2,23,42,65,0,0,0,0,0,29,3,13,12,25
Orissa,6410,12,3212,11,3550,2809,6359,1810,723,1080,887,1967,1112,506,699,566,1265,485,216,297,160,457,1247,676,689,440,1129
Punjab,3416,18,2485,15,1378,690,2068,587,332,245,101,346,973,696,435,155,590,246,273,110,62,172,1126,739,487,149,636
Rajasthan,21428,6,9583,3,6105,14842,20947,355,133,61,273,334,350,210,110,268,378,5,1,7,8,15,1342,636,418,887,1305
Sikkim,79,31,26,31,87,107,194,21,12,10,19,29,22,18,12,18,30,8,5,8,18,26,32,12,17,22,39
Tamil Nadu,48302,1,8969,5,3070,54082,57152,2761,474,357,3170,3527,5935,1053,1438,4599,6037,22,0,0,30,30,208,29,11,380,391
Telangana,18171,7,5668,9,2390,16222,18612,66,20,8,54,62,309,138,119,213,332,77,26,14,60,74,2947,1112,347,2572,2919
Tripura,534,25,185,24,683,5,688,48,26,42,2,44,51,20,47,2,49,0,0,0,0,0,22,8,35,0,35
Uttarakhand,1087,23,694,21,966,219,1185,162,88,129,24,153,51,38,46,10,56,2,2,0,0,0,50,45,55,8,63
Uttar Pradesh,17703,8,9327,4,7719,4102,11821,7001,3781,3091,1834,4925,8031,4177,3425,1925,5350,1715,906,810,478,1288,8122,4464,3458,2090,5548
West Bengal,4951,13,2546,14,4060,745,4805,328,169,292,50,342,441,253,410,35,445,31,11,26,3,29,4407,2521,3597,539,4136
Andaman and Nicobar Island,182,28,17,34,59,105,164,48,3,15,28,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,299,27,103,25,16,253,269,4,0,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,32,35,21,32,58,15,73,17,12,10,0,10,19,16,22,0,22,0,0,0,0,0,0,0,0,0,0
Daman and Diu,52,33,20,33,37,13,50,9,0,7,5,12,5,7,2,8,10,0,0,0,0,0,3,1,2,0,2
Delhi,2636,20,699,20,400,1977,2377,800,201,96,646,742,863,240,95,673,768,0,0,0,0,0,1311,323,187,1078,1265
Lakshadweep,1,36,0,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,656,24,87,28,297,475,772,143,14,84,105,189,0,0,0,0,0,0,0,0,0,0,593,46,243,415,658
Total,330295,NA,103765,NA,132184,207452,339636,39825,14240,19432,20141,39573,33602,13405,14887,15889,30776,4043,2036,2187,1758,3945,41237,17667,15446,21985,37431
