States/Uts,Drivers - Persons Killed - Number,Drivers - Persons Killed - Rank,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed - Number,Passengers - Persons Killed - Rank,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured
Andhra Pradesh,1861,7,957,2791,3748,775,7,484,1877,2361
Arunachal Pradesh,14,27,8,8,16,11,26,11,8,19
Assam,265,17,299,46,345,175,17,324,54,378
Bihar,346,16,303,13,316,179,16,185,6,191
Chhattisgarh,1899,6,634,1831,2465,719,9,409,1498,1907
Goa,117,21,71,139,210,30,22,46,81,127
Gujarat,1365,11,1368,670,2038,648,12,936,601,1537
Haryana,371,15,228,559,787,183,15,146,207,353
Himachal Pradesh,169,19,204,205,409,70,19,154,286,440
Jammu and Kashmir,13,28,16,89,105,6,30,6,51,57
Jharkhand,712,13,412,88,500,396,14,293,64,357
Karnataka,1546,9,3498,2169,5667,711,10,1574,1122,2696
Kerala,644,14,1207,265,1472,456,13,3260,2038,5298
Madhya Pradesh,2320,4,1628,8666,10294,1493,3,1326,6150,7476
Maharashtra,3682,2,3798,1763,5561,1646,2,2629,1171,3800
Manipur,22,25,14,37,51,24,23,46,63,109
Meghalaya,11,29,12,9,21,12,25,8,7,15
Mizoram,0,34,0,0,0,7,29,2,7,9
Nagaland,3,31,12,23,35,0,32,7,10,17
Orissa,1423,10,1160,610,1770,733,8,929,785,1714
Punjab,1269,12,358,289,647,684,11,587,658,1245
Rajasthan,1714,8,827,1624,2451,1017,4,626,1756,2382
Sikkim,1,32,2,1,3,0,32,4,1,5
Tamil Nadu,3382,3,1274,16513,17787,785,6,557,5076,5633
Telangana,1996,5,671,4346,5017,867,5,389,2695,3084
Tripura,51,24,41,0,41,10,28,53,1,54
Uttarakhand,149,20,143,20,163,73,18,119,22,141
Uttar Pradesh,4399,1,3185,1965,5150,2650,1,2150,1398,3548
West Bengal,199,18,238,37,275,66,20,104,13,117
Andaman and Nicobar Islands,0,34,2,1,3,0,32,0,3,3
Chandigarh,1,32,0,1,1,0,32,0,3,3
Dadra and Nagar Haveli,19,26,20,0,20,11,26,20,15,35
Daman and Diu,10,30,8,8,16,4,31,11,5,16
Delhi,117,21,35,217,252,61,21,16,119,135
Lakshadweep,0,34,0,0,0,0,32,0,0,0
Puducherry,58,23,276,348,624,16,24,24,68,92
Total,30148,NA,22909,45351,68260,14518,NA,17435,27919,45354
