States/UTs,Over-Speeding - National Highways under NHAI - Total Accidents,Over-Speeding - National Highways under NHAI - Death,Over-Speeding - National Highways under State PWD - Total Accidents,Over-Speeding - National Highways under State PWD - Death,Over-Speeding - National Highways under Other department - Total Accidents,Over-Speeding - National Highways under Other department - Death, Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Total Accidents, Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Death, Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Total Accidents, Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Death, Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Total Accidents, Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Death, Driving on Wrong side - National Highways under NHAI - Total Accidents, Driving on Wrong side - National Highways under NHAI - Death, Driving on Wrong side - National Highways under State PWD - Total Accidents, Driving on Wrong side - National Highways under State PWD - Death, Driving on Wrong side - National Highways under Other department - Total Accidents, Driving on Wrong side - National Highways under Other department - Death,Jumping Red Light - National Highways under NHAI - Total Accidents,Jumping Red Light - National Highways under NHAI - Death,Jumping Red Light - National Highways under State PWD - Total Accidents,Jumping Red Light - National Highways under State PWD - Death,Jumping Red Light - National Highways under Other department - Total Accidents,Jumping Red Light - National Highways under Other department - Death,Use of Mobile Phone - National Highways under NHAI - Total Accidents,Use of Mobile Phone - National Highways under NHAI - Death,Use of Mobile Phone - National Highways under State PWD - Total Accidents,Use of Mobile Phone - National Highways under State PWD - Death,Use of Mobile Phone - National Highways under Other department - Total Accidents,Use of Mobile Phone - National Highways under Other department - Death,Others - National Highways under NHAI - Total Accidents,Others - National Highways under NHAI - Death,Others - National Highways under State PWD - Total Accidents,Others - National Highways under State PWD - Death,Others - National Highways under Other department - Total Accidents,Others - National Highways under Other department - Death,Total - National Highways under NHAI - Total Accidents,Total - National Highways under NHAI - Death,Total - National Highways under State PWD - Total Accidents,Total - National Highways under State PWD - Death,Total - National Highways under Other department - Total Accidents,Total - National Highways under Other department - Death
Andhra Pradesh,4464,1788,1148,522,55,14,28,12,9,4,0,0,156,59,7,4,1,0,3,0,0,0,0,0,54,16,0,0,0,0,1087,404,642,278,28,13,5792,2279,1806,808,84,27
Arunachal Pradesh,21,10,9,8,0,0,10,7,6,4,0,0,16,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,5,1,0,0,70,37,25,17,0,0
Assam,2291,1035,1075,387,1,1,111,65,23,7,0,0,147,69,64,29,0,0,21,5,15,14,0,0,16,8,13,2,0,0,149,47,62,21,0,0,2735,1229,1252,460,1,1
Bihar,1937,1456,617,466,5,4,3,2,0,0,0,0,367,303,78,74,2,1,8,8,0,0,0,0,78,64,22,17,0,0,1093,800,311,237,5,4,3486,2633,1028,794,12,9
Chhattisgarh,1793,658,1322,497,0,0,40,15,17,6,0,0,126,47,60,14,0,0,16,7,0,0,0,0,16,6,7,1,0,0,184,69,230,101,0,0,2175,802,1636,619,0,0
Goa,0,0,1038,96,0,0,0,0,2,1,0,0,0,0,118,10,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,83,0,0,0,0,0,1244,107,0,0
Gujarat,3039,1606,352,218,1,0,11,8,0,0,0,0,83,53,12,9,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,2,5,0,2,0,3139,1671,369,227,3,0
Haryana,1315,910,679,261,649,254,37,12,20,8,31,27,69,43,37,39,75,47,0,0,0,0,0,0,16,4,9,3,34,14,44,50,294,139,133,90,1481,1019,1039,450,922,432
Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1396,478,0,0,0,0,1396,487,0,0,0,0
Jammu and Kashmir,2064,382,0,0,0,0,5,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081,384,0,0,0,0
Jharkhand,146,147,148,134,194,198,145,146,102,104,31,32,22,23,13,16,36,39,1,2,0,0,1,1,24,25,33,34,13,19,356,138,391,198,418,298,694,481,687,486,693,587
Karnataka,10194,2991,2284,632,226,47,16,3,3,0,0,0,174,66,54,7,0,0,3,1,0,0,0,0,3,1,3,0,0,0,394,90,4,2,5,2,10784,3152,2348,641,231,49
Kerala,264,26,6687,881,0,0,0,0,20,5,0,0,15,2,276,40,0,0,2,0,33,2,0,0,0,0,5,0,0,0,177,15,1980,288,0,0,458,43,9001,1216,0,0
Madhya Pradesh,6349,2021,920,267,479,112,368,80,83,11,55,8,438,114,130,22,40,6,0,0,0,0,0,0,298,33,17,4,22,3,712,128,430,79,99,16,8165,2376,1580,383,695,145
Maharashtra,4468,2150,989,426,934,384,25,13,13,5,4,4,131,59,31,7,20,6,2,0,2,0,1,0,8,0,5,1,1,0,1082,488,177,97,467,159,5716,2710,1217,536,1427,553
Manipur,0,0,227,63,11,6,0,0,52,11,0,0,0,0,10,2,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,77,23,6,6,0,0,378,99,17,12
Meghalaya,34,11,23,9,7,0,11,8,9,8,3,4,7,4,5,3,1,1,3,2,2,1,2,1,4,4,3,2,3,2,97,9,79,7,32,13,156,38,121,30,48,21
