State/UT,Less than 18 years - Male,Less than 18 years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female
Andhra Pradesh,64,2,699,22,860,28,792,23,546,10,140,6,46,6
Arunachal Pradesh,0,0,17,2,24,2,11,1,6,0,0,0,0,0
Assam,31,2,272,16,326,13,254,9,92,0,2,0,22,0
Bihar,0,0,726,15,605,11,443,10,245,0,35,0,0,0
Chhattisgarh,84,0,716,11,829,14,447,7,286,3,56,0,50,3
Goa,2,0,50,2,56,1,30,1,37,0,13,1,0,0
Gujarat,81,5,679,15,891,19,681,7,408,6,82,0,52,1
Haryana,39,5,509,30,473,24,279,10,203,9,100,7,342,18
Himachal Pradesh,16,1,127,1,152,1,101,3,85,0,19,0,0,0
Jammu and Kashmir,16,0,112,2,131,3,65,0,20,0,6,0,5,0
Jharkhand,198,0,357,16,357,15,233,1,176,1,162,2,166,5
Karnataka,68,4,1095,10,1438,12,1072,7,645,5,143,3,0,0
Kerala,30,0,476,5,440,10,313,13,467,14,243,5,28,1
Madhya Pradesh,186,25,1086,33,1320,35,955,18,445,17,143,6,98,3
Maharashtra,62,1,1335,36,1799,55,1518,32,855,11,152,2,90,1
Manipur,0,0,9,1,25,1,19,1,10,0,3,0,0,0
Meghalaya,14,11,12,15,6,7,1,0,4,5,0,0,0,0
Mizoram,3,0,3,1,6,0,5,0,4,0,0,0,1,0
Nagaland,0,0,12,0,2,0,0,0,3,0,0,0,0,0
Orissa,84,2,604,23,643,10,518,14,269,3,36,1,24,0
Punjab,425,80,579,75,356,112,75,65,74,20,25,27,0,0
Rajasthan,98,0,1340,12,1514,21,942,11,341,5,25,1,10,1
Sikkim,0,0,5,0,10,2,6,0,2,0,2,0,0,0
Tamil Nadu,246,12,613,69,763,62,1191,56,594,31,197,11,0,0
Telangana,54,1,646,6,827,9,616,8,491,7,157,1,23,0
Tripura,1,1,35,1,25,0,8,0,5,0,3,0,0,0
Uttarakhand,1,1,70,3,97,6,81,4,43,1,6,2,2,0
Uttar Pradesh,838,92,2349,190,2301,160,1809,89,1028,66,287,17,193,41
West Bengal,48,3,14,5,507,4,290,4,273,1,38,0,46,0
Andaman and Nicobar Islands,0,0,2,0,3,0,3,0,1,0,0,0,0,0
Chandigarh,2,0,7,0,18,0,9,2,7,1,1,0,0,0
Dadra and Nagar Haveli,1,0,9,0,3,0,3,0,4,0,0,0,0,0
Daman and Diu,0,0,7,0,1,1,1,0,1,0,0,0,0,0
Delhi,7,1,208,15,221,10,145,7,70,2,9,0,21,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,1,14,0,13,2,15,0,10,0,7,0,0,0
Total ,2699,250,14794,632,17042,650,12931,403,7750,218,2092,92,1219,80
