States/Uts,Pedestrian - Male,Pedestrian - Female,Pedestrian - Total,Bicycles - Male,Bicycles - Female,Bicycles - Total,Two Wheelers - Male,Two Wheelers - Female,Two Wheelers - Total,Two Wheelers - Rank,Auto Rickshaws - Male,Auto Rickshaws - Female,Auto Rickshaws - Total,"Cars, taxies Vans andLMV - Male","Cars, taxies Vans andLMV - Female","Cars, taxies Vans andLMV - Total",Trucks/Lorries - Male,Trucks/Lorries - Female,Trucks/Lorries - Total,Buses - Male,Buses - Female,Buses - Total,Other non  Motor vehicles(E-Rickshaw) - Male,Other non  Motor vehicles(E-Rickshaw) - Female,Other non  Motor vehicles(E-Rickshaw) - Total,Others - Male,Others - Female,Others - Total
Andhra Pradesh,1331,392,1723,125,2,127,2888,399,3287,7,517,139,656,707,113,820,666,53,719,211,58,269,132,13,145,208,30,238
Arunachal Pradesh,6,2,8,2,0,2,17,8,25,29,3,3,6,17,9,26,10,0,10,3,1,4,46,0,46,0,0,0
Assam,593,125,718,99,7,106,944,87,1031,17,95,32,127,467,61,528,239,2,241,129,24,153,51,5,56,233,15,248
Bihar,1000,259,1259,350,69,419,2779,356,3135,8,353,87,440,794,138,932,220,23,243,95,36,131,67,6,73,478,95,573
Chhattisgarh,456,122,578,155,18,173,2613,281,2894,10,40,11,51,338,75,413,262,12,274,59,12,71,13,0,13,461,75,536
Goa,30,20,50,2,0,2,197,16,213,22,1,0,1,16,5,21,1,0,1,3,3,6,0,0,0,2,1,3
Gujarat,1015,276,1291,75,9,84,2434,321,2755,11,294,81,375,1134,247,1381,726,91,817,165,35,200,33,8,41,361,85,446
Haryana,1488,185,1673,100,3,103,1464,150,1614,15,85,14,99,488,101,589,308,12,320,114,21,135,84,21,105,347,72,419
Himachal Pradesh,146,46,192,4,1,5,263,25,288,21,1,1,2,406,63,469,58,1,59,48,33,81,47,3,50,0,0,0
Jammu and Kashmir,80,8,88,7,0,7,171,0,171,23,8,5,13,182,64,246,132,6,138,76,32,108,4,2,6,193,26,219
Jharkhand,302,84,386,199,62,261,1271,107,1378,16,255,64,319,434,61,495,379,11,390,100,11,111,0,0,0,421,40,461
Karnataka,1552,328,1880,50,1,51,4271,519,4790,3,397,118,515,1641,289,1930,799,55,854,447,84,531,12,0,12,351,44,395
