States/Uts,January - Fatal Accidents,January - Total Accdents,January - Persons Killed,January - Persons Injured - Greviously Injured,January - Persons Injured - Minor Injury,January - Persons Injured - Total Injured,February - Fatal Accidents,February - Total Accdents,February - Persons Killed,February - Persons Injured - Greviously Injured,February - Persons Injured - Minor Injury,February - Persons Injured - Total Injured,March - Fatal Accidents,March - Total Accdents,March - Persons Killed,March - Persons Injured - Greviously Injured,March - Persons Injured - Minor Injury,March - Persons Injured - Total Injured,April - Fatal Accidents,April - Total Accdents,April - Persons Killed,April - Persons Injured - Greviously Injured,April - Persons Injured - Minor Injury,April - Persons Injured - Total Injured,May - Fatal Accidents,May - Total Accdents,May - Persons Killed,May - Persons Injured - Greviously Injured,May - Persons Injured - Minor Injury,May - Persons Injured - Total Injured,June - Fatal Accidents,June - Total Accdents,June - Persons Killed,June - Persons Injured - Greviously Injured,June - Persons Injured - Minor Injury,June - Persons Injured - Total Injured,July - Fatal Accidents,July - Total Accdents,July - Persons Killed,July - Persons Injured - Greviously Injured,July - Persons Injured - Minor Injury,July - Persons Injured - Total Injured,August - Fatal Accidents,August - Total Accdents,August - Persons Killed,August - Persons Injured - Greviously Injured,August - Persons Injured - Minor Injury,August - Persons Injured - Total Injured,September - Fatal Accidents,September - Total Accdents,September - Persons Killed,September - Persons Injured - Greviously Injured,September - Persons Injured - Minor Injury,September - Persons Injured - Total Injured,October - Fatal Accidents,October - Total Accdents,October - Persons Killed,October - Persons Injured - Greviously Injured,October - Persons Injured - Minor Injury,October - Persons Injured - Total Injured,November - Fatal Accidents,November - Total Accdents,November - Persons Killed,November - Persons Injured - Greviously Injured,November - Persons Injured - Minor Injury,November - Persons Injured - Total Injured,December - Fatal Accidents,December - Total Accdents,December - Persons Killed,December - Persons Injured - Greviously Injured,December - Persons Injured - Minor Injury,December - Persons Injured - Total Injured,Total - Fatal Accidents,Total - Total Accdents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured
Andhra Pradesh,648,1891,695,583,1504,2087,628,1774,662,525,1305,1830,646,1884,694,561,1577,2138,694,1905,757,561,1587,2148,704,1955,764,607,1648,2255,689,1911,758,513,1625,2138,594,1799,641,504,1503,2007,558,1822,589,513,1530,2043,528,1551,582,379,1371,1750,530,1701,575,521,1403,1924,554,1788,601,518,1558,2076,616,2011,666,505,1718,2223,7389,21992,7984,6290,18329,24619
Arunachal Pradesh,10,23,13,18,15,33,8,18,9,15,14,29,11,19,14,19,13,32,9,20,12,14,14,28,7,20,8,17,15,32,9,18,10,13,16,29,11,22,13,16,3,19,10,23,10,17,14,31,9,18,9,11,12,23,6,12,7,10,6,16,8,17,9,7,5,12,10,27,13,9,16,25,108,237,127,166,143,309
Assam,304,774,303,502,91,593,287,785,315,606,122,728,295,800,310,556,103,659,244,668,250,521,85,606,264,702,283,590,89,679,255,704,268,591,88,679,216,586,231,469,62,531,177,598,188,581,82,663,230,695,255,539,72,611,250,675,279,479,102,581,237,661,259,506,65,571,260,702,267,514,58,572,3019,8350,3208,6454,1019,7473
Bihar,544,832,573,458,41,499,500,764,546,557,30,587,668,967,717,677,29,706,528,816,578,572,17,589,764,1073,824,845,21,866,728,1041,789,732,28,760,513,780,541,518,33,551,487,764,519,540,30,570,395,599,410,362,25,387,465,689,491,421,15,436,564,851,612,621,43,664,575,831,605,569,22,591,6731,10007,7205,6872,334,7206
Chhattisgarh,474,1385,519,321,989,1310,397,1241,442,217,1006,1223,363,1115,391,218,783,1001,398,1233,435,281,1030,1311,462,1259,495,262,963,1225,455,1187,495,188,987,1175,377,1166,419,203,883,1086,300,1033,328,174,795,969,294,996,310,171,728,899,355,1097,383,181,802,983,371,1123,408,198,802,1000,357,1064,378,137,771,908,4603,13899,5003,2551,10539,13090
Goa,26,327,27,23,122,145,21,299,21,19,120,139,23,303,25,36,84,120,27,285,30,29,99,128,32,311,33,22,93,115,25,269,29,16,65,81,19,240,21,17,66,83,17,260,17,16,72,88,15,239,15,15,72,87,23,271,24,28,117,145,29,285,29,19,131,150,26,351,26,25,142,167,283,3440,297,265,1183,1448
Gujarat,658,1715,727,861,723,1584,642,1632,698,942,648,1590,622,1580,676,816,602,1418,595,1448,653,822,688,1510,684,1624,755,937,655,1592,563,1404,615,826,524,1350,476,1248,515,706,477,1183,423,1182,465,683,471,1154,422,1085,490,592,408,1000,538,1356,595,776,554,1330,488,1285,532,702,458,1160,615,1487,669,844,543,1387,6726,17046,7390,9507,6751,16258
Haryana,403,934,429,281,551,832,347,810,366,204,460,664,414,994,447,251,557,808,399,934,429,236,581,817,405,929,432,269,503,772,394,890,429,227,518,745,385,909,422,251,547,798,378,881,411,246,532,778,346,859,379,234,528,762,413,949,438,225,583,808,399,918,431,240,562,802,401,937,444,235,541,776,4684,10944,5057,2899,6463,9362
Himachal Pradesh,84,240,106,106,336,442,54,169,60,91,182,273,72,246,82,141,296,437,73,256,91,151,408,559,81,251,105,112,334,446,95,285,152,118,421,539,63,233,76,93,268,361,73,252,80,102,289,391,60,225,69,97,269,366,90,254,108,117,229,346,89,230,104,95,319,414,96,232,113,109,221,330,930,2873,1146,1332,3572,4904
Jammu and Kashmir,68,455,71,376,213,589,37,295,37,244,139,383,57,442,93,301,261,562,65,506,71,367,377,744,76,540,94,360,336,696,75,587,110,400,384,784,77,642,132,428,386,814,55,406,75,341,226,567,56,435,58,316,256,572,82,556,95,413,268,681,64,501,106,341,274,615,50,431,54,337,188,525,762,5796,996,4224,3308,7532
