States/Uts,Black spots on NH reported by the State as on 16/9/2020
Andhra Pradesh,466
Madhya Pradesh,303
Tamil Nadu,748
Rajasthan,349
Gujarat,250
Himachal Pradesh,116
Uttarkhand,54
Punjab,296
Goa,29
Meghalaya,1
Delhi,113
Karnatka,551
Jammu and Kashmir,64
Kerala,243
Tripura,9
Assam,12
Uttar Pradesh,253
Orrisa,169
Bihar,94
Chattisgarh,142
Jharkhand,52
Mizoram,2
Maharahtra,25
Telengana,485
West Begal,701
Nagaland,17
Haryana,23
Manipur,5
Arunachal Pradesh,5
Chandigarh,6
Andaman and Nicobar Is.,NA
Dadra and Nagar Haveli,NA
Daman and Diu,NA
Lakshadweep,NA
Puducherry,NA
Sikkim,NA
Total ,5583
