States/UTs,2016,2017,2018(P),2019(P)
Andhra Pradesh,3.8,3.8,4,4
Arunachal Pradesh,0.1,0.1,0.1,0.1
Assam,1.2,1.2,1.3,1.3
Bihar,2.4,2.5,2.7,2.9
Chhattisgarh,2.1,2.1,2.1,2.1
Goa,0.5,0.5,0.5,0.5
Gujarat,8.9,8.7,8.7,8.5
Haryana,3.8,3.7,2.8,2.9
Himachal Pradesh,0.5,0.5,0.5,0.6
Jammu and Kashmir,0.6,0.6,0.6,0.6
Jharkhand,1.1,1.3,1.5,1.5
Karnataka,7.1,7.1,7.1,7.1
Kerala,4.4,4.5,4.5,4.5
Madhya Pradesh,4.8,5.2,4.8,4.4
Maharashtra,12.1,11.9,12,11.9
Manipur,0.1,0.1,0.1,0.1
Meghalaya,0.2,0.2,0.1,0.1
Mizoram,0.1,0.1,0.1,0.1
Nagaland,0.2,0.2,0.2,0.2
Odisha,2.5,2.6,2.7,2.8
Punjab,3.9,3.9,3.5,3.6
Rajasthan,5.9,5.9,6,6
Sikkim,0,0,0,0
Tamil Nadu,10.5,10.3,10.3,10.2
Telangana,3.8,3.9,4,4.1
Tripura,0.1,0.2,0.2,0.2
Uttarakhand,0.8,0.8,0.9,0.9
Uttar Pradesh,10.4,10.4,10.8,11
West Bengal,2.8,2.9,3.1,3.3
Andaman and Nicobar Islands,0,0,0,0
Chandigarh,0.4,0.3,0.3,0.3
Dadra and Nagar Haveli,0,0,0,0
Daman and Diu,0,0,NA,NA
Delhi,4.2,4.1,3.9,3.8
Lakshadweep,0,0,0,0
Puducherry,0.4,0.4,0.4,0.4
Total ,100,100,100,100
