States/UTs,2018,2019,Reduction(+)/Increase (-) ,Percentage Share in total increase
Andhra Pradesh,24475,21992,2483,13.8
Arunachal Pradesh,277,237,40,0.2
Assam,8248,8350,-102,-0.6
Bihar,9600,10007,-407,-2.3
Chhattisgarh,13864,13899,-35,-0.2
Goa,3709,3440,269,1.5
Gujarat,18769,17046,1723,9.5
Haryana,11238,10944,294,1.6
Himachal Pradesh,3110,2873,237,1.3
Jammu and Kashmir,5978,5796,182,1.0
Jharkhand,5394,5217,177,1.0
Karnataka,41707,40658,1049,5.8
Kerala,40181,41111,-930,-5.2
Madhya Pradesh,51397,50669,728,4.0
Maharashtra,35717,32925,2792,15.5
Manipur,601,672,-71,-0.4
Meghalaya,399,482,-83,-0.5
Mizoram,53,62,-9,0.0
Nagaland,430,358,72,0.4
Odisha,11262,11064,198,1.1
Punjab,6428,6348,80,0.4
Rajasthan,21743,23480,-1737,-9.6
Sikkim,180,162,18,0.1
Tamil Nadu,63920,57228,6692,37.1
Telangana,22230,21570,660,3.7
Tripura,552,655,-103,-0.6
Uttarakhand,1468,1352,116,0.6
Uttar Pradesh,42568,42572,-4,0.0
West Bengal,12705,10158,2547,14.1
Andaman and Nicobar Islands,254,230,24,0.1
Chandigarh,316,305,11,0.1
Dadra and Nagar Haveli,80,68,12,0.1
Daman and Diu,76,69,7,0.0
Delhi,6515,5610,905,5.0
Lakshadweep,3,1,2,0.0
Puducherry,1597,1392,205,1.1
Total ,467044,449002,18042,100
