State/Uts,Bicycles,Two Wheelers,Auto Rickshaws,"Cars, Taxis, Vans and LMV",Trucks/Lorries,Buses,Other Non-Motorizd Vehicles(E-rickshaw etc.),Others,Total
Andhra Pradesh,2,26,8,15,19,14,0,10,94
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,0,41,13,26,15,4,0,7,106
Bihar,0,53,23,120,138,37,0,48,419
Chhattisgarh,3,50,4,28,32,0,1,55,173
Goa,0,0,0,1,1,0,0,0,2
Gujarat,0,23,7,16,18,11,0,9,84
Haryana,2,4,1,38,25,6,7,20,103
Himachal Pradesh,0,1,0,1,1,0,0,2,5
Jammu and Kashmir,0,2,0,1,0,1,0,3,7
Jharkhand,0,0,0,0,0,261,0,0,261
Karnataka,0,16,3,16,7,5,0,1,48
Kerala,0,29,3,43,11,10,0,3,99
Madhya Pradesh,8,32,4,20,28,10,10,9,121
Maharashtra,0,43,7,40,42,12,0,38,182
Manipur,0,0,0,3,2,0,0,0,5
Meghalaya,0,0,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Orissa,0,44,8,31,27,11,1,14,136
Punjab,15,37,14,63,22,18,9,12,190
Rajasthan,0,38,1,11,1,0,0,0,51
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,1,94,19,57,24,35,0,0,230
Telangana,2,18,9,16,16,7,0,3,71
Tripura,0,4,2,3,4,0,0,0,13
Uttarakhand,0,7,1,5,7,7,0,2,29
Uttar Pradesh,95,276,142,298,227,140,111,28,1317
West Bengal,0,87,1,71,110,22,1,60,352
Andaman and Nicobar Island,0,0,0,0,0,0,0,0,0
Chandigarh,0,1,1,5,3,0,0,0,10
Dadra and Nagar Haveli,0,0,1,1,1,0,0,0,3
Daman and Diu,0,0,0,0,0,0,0,0,0
Delhi,0,6,8,18,19,12,0,4,67
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,0,9,0,7,2,0,0,0,18
Total,128,941,280,954,802,623,140,328,4196
