State/Uts,Bicycles,Two Wheelers,Auto Rickshaws,"Cars, Taxis, Vans and LMV",Trucks/Lorries,Buses,Other Non-Motorizd Vehicles(E-rickshaw etc.),Others,Total
Andhra Pradesh,0,60,105,282,153,61,0,42,703
Arunachal Pradesh,0,0,0,27,0,0,0,0,27
Assam,0,30,6,171,166,109,1,45,528
Bihar,0,0,2,308,436,60,0,126,932
Chhattisgarh,0,0,0,182,102,18,3,108,413
Goa,0,6,0,6,3,0,0,1,16
Gujarat,0,149,74,568,351,116,31,92,1381
Haryana,1,89,15,142,166,40,20,116,589
Himachal Pradesh,0,6,0,452,3,6,0,2,469
Jammu and Kashmir,0,46,4,101,21,29,0,45,246
Jharkhand,59,64,95,34,0,245,0,0,497
Karnataka,0,223,47,623,469,283,3,87,1735
Kerala,0,4,1,265,53,37,0,5,365
Madhya Pradesh,20,208,62,676,324,110,100,131,1631
Maharashtra,0,2,4,916,468,114,11,514,2029
Manipur,0,1,2,25,4,0,0,0,32
Meghalaya,0,0,0,31,0,0,0,0,31
Mizoram,0,0,0,2,2,0,0,0,4
Nagaland,0,0,0,4,2,2,0,0,8
Orissa,33,197,31,177,138,33,12,40,661
Punjab,37,62,76,337,150,65,12,35,774
Rajasthan,0,0,0,2644,236,179,0,19,3078
Sikkim,0,2,0,3,2,0,0,1,8
Tamil Nadu,13,1385,29,573,415,205,0,0,2620
Telangana,0,7,3,299,133,12,0,328,782
Tripura,0,8,0,13,9,0,0,2,32
Uttarakhand,0,1,0,24,21,9,0,15,70
Uttar Pradesh,106,380,214,1221,853,413,423,119,3729
West Bengal,0,62,4,35,106,14,1,35,257
Andaman and Nicobar Island,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,2,0,1,0,0,3
Dadra and Nagar Haveli,0,0,0,2,0,0,0,0,2
Daman and Diu,0,0,0,0,0,0,0,4,4
Delhi,0,16,4,119,46,20,0,28,233
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,0,7,0,3,1,0,0,0,11
Total,269,3015,778,10267,4833,2181,617,1940,23900
