State/Uts,Bicycles,Two Wheelers,Auto Rickshaws,"Cars, Taxis, Vans and LMV",Trucks/Lorries,Buses,Other Non-Motorizd Vehicles(E-rickshaw etc.),Others,Total
Andhra Pradesh,0,82,56,58,344,27,0,62,629
Arunachal Pradesh,0,0,0,0,9,0,0,0,9
Assam,0,0,0,14,110,87,1,29,241
Bihar,0,0,0,0,201,30,0,12,243
Chhattisgarh,0,0,0,11,126,18,0,119,274
Goa,0,2,0,2,0,0,0,0,4
Gujarat,0,120,53,136,315,108,33,52,817
Haryana,2,56,7,47,113,30,27,38,320
Himachal Pradesh,0,0,0,0,59,0,0,0,59
Jammu and Kashmir,0,13,0,38,17,40,0,30,138
Jharkhand,0,0,0,13,12,401,0,0,426
Karnataka,0,91,31,126,396,191,0,23,858
Kerala,0,0,0,0,40,1,0,0,41
Madhya Pradesh,4,136,20,113,537,126,55,51,1042
Maharashtra,0,0,0,13,402,50,2,160,627
Manipur,0,2,1,4,23,0,0,0,30
Meghalaya,0,0,0,0,33,0,0,0,33
Mizoram,0,0,0,2,3,0,0,0,5
Nagaland,0,0,0,0,3,2,0,0,5
Orissa,27,173,23,76,199,27,14,56,595
Punjab,39,46,10,190,30,35,15,5,370
Rajasthan,0,0,0,298,1407,108,0,73,1886
Sikkim,0,0,0,1,0,0,0,0,1
Tamil Nadu,2,584,15,228,482,352,0,0,1663
Telangana,0,6,4,15,275,14,0,300,614
Tripura,0,5,0,3,5,1,0,0,14
Uttarakhand,0,0,0,1,10,5,0,2,18
Uttar Pradesh,77,353,175,327,789,224,193,52,2190
West Bengal,0,76,4,38,145,12,0,34,309
Andaman and Nicobar Island,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,1,0,0,0,1
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0
Daman and Diu,0,1,0,0,0,0,0,1,2
Delhi,0,8,2,9,17,3,2,21,62
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,0,3,0,2,0,1,0,0,6
Total,151,1757,401,1765,6103,1893,342,1120,13532
