States/UTs,06-900hrs - Day,09-1200hrs - Day,12-1500hrs - Day,15-1800hrs - Day,18-2100hrs - Night,21-2400hrs - Night,00-300hrs - Night,03-600hrs - Night,Unknown Time,Total Accidents
Andhra Pradesh,2453,3069,3437,3919,4633,2188,947,1300,46,21992
Arunachal Pradesh,40,46,22,34,26,23,25,11,10,237
Assam,1068,1536,1299,1464,1284,747,395,501,56,8350
Bihar,1859,1791,1261,1437,1288,462,165,1744,0,10007
Chhattisgarh,1426,2063,2238,2679,3085,1439,454,515,0,13899
Goa,300,506,583,629,596,419,256,151,0,3440
Gujarat,1791,2523,2564,2901,3566,1916,944,819,22,17046
Haryana,1173,1359,1485,1703,1910,1158,797,912,447,10944
Himachal Pradesh,235,419,433,576,636,325,150,99,0,2873
Jammu and Kashmir,514,1097,1258,1183,907,400,270,167,0,5796
Jharkhand,671,853,775,842,836,420,285,394,141,5217
Karnataka,4079,5917,6496,7385,8612,4615,1767,1787,0,40658
Kerala,4904,7705,6381,8106,8465,3439,904,1143,64,41111
Madhya Pradesh,3958,7289,8662,9775,10259,6187,2463,1821,255,50669
Maharashtra,3332,4487,4873,5364,5841,4105,2598,2151,174,32925
Manipur,66,90,120,129,164,74,14,15,0,672
Meghalaya,63,44,55,75,72,62,59,52,0,482
Mizoram,7,8,10,10,10,8,5,4,0,62
Nagaland,31,39,41,55,65,60,38,29,0,358
Orissa,1025,1602,1759,1938,2004,1293,641,744,58,11064
Punjab,647,682,700,847,1205,796,509,408,554,6348
Rajasthan,2485,3388,3814,4841,4567,2170,1062,1153,0,23480
Sikkim,15,20,29,18,50,16,6,7,1,162
Tamil Nadu,6768,8190,8109,9971,13143,6258,2008,2781,0,57228
Telangana,2227,3105,3260,4131,4489,2208,1124,991,35,21570
Tripura,56,134,127,153,116,47,13,8,1,655
Uttarakhand,147,179,200,207,239,164,59,94,63,1352
Uttar Pradesh,5818,5933,5312,5681,5685,5240,3516,4064,1323,42572
West Bengal,1073,1698,1362,1453,1503,1016,1368,685,0,10158
Andaman and Nicobar Is.,26,39,42,43,42,26,9,3,0,230
Chandigarh,46,36,39,41,63,48,14,7,11,305
Dadra and Nagar Haveli,5,4,16,17,14,11,1,0,0,68
Daman and Diu,1,5,9,14,14,16,8,2,0,69
Delhi,676,726,672,702,861,834,585,463,91,5610
Lakshadweep,0,0,0,0,1,0,0,0,0,1
Puducherry,180,185,180,190,201,180,114,162,0,1392
Total,49165,66767,67623,78513,86452,48370,23573,25187,3352,449002
