States/UTs,Persons Killed per 100 Accidents - 2016,Persons Killed per 100 Accidents - 2017,Persons Killed per 100 Accidents - 2018,Persons Killed per 100 Accidents - 2019 - Numbers,Persons Killed per 100 Accidents - 2019 - Ranks
Andhra Pradesh,34.31774349,31.32895402,30.87231869,36.30411059,21
Arunachal Pradesh,59.83935743,45.64315353,63.17689531,53.58649789,8
Assam,34.59314055,38.81450488,35.96023278,38.41916168,18
Bihar,59.60836779,62.7216262,70.09375,71.99960028,4
Chhattisgarh,28.77761414,30.4947283,33.12175418,35.99539535,22
Goa,7.80669145,8.373755425,7.063898625,8.63372093,34
Gujarat,37.2203669,38.20030397,42.60216314,43.35327936,14
Haryana,44.72138152,45.47877065,45.54191137,46.20796784,11
Himachal Pradesh,40.11994949,38.63198459,38.84244373,39.88861817,16
Jammu and Kashmir,17.41501545,16.46514936,16.46035463,17.18426501,30
Jharkhand,61.37469586,62.63947672,65.66555432,72.85796435,2
Karnataka,25.07263023,24.93770862,26.35049272,26.95164543,25
Kerala,10.87519026,10.73823759,10.70904159,10.80002919,31
Madhya Pradesh,17.87223005,19.05840933,20.83000953,22.20095127,28
Maharashtra,32.43643111,34.20634257,37.12797827,38.8397874,17
Manipur,15.05576208,23.52941176,22.29617304,23.21428571,27
Meghalaya,24.19354839,26.96296296,45.61403509,37.13692946,19
Mizoram,84.3373494,88.23529412,84.90566038,77.41935484,1
Nagaland,61.33333333,7.721280603,9.069767442,7.262569832,35
Odisha,42.37561717,44.12713035,47.19410407,48.20137383,10
Punjab,73.02934407,71.14618205,73.73988799,71.28229364,5
Rajasthan,45.36980838,47.23227207,47.46355149,44.98722317,13
Sikkim,40.47619048,39.79591837,47.22222222,45.0617284,12
Tamil Nadu,24.10438045,24.64384857,19.11138924,18.39134689,29
Telangana,31.64701241,29.33641701,29.70310391,32.28558183,24
Tripura,31.05924596,32.00795229,38.58695652,36.48854962,20
Uttarakhand,60.46511628,58.76481597,71.32152589,64.12721893,6
Uttar Pradesh,54.25137594,51.88871413,52.28340537,53.21572865,9
West Bengal,48.18851252,49.60020635,44.95080677,54.14451664,7
Andaman and Nicobar Islands,7.142857143,11.11111111,7.480314961,8.695652174,33
Chandigarh,35.28037383,31.28654971,31.01265823,34.09836066,23
Dadra and Nagar Haveli,65.71428571,64.17910448,67.5,72.05882353,3
Daman and Diu,53.52112676,45.56962025,46.05263158,40.57971014,15
Delhi,21.57288136,23.73744942,25.94013814,26.07843137,26
Lakshadweep,100,0,33.33333333,0,36
Puducherry,13.81653454,13.76255168,14.15153413,10.56034483,32
National Average,31.37092949,31.81540513,32.42028588,33.65530666,NA
