States/UTs,Number of Fatal Road Accidents on National Highways 2016,Number of Fatal Road Accidents on National Highways 2017,Number of Fatal Road Accidents on National Highways 2018,Number of Fatal Road Accidents on National Highways 2019 - Number,Number of Fatal Road Accidents on National Highways 2019 - Rank
Andhra Pradesh,2689,2694,2643,2760,7
Arunachal Pradesh,37,39,43,43,28
Assam,1190,1295,1501,1572,15
Bihar,1842,2327,2801,3205,6
Chhattisgarh,1048,1120,1220,1279,17
Goa,103,109,98,103,24
Gujarat,1919,1880,1913,1697,12
Haryana,1758,1680,1966,1662,13
Himachal Pradesh,404,374,377,388,19
Jammu and Kashmir,317,335,333,304,21
Jharkhand,1112,1130,1027,1419,16
Karnataka,3699,3398,3571,3411,4
Kerala,1178,1213,1147,1158,18
Madhya Pradesh,2063,2258,2349,2602,8
Maharashtra,3426,3198,3591,3432,3
Manipur,45,74,79,104,23
Meghalaya,71,101,71,85,26
Mizoram,37,29,14,17,31
Nagaland,32,17,15,18,30
Odisha,1685,1885,1939,1820,11
Punjab,1330,1720,1969,1599,14
Rajasthan,3162,3505,3372,3308,5
Sikkim,28,23,16,20,29
Tamil Nadu,5673,5315,4058,3605,2
Telangana,1965,1774,1863,2272,9
Tripura,67,67,69,93,25
Uttarakhand,431,450,498,370,20
Uttar Pradesh,6599,6923,7677,7760,1
West Bengal,2120,1865,1938,1822,10
Andaman and Nicobar Islands,7,7,7,7,33
Chandigarh,24,15,17,13,32
Dadra and Nagar Haveli,0,0,0,0,34
Daman and Diu,0,5,0,0,34
Delhi,221,265,258,268,22
Lakshadweep,0,0,0,0,34
Puducherry,124,133,110,75,27
Total ,46406,47223,48550,48291,NA
