States/UTs,Greviously Injured persons,Minor Injured persons,Total Injured persons
Andhra Pradesh,1549,4400,5949
Arunachal Pradesh,65,52,117
Assam,1632,237,1869
Bihar,1567,61,1628
Chhattisgarh,604,2302,2906
Goa,27,132,159
Gujarat,2730,1898,4628
Haryana,355,1516,1871
Himachal Pradesh,272,662,934
Jammu and Kashmir,595,151,746
Jharkhand,881,165,1046
Karnataka,7322,6847,14169
Kerala,6318,3017,9335
Madhya Pradesh,1965,11661,13626
Maharashtra,4388,2077,6465
Manipur,68,259,327
Meghalaya,12,12,24
Mizoram,7,22,29
Nagaland,15,31,46
Orissa,1861,1325,3186
Punjab,657,346,1003
Rajasthan,1196,2694,3890
Sikkim,45,80,125
Tamil Nadu,1450,21027,22477
Telangana,392,2222,2614
Tripura,287,1,288
Uttarakhand,316,54,370
Uttar Pradesh,5918,3354,9272
West Bengal,2048,341,2389
Andaman and Nicobar Island,18,38,56
Chandigarh,0,0,0
Dadra and Nagar Haveli,33,0,33
Daman and Diu,0,5,5
Delhi,0,0,0
Lakshadweep,0,0,0
Puducherry,126,123,249
Total,44719,67112,111831
