States/UTs,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2016,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2017,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2018,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2019 - Number,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2019 - Rank,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2016,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2017,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2018,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2019,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2016,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2017,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2018,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2019,"Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2017","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2018","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2019","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2016","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2017","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2018"
Andhra Pradesh,30051,27475,23456,24619,7,6.075524034,5.833642975,4.996825857,5.454392382,34.00934802,30.85865109,26.15201079,27.25451124,34.43231199,28.54139203,21.72653521,20.52813995,1723.43535,1556.889478,1075.028004
Arunachal Pradesh,391,316,323,309,28,0.079049945,0.067094856,0.06880861,0.068459614,29.77913176,23.81311228,24.08650261,22.82127031,14.76848232,17.5683414,15.39025982,13.4256765,127.3934866,85.34684133,63.8910698
Assam,6127,6163,7375,7473,16,1.238718704,1.308562026,1.571094419,1.655659217,18.88193781,18.78390735,22.23662787,22.29681346,21.74707797,20.3488996,21.4265149,18.98378694,185.9371207,182.457409,214.6332035
Bihar,5651,6014,6679,7206,17,1.142483988,1.276925527,1.422825712,1.596504793,5.438464796,5.724130054,6.289551002,6.716188381,10.30766304,9.628643983,9.069771926,8.424933735,273.6774191,286.9976255,229.8577256
Chhattisgarh,12955,12550,12715,13090,11,2.619161221,2.664684962,2.708673293,2.900117644,50.05989412,47.92637287,48.00286922,48.87611082,26.93094121,23.94109765,21.94752858,20.53247661,1352.165328,1282.646614,1239.544904
Goa,2026,1922,1549,1448,24,0.409604063,0.408089601,0.329983085,0.320807513,102.4785028,95.00741473,74.9032882,68.39867737,17.49204181,15.51696856,11.68666754,10.32772702,1261.277414,1153.727835,832.4835802
Gujarat,19949,16802,17467,16258,10,4.033164586,3.567492967,3.720990674,3.601994856,31.75328293,26.44651514,27.19784498,25.05432186,9.797509942,7.624609291,7.332662324,6.451309537,1113.574122,928.6638275,865.8083461
Haryana,10531,10339,10020,9362,14,2.129091997,2.195233293,2.134558112,2.074171229,38.32660043,37.09989953,35.46526033,32.69882295,12.19860266,11.03373116,12.95745171,10.88646678,2172.140539,1270.367472,2003.161837
Himachal Pradesh,5764,5452,5551,4904,19,1.165329624,1.157598599,1.182528152,1.086491744,81.24031008,76.24108516,77.03302803,67.55751481,49.03403629,40.2120648,37.13398673,29.99705779,1033.739285,867.9850742,896.7847882
Jammu and Kashmir,7692,7419,7845,7532,15,1.555120657,1.575242847,1.671218402,1.668730794,61.93735405,59.13909924,61.94236084,58.93583725,56.3288692,49.10497106,46.85909658,40.63358615,1547.174024,1170.454381,721.8667148
