States/UTs,Total Number of Persons Injured on NH during 2016,Total Number of Persons Injured on NH during 2017,Total Number of Persons Injured on NH during 2018,Total Number of Persons Injured on NH during 2019 - Number,Total Number of Persons Injured on NH during 2019 - Rank
Andhra Pradesh,9553,8936,8251,8651,7
Arunachal Pradesh,135,113,105,138,29
Assam,2759,2813,3389,3625,14
Bihar,2034,2433,2771,3296,16
Chhattisgarh,3844,3345,3592,3541,13
Goa,472,709,541,374,25
Gujarat,3955,3062,3677,3112,12
Haryana,3157,3588,3337,2837,15
Himachal Pradesh,2435,2576,2559,2328,18
Jammu and Kashmir,2895,2554,2762,2620,17
Jharkhand,1504,1264,1223,1483,20
Karnataka,17856,17242,16503,16835,2
Kerala,10521,9990,10461,10710,4
Madhya Pradesh,11375,11616,10055,10362,5
Maharashtra,9515,8351,8457,7263,6
Manipur,591,685,585,602,24
Meghalaya,206,158,36,134,31
Mizoram,39,11,32,25,33
Nagaland,85,268,180,150,27
Odisha,4354,4487,4494,4359,10
Punjab,1287,1717,1582,1454,19
Rajasthan,7023,7085,7023,7002,9
Sikkim,96,173,116,95,28
Tamil Nadu,27844,25268,24016,21770,1
Telangana,6504,6856,7049,7591,8
Tripura,304,338,227,297,26
Uttarakhand,958,940,759,705,22
Uttar Pradesh,9197,10232,10912,10900,3
West Bengal,4096,3959,4203,3714,11
Andaman and Nicobar Islands,160,123,99,74,30
Chandigarh,22,29,35,27,32
Dadra and Nagar Haveli,0,0,0,0,34
Daman and Diu,0,2,0,0,34
Delhi,650,760,704,742,23
Lakshadweep,0,0,0,0,34
Puducherry,860,939,887,733,21
Total ,146286,142622,140622,137549,NA
