State/UT,Less than 18 years - Male,Less than 18 years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female,Total - Male,Total - Female
Andhra Pradesh,324,90,1326,182,1679,234,1625,272,1211,258,538,139,82,24,6785,1199
Arunachal Pradesh,0,0,24,6,44,9,27,5,8,4,0,0,0,0,103,24
Assam,163,32,698,95,833,92,660,79,360,39,69,13,67,8,2850,358
Bihar,514,168,1487,170,1546,226,1338,252,894,184,357,69,0,0,6136,1069
Chhattisgarh,270,72,1174,101,1334,155,858,130,511,86,172,45,78,17,4397,606
Goa,5,3,57,6,69,5,41,7,52,9,28,15,0,0,252,45
Gujarat,278,84,1277,196,1829,297,1575,271,971,179,238,101,77,17,6245,1145
Haryana,173,43,933,104,1011,102,702,87,482,81,216,36,961,126,4478,579
Himachal Pradesh,64,26,229,31,259,25,190,25,155,42,76,24,0,0,973,173
Jammu and Kashmir,66,26,308,66,350,35,68,10,37,4,6,0,20,0,855,141
Jharkhand,447,26,645,77,635,83,504,58,402,56,313,48,415,92,3361,440
Karnataka,325,135,1911,180,2677,297,2436,351,1600,318,571,157,0,0,9520,1438
Kerala,136,35,673,34,588,42,481,70,907,219,923,266,58,8,3766,674
Madhya Pradesh,665,202,2281,231,2686,397,2081,358,1202,268,454,100,284,40,9653,1596
Maharashtra,300,79,2308,229,3186,415,2902,390,1785,290,512,109,256,27,11249,1539
Manipur,6,5,16,2,43,5,39,7,18,4,6,2,2,1,130,26
Meghalaya,14,11,17,19,31,24,26,14,12,10,1,0,0,0,101,78
Mizoram,9,0,6,1,11,0,11,0,9,0,0,0,1,0,47,1
Nagaland,0,0,19,0,3,0,0,0,3,0,1,0,0,0,26,0
Orissa,229,46,1163,151,1408,141,1055,125,683,84,154,26,66,2,4758,575
Punjab,587,392,888,455,655,320,251,304,242,111,233,87,0,0,2856,1669
Rajasthan,389,112,2721,322,3130,395,2049,253,921,109,120,26,14,2,9344,1219
Sikkim,1,1,14,1,24,5,13,1,8,0,4,1,0,0,64,9
Tamil Nadu,994,159,1652,300,1831,312,2246,360,1712,280,504,175,0,0,8939,1586
Telangana,214,71,1160,130,1681,260,1362,253,1075,204,436,85,32,1,5960,1004
Tripura,11,1,58,8,59,5,35,9,35,4,13,1,0,0,211,28
Uttarakhand,36,18,143,14,219,40,191,26,106,19,29,13,12,1,736,131
Uttar Pradesh,2131,557,4860,899,4673,747,3786,634,2379,384,842,152,495,116,19166,3489
West Bengal,240,96,623,57,1265,110,1082,149,1147,191,305,95,122,18,4784,716
Andaman and Nicobar Islands,0,0,4,1,5,0,5,1,3,0,1,0,0,0,18,2
Chandigarh,3,6,11,3,24,3,16,3,18,1,12,4,0,0,84,20
Dadra and Nagar Haveli,4,0,14,0,8,2,4,2,7,1,5,2,0,0,42,7
Daman and Diu,3,0,9,0,6,2,2,2,3,0,1,0,0,0,24,4
Delhi,45,18,339,50,365,37,282,30,156,31,49,12,45,4,1281,182
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,6,2,30,7,27,7,24,4,26,2,12,0,0,0,125,22
Total ,8652,2516,29078,4128,34194,4829,27967,4542,19140,3472,7201,1803,3087,504,129319,21794
