States/UTs,Total Number of Persons Killed on NH during 2016,Total Number of Persons Killed on NH during 2017,Total Number of Persons Killed on NH during 2018,Total Number of Persons Killed on NH during 2019 - Number,Total Number of Persons Killed on NH during 2019 - Rank
Andhra Pradesh,3006,2898,2929,3114,7
Arunachal Pradesh,58,41,56,54,28
Assam,1295,1464,1541,1690,15
Bihar,2014,2540,3051,3436,6
Chhattisgarh,1181,1152,1384,1421,17
Goa,113,118,104,107,24
Gujarat,2141,2145,2171,1898,13
Haryana,1845,1990,2088,1901,12
Himachal Pradesh,478,528,470,487,19
Jammu and Kashmir,403,409,400,384,21
Jharkhand,1222,1250,1122,1554,16
Karnataka,4116,3792,3986,3842,4
Kerala,1263,1309,1248,1259,18
Madhya Pradesh,2564,2521,2601,2904,8
Maharashtra,3887,3637,4088,3799,5
Manipur,46,97,88,111,23
Meghalaya,108,111,73,89,26
Mizoram,45,29,15,19,30
Nagaland,35,27,12,18,31
Odisha,1812,2123,1999,2000,11
Punjab,1495,1891,2085,1693,14
Rajasthan,3737,4066,3874,3870,3
Sikkim,39,30,31,29,29
Tamil Nadu,6255,5892,4492,3956,2
Telangana,2173,1954,2064,2491,9
Tripura,68,70,77,106,25
Uttarakhand,503,584,631,428,20
Uttar Pradesh,7469,7946,8818,8830,1
West Bengal,2304,2135,2150,2002,10
Andaman and Nicobar Islands,7,7,8,7,33
Chandigarh,24,16,16,13,32
Dadra and Nagar Haveli,0,0,0,0,34
Daman and Diu,0,5,0,0,34
Delhi,238,267,263,278,22
Lakshadweep,0,0,0,0,34
Puducherry,131,137,111,82,27
Total ,52075,53181,54046,53872,NA
