States/UTs,Total Number of  Persons Killed in Road Accidents on State Highways during 2016,Total Number of  Persons Killed in Road Accidents on State Highways during 2017,Total Number of  Persons Killed in Road Accidents on State Highways during 2018,Total Number of  Persons Killed in Road Accidents on State Highways during 2019 - Number,Total Number of  Persons Killed in Road Accidents on State Highways during 2019 - Rank
Andhra Pradesh,2017,1812,1897,2036,8
Arunachal Pradesh,44,34,58,44,23
Assam,681,557,681,659,18
Bihar,1436,1414,1474,1449,10
Chhattisgarh,926,964,1068,1166,13
Goa,35,45,25,34,25
Gujarat,2788,2376,2477,2226,6
Haryana,1243,1369,1486,1147,14
Himachal Pradesh,360,257,241,220,20
Jammu and Kashmir,70,102,108,89,21
Jharkhand,982,1035,1139,1019,15
Karnataka,3096,3102,3058,3178,4
Kerala,885,837,876,979,16
Madhya Pradesh,3040,2973,3180,3073,5
Maharashtra,3636,3622,3446,3344,3
Manipur,16,29,30,35,24
Meghalaya,22,51,6,20,29
Mizoram,17,15,14,25,27
Nagaland,0,7,13,4,32
Odisha,1467,1552,1475,1503,9
Punjab,1584,1087,1418,1302,12
Rajasthan,1928,1973,1925,2041,7
Sikkim,35,27,45,22,28
Tamil Nadu,5825,5691,4285,3418,2
Telangana,1438,1357,1165,902,17
Tripura,61,61,72,70,22
Uttarakhand,305,179,266,253,19
Uttar Pradesh,6210,5962,7179,6816,1
West Bengal,1882,1294,1435,1341,11
Andaman and Nicobar Islands,1,9,6,5,31
Chandigarh,0,0,0,0,34
Dadra and Nagar Haveli,0,0,22,28,26
Daman and Diu,2,0,0,4,32
Delhi,0,0,0,0,34
Lakshadweep,0,0,0,0,34
Puducherry,35,19,10,20,29
Total ,42067,39812,40580,38472,NA
