States/UTs,Total Number of Road Accidents on NH during 2016,Total Number of Road Accidents on NH during 2017,Total Number of Road Accidents on NH during 2018,Total Number of Road Accidents on NH during 2019 - Number,Total Number of Road Accidents on NH during 2019 - Rank
Andhra Pradesh,8171,8544,8122,7682,7
Arunachal Pradesh,95,88,89,95,29
Assam,3478,3274,3963,3988,12
Bihar,3138,3883,4016,4526,10
Chhattisgarh,4042,3701,3995,3811,13
Goa,1438,1470,1425,1244,21
Gujarat,4617,4333,3997,3511,15
Haryana,3818,3785,4358,3442,16
Himachal Pradesh,1475,1460,1455,1396,20
Jammu and Kashmir,2122,2139,2118,2081,18
Jharkhand,1935,1828,1616,2074,19
Karnataka,14933,14217,13638,13363,3
Kerala,9209,8993,9161,9459,5
Madhya Pradesh,10709,11150,9967,10440,4
Maharashtra,10364,9237,9355,8360,6
Manipur,325,372,329,395,25
Meghalaya,338,338,118,325,26
Mizoram,46,38,23,21,33
Nagaland,57,341,244,235,28
Odisha,4214,4487,4207,4148,11
Punjab,2114,2533,2821,2423,17
Rajasthan,6567,6851,6726,6883,9
Sikkim,90,83,64,59,31
Tamil Nadu,22573,20696,19583,17633,1
Telangana,6166,6211,6487,7352,8
Tripura,203,221,188,248,27
Uttarakhand,842,908,816,662,23
Uttar Pradesh,13078,14333,16198,16181,2
West Bengal,4468,4158,4071,3537,14
Andaman and Nicobar Islands,90,60,93,71,30
Chandigarh,47,33,46,36,32
Dadra and Nagar Haveli,0,0,0,0,34
Daman and Diu,0,9,0,0,34
Delhi,723,755,783,857,22
Lakshadweep,0,0,0,0,34
Puducherry,874,937,771,653,24
Total ,142359,141466,140843,137191,NA
