States/UTs,Total Number of  Road Accidents on State Highways during 2016,Total Number of  Road Accidents on State Highways during 2017,Total Number of  Road Accidents on State Highways during 2018,Total Number of  Road Accidents on State Highways during 2019 - Number,Total Number of  Road Accidents on State Highways during 2019 - Rank
Andhra Pradesh,5639,5657,6398,5288,7
Arunachal Pradesh,75,70,94,90,26
Assam,1999,1619,2111,2102,15
Bihar,2434,2258,2089,1945,16
Chhattisgarh,3164,3379,3136,3010,11
Goa,356,527,331,423,21
Gujarat,6309,5424,4952,4558,8
Haryana,2887,2898,3226,2306,14
Himachal Pradesh,820,777,650,578,20
Jammu and Kashmir,537,702,664,610,19
Jharkhand,1704,1678,1686,1458,18
Karnataka,11462,11193,10685,10446,4
Kerala,7135,7044,7552,8097,5
Madhya Pradesh,14456,14351,13910,13166,3
Maharashtra,9052,8508,7755,7214,6
Manipur,117,144,206,203,24
Meghalaya,102,201,9,50,29
Mizoram,27,14,13,36,31
Nagaland,0,119,111,69,27
Odisha,3328,3445,3104,3195,10
Punjab,2101,1601,1876,1815,17
Rajasthan,3695,3368,3504,3824,9
Sikkim,70,50,84,47,30
Tamil Nadu,23405,22527,22849,19279,1
Telangana,4090,3895,3521,2501,12
Tripura,217,183,186,213,23
Uttarakhand,568,332,342,342,22
Uttar Pradesh,11715,11529,13788,13402,2
West Bengal,3793,2458,2468,2403,13
Andaman and Nicobar Islands,19,50,101,68,28
Chandigarh,0,0,0,0,34
Dadra and Nagar Haveli,0,0,33,35,32
Daman and Diu,6,0,0,1,33
Delhi,0,0,0,0,34
Lakshadweep,0,0,0,0,34
Puducherry,373,157,136,202,25
Total ,121655,116158,117570,108976,NA
