State/Uts,Bicycles,Two Wheelers,Auto Rickshaws,"Cars, Taxis, Vans and LMV",Trucks/Lorries,Buses,Other Non-Motorizd Vehicles(E-rickshaw etc.),Others,Total
Andhra Pradesh,0,1190,313,581,669,252,4,343,3352
Arunachal Pradesh,0,26,0,0,0,0,0,0,26
Assam,0,225,50,408,153,105,1,89,1031
Bihar,0,557,108,784,1106,181,0,399,3135
Chhattisgarh,1,1024,9,371,697,99,28,665,2894
Goa,0,131,1,23,16,11,0,4,186
Gujarat,2,1012,141,663,564,135,13,225,2755
Haryana,3,235,37,581,319,84,144,211,1614
Himachal Pradesh,0,167,0,42,45,12,0,22,288
Jammu and Kashmir,0,70,11,45,2,22,0,21,171
Jharkhand,602,22,319,56,38,59,18,0,1114
Karnataka,0,1665,175,1024,797,499,9,297,4466
Kerala,0,1178,67,426,293,320,0,78,2362
Madhya Pradesh,32,1823,185,859,748,239,250,338,4474
Maharashtra,0,1768,208,1381,1067,206,40,1224,5894
Manipur,0,10,2,11,15,1,0,3,42
Meghalaya,0,12,0,0,0,0,0,0,12
Mizoram,0,4,0,1,4,2,0,0,11
Nagaland,0,0,0,3,1,1,0,0,5
Orissa,8,965,125,441,496,150,25,188,2398
Punjab,93,217,18,695,277,158,147,170,1775
Rajasthan,0,1409,9,740,192,180,0,22,2552
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,38,1449,120,1010,566,354,0,0,3537
Telangana,3,1443,109,502,749,201,0,10,3017
Tripura,0,50,11,13,12,0,0,3,89
Uttarakhand,0,43,3,70,123,41,0,62,342
Uttar Pradesh,186,2207,459,1320,1312,608,703,136,6931
West Bengal,0,141,12,236,340,81,1,219,1030
Andaman and Nicobar Island,0,4,0,1,4,2,2,0,13
Chandigarh,0,4,1,16,9,5,1,10,46
Dadra and Nagar Haveli,0,4,0,12,8,1,0,0,25
Daman and Diu,0,7,0,1,2,0,0,1,11
Delhi,0,107,27,146,93,68,0,49,490
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,0,21,0,18,6,3,0,0,48
Total,968,19190,2520,12480,10723,4080,1386,4789,56136
