Category,All States and UTs - 31.03.2019
A. Stage carriages,NA
Public (STU),129332
Private,160383
Total,289715
B. Contract carriages,NA
Auto rickshaw,3477813
E-rickshaw,4982
Ordinary taxi,244647
Motor Cab (SP),607751
Motor Cab (AIP),483877
Maxi Cab (SP),327140
Maxi Cab (AIP),79291
Omni Bus (SP),57212
Omni Bus (AIP),13417
Any other,139456
Total,5435586
C. Private Service Vehicles,NA
Educational Institution Bus,205847
Ambulance,52740
Fire Fighter,3284
Any other,44996
Total,306867
D. Goods carriages,NA
Lorry (SP),1412678
Lorry (NP),839634
Tankers (SP),348958
Tankers (NP),172887
Tractor & Trailer,1484516
Light Motor Vehicles,1671363
Multiaxled/Articulated (SP),382622
Multiaxled/Articulated (NP),211015
Any other,118434
Total,6642107
Grand Total (A+B+C+D),12674275
