Type of Vehicles,Newly registered - 2017-18,Total registered as on 31st March - 2018,Newly registered - 2018-19,Total registered as on 31st March - 2019
TRANSPORT,NA,NA,NA,NA
I.Multiaxled / Articulated Vehicles,145987,1569203,190691,1760130
II.Trucks and Lorries,339372,4963578,396556,5330182
III. Light Motor Vehicles (Goods),NA,NA,NA,NA
a) Four Wheelers,320660.1892,3696656.938,350741.1892,3985572.938
b) Three Wheelers,152655.8108,2543855.063,167307.8108,2689711.063
Total III,473316,6240512,518049,6675284
IV. Buses,NA,NA,NA,NA
a) Stage carriages,26777.28571,634951.8182,25668.28571,665001.8182
b) Contract carriages,19963.57143,322748.3636,17659.57143,341958.3636
c) Private service vehicles,10800.28571,127496.4545,12473.28571,137848.4545
d) Other buses,25550.85714,310845.3636,26382.85714,326815.3636
Total IV,83092,1396042,82184,1471624
V. Taxis,NA,NA,NA,NA
a) Motor cabs,151784.4839,1731819.5,166071.4839,1940082.5
b) Maxi cabs,55892.96774,853757.7917,54059.96774,865028.7917
c) Other taxis,23231.54839,290462.7083,18776.54839,306406.7083
Total V,230909,2876040,238908,3111518
VI. Light Motor Vehicles (Passengers),NA,NA,NA,NA
a) Three seaters,408618.3143,4148076,454536.3143,4526563
b) Four to six seaters,165541.6857,2092698,180577.6857,2264698
Total VI,574160,6240774,635114,6791261
VII. Motor cycles on hire,13086,154942,24193,169739
VIII. Other vehicles not included in (I-VII),58042,525030,56636,581666
Total Transport (I to VII)*,1917964,23966121,2142331,25891404
NON TRANSPORT,NA,NA,NA,NA
I. Two wheelers,NA,NA,NA,NA
a) Scooters,5964198.948,63866386.26,5835806.948,72362289.26
b) Mopeds,568367.887,13656405.95,584644.887,14144600.95
c) Motor cycles,12196064.16,125231896.8,12222313.16,134763164.8
Total I,18728631,202754689,18642765,221270055
II. Cars,2797170,30856869,2620250,32424868
III. Jeeps,165487,2720342,186930,2896339
IV. Omni buses,23538,546476,23740,577239
V. Tractors,572986,8184453,629559,8822014
VI. Trailers,91174,2128104,91964,2234061
VII. Other vehicles not covered,124462,1430116,225141,1655708
Total Non-Transport (I to VII),22503448,248621049,22420349,269880284
Grand Total (Transport + Non-Transport),24421412,272587170,24562680,295771688
