Million Plus Cities,2008 (in Thousand),2009 (in Thousand),2010 (in Thousand),2011 (in Thousand),2012 (in Thousand),2013 (in Thousand),2014 (in Thousand),2015 (in Thousand),2016 (in Thousand),2017 (in Thousand),2018 (in Thousand),2019 (in Thousand),CAGR
Agra,NA,NA,580,640,704,752,825,905,923,962,1012,1118,NA
Ahmedabad,1586,1691,NA,NA,1682,1796,3196,3420,3656,3905,4132,4265,9.69
Allahabad,NA,NA,NA,NA,738,747,817,897,1060,1023,1146,1264,NA
Allappuzha,NA,NA,NA,NA,NA,NA,NA,NA,198,210,210,210,NA
Aurangabad,NA,NA,NA,253,281,310,362,426,755,515,560,515,NA
Bengaluru,2640,3016,3491,3791,4156,4591,5050,5560,6113,6833,7406,8054,10.32
Bhopal,571,617,674,755,829,877,933,1080,1061,1256,1256,1256,7.37
Chandigarh,NA,NA,NA,NA,1058,1106,631,746,837,883,951,1013,NA
Chennai,2701,2919,3149,3456,3767,4072,4354,4934,4938,5299,5642,5997,7.47
Coimbatore,910,1002,1110,1241,1386,1528,1649,1901,1904,2059,2164,2278,8.56
Delhi,5899,6302,6747,7228,7350,7785,8293,8851,8851,10260,10686,11392,6.10
Dhanbad,NA,NA,31,41,462,490,521,563,604,651,651,651,NA
Durg Bhilai,NA,NA,NA,NA,445,490,721,769,817,815,910,958,NA
Faridabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7733,8600,NA
Ghaziabad,NA,NA,409,470,525,628,685,752,840,918,1007,1108,NA
Greater Mumbai,1605,1674,1768,1870,2029,2187,2333,2571,2820,3053,3318,3053,6.19
Gwalior,NA,NA,412,449,490,530,573,618,634,NA,0,0,NA
Hyderabad,2444,2682,2728,3033,3387,2040,2203,2369,2369,2715,2715,2715,NA
Indore,929,1007,1098,1213,1338,1491,1568,1713,1811,1935,1935,1935,6.75
Jabalpur,NA,NA,516,559,605,646,585,638,663,NA,0,0,NA
Jaipur,1289,1387,1549,1694,1871,1962,2121,2249,2424,2583,2773,2975,NA
Jamshedpur,NA,NA,56,67,682,682,421,472,59,266,266,266,NA
Jodhpur,NA,NA,577,636,868,793,854,916,977,1052,1115,1191,NA
Kannur,NA,NA,NA,NA,NA,NA,167,188,213,232,283,314,NA
Kanpur,598,642,940,1002,1067,1143,1227,1462,1542,1633,1746,1858,11.21
Kochi,247,303,322,409,480,547,576,606,501,NA,889,934,11.92
Kolkata,573,581,411,445,496,1278,1339,1402,741,800,800,800,3.25
Kollam,NA,NA,NA,NA,NA,NA,245,274,304,NA,310,356,NA
Kota,NA,NA,440,473,953,554,597,654,711,764,812,177,NA
Kozhikode,NA,NA,NA,NA,NA,NA,373,412,445,NA,412,466,NA
Lucknow,962,1025,1107,1211,1315,1424,1553,1710,1818,1978,2173,2341,8.61
Madurai,440,478,530,603,680,768,833,955,957,1037,1095,1161,9.28
Malappuram,NA,NA,NA,NA,NA,NA,257,277,304,324,374,445,NA
Meerut,NA,NA,387,423,420,412,459,525,567,624,718,799,NA
Nagpur,946,1009,1079,1157,1237,1270,1274,1276,1475,1527,1619,1527,4.23
Nashik,NA,NA,358,398,444,490,541,622,677,708,737,708,NA
Palakkad,NA,NA,NA,NA,NA,NA,NA,NA,252,267,267,267,NA
Patna,471,516,581,658,743,829,941,1019,1136,1258,1438,1578,11.83
Pune,1141,1153,1908,2094,2267,2347,2185,2337,2519,2717,2954,2717,8.95
Raipur,NA,NA,469,527,579,639,980,1112,1213,1324,1434,1532,NA
Rajkot,NA,NA,NA,NA,760,827,888,979,1804,1926,2067,2164,NA
Ranchi,NA,NA,NA,NA,729,684,74,547,613,765,765,765,NA
Srinagar,NA,NA,172,184,201,218,218,236,272,291,316,337,NA
Surat,982,1036,NA,NA,1145,1241,2244,2459,2666,2887,3169,3378,12.55
Trichy,NA,NA,400,457,521,593,649,763,764,831,856,879,NA
Thiruvananthapuram,NA,NA,NA,NA,NA,NA,535,572,616,813,813,813,NA
Thrissur,NA,NA,NA,NA,NA,NA,329,355,390,NA,NA,NA,NA
Varanasi,482,522,497,538,588,633,695,769,777,907,985,1058,NA
Vijayawada,NA,NA,523,466,553,517,568,610,663,NA,781,851,NA
Vadodara,934,1009,NA,NA,839,914,980,1042,1895,2022,2179,2315,8.66
Visakhapatnam,515,559,586,617,683,643,690,731,783,NA,64,965,5.61
Total ,28865,31130,35605,39058,51353,53473,60112,66244,70929,72827,87642,92317,11.48
