Million Plus Cities,Transport - Multi-axled/Articulated Vehicles,Transport - Trucks & Lorries,Transport - Light Motor Vehicles (Goods) - Four Wheelers,Transport - Light Motor Vehicles (Goods) - Three Wheelers,Transport - Light Motor Vehicles (Goods) - Stage carriage,Transport - Light Motor Vehicles (Goods) - Contract carriage,Transport - Light Motor Vehicles (Goods) - Private Service,Transport - Light Motor Vehicles (Goods) - Other Buses,Transport - Taxies - Motor cab,Transport - Taxies - Maxi cab,Transport - Taxies - Other taxis,Transport - Light Motor Vehicles (Passengers-Auto) - Three Seaters,Transport - Light Motor Vehicles (Passengers-Auto) - Four to Six Seaters,Transport - Motor Cycles on Hire,Transport - Other vehicles not covered,Transport - Total Transport,Non-Transport - Two-Wheelers - Scooters,Non-Transport - Two-Wheelers - Mopeds,Non-Transport - Two-Wheelers - Motor Cycles,Non-Transport - Cars,Non-Transport - Jeeps,Non-Transport - Omni Buses,Non-Transport - Tractors,Non-Transport - Trailers,Non-Transport - Others,Non-Transport - Total Non-Transport
Agra,2606,1882,4645,11806,136,364,366,1011,4002,814,148,12158,779,0,0,40717,0,17701,809318,119411,0,45,24679,1,59,971214
Ahmedabad,3490,43578,43188,66028,21028,7227,1147,974,0,6429,19693,185929,0,0,0,398711,2614381,303036,0,683810,31956,0,55821,29845,14165,3733014
Allahabad ,10120,9498,15997,656,718,334,231,1484,2810,356,213,7544,16744,0,0,66705,140421,58236,834274,23672,13077,81,5521,54,4051,1079387
Allapppuzha,674,2521,4799,2004,483,1530,80,0,2828,0,108,0,10517,0,1498,27042,0,0,148705,31917,NA,NA,271,0,2307,183200
Aurangabad ,2,6405,12063,12773,2536,824,816,712,29,0,1298,13369,0,0,0,50827,45607,20007,378302,33006,11902,183,11728,6203,2344,509282
Bengaluru,47566,65151,87852,46303,16121,2236,11350,16880,105062,37762,14426,185344,33589,0,52339,721981,5134055,0,0,1432374,7784,49709,15662,11677,32960,6684221
Bhopal,3590,5511,9574,11663,2724,2036,258,487,11305,0,1832,17431,0,0,0,66411,121986,0,855740,169138,0,19803,20400,0,2306,1189373
Chandigarh ,0,1236,8994,3386,565,165,1928,44,1883,507,82,6328,0,0,0,25118,203683,1400,208052,487641,24551,0,281,0,0,925608
Chennai,44143,64995,70384,22583,9731,14525,4184,14424,96910,38802,2256,125265,10400,0,0,518602,890067,609580,2545502,978315,12736,8820,2764,11775,63358,5122917
Coimbatore,2988,14467,13811,7917,3089,603,1469,4047,21502,6501,483,19687,998,0,0,97562,391426,330687,1028584,272692,5788,310,10088,1349,25460,2066384
Delhi,149277,0,610,69704,31562,0,11,44,98809,15483,912,104780,46627,2022,3641,523482,6955464,119852,NA,3087309,0,4,215,0,53,10162897
Dhanbad,0,27676,9348,2740,906,0,0,610,26,9,8460,16681,0,0,0,66456,29429,1338,462784,69176,12896,0,4721,4142,116,584602
Durg Bhilai,1261,17936,10032,4093,1119,451,1140,293,1098,165,0,2765,3512,0,0,43865,503095,124434,129662,64132,1829,7288,21962,11199,2591,866192
Faridabad,771093,275080,165205,16053,14651,21631,11656,11580,76141,2411,0,132197,159333,1844,0,1658875,5130044,51216,0,241346,165205,308,414785,0,71223,6074127
Ghaziabad ,2026,6499,11759,1390,226,719,1137,2290,9670,345,389,19590,2973,205,0,59218,207477,29562,475580,208304,4102,858,20446,495,1151,947975
Greater Mumbai,25,6120,30324,23629,5167,5751,1037,4000,44064,0,68083,176094,0,0,0,364294,630378,31187,1282964,973434,29513,3714,187,110,2103,2953590
Gwalior  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Hyderabad,1113,26080,44332,18968,4265,1057,905,2321,24626,5050,4572,0,87074,5050,0,225413,0,43403,1949096,436231,7373,25142,1899,690,25263,2489097
Indore,19193,36914,22682,19741,2434,4428,839,1526,6078,0,2532,23732,0,0,0,140099,24974,0,1435312,255835,0,39632,35227,0,3509,1794489
Jabalpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jaipur,0,95098,6754,15198,25746,0,0,0,41087,0,0,32252,8363,0,0,224498,2014461,0,0,393451,85602,0,51719,3342,0,2548575
Jamshedpur,35,3236,4145,2431,214,32,0,0,29,3006,0,5151,1152,0,0,19431,57459,9237,141877,28435,5430,32,2078,1754,0,246302
Jodhpur,0,63211,3687,11105,8618,0,0,0,12444,0,0,14105,2904,0,0,116074,801731,0,0,81207,36984,0,70258,8729,0,998909
Kannur,1495,2196,5638,3547,1503,1347,103,0,1683,0,1694,0,13382,0,1601,34189,87619,0,96107,52733,8231,116,85,0,3773,248664
Kanpur,578,28759,6271,4335,154,176,16,886,1789,733,0,3421,8740,81,0,55939,296261,43169,1054169,186452,82814,11622,15379,196,8,1690070
Kochi ,1721,5815,10811,2648,6376,2712,2694,NA,5679,NA,4684,NA,45383,NA,7142,95665,191624,NA,332926,257384,914,169,174,NA,9653,792844
Kolkata,NA,NA,12683,11190,2250,1688,563,1688,27315,13658,11381,13840,6920,30,0,103205,342119,NA,NA,353373,NA,NA,94,NA,1401,696987
Kollam ,1723,2962,4878,3664,935,1594,124,NA,1624,NA,165,NA,15966,NA,1567,35202,79306,NA,145637,36307,8367,195,1547,NA,3551,274910
Kota,0,21954,1816,2454,3974,0,0,0,4435,0,0,10451,3695,0,0,48779,636621,0,0,60161,30183,0,27879,8625,0,763469
Kozhikoda ,2289,5126,9811,4714,2094,2177,658,NA,3456,NA,419,NA,34743,NA,4031,69518,98013,NA,150256,80419,5918,158,437,NA,7314,342515
Lucknow ,4379,8894,20560,3601,310,54,114,3060,10081,1033,6440,4584,3345,81,0,66536,460306,75452,1178094,307004,49972,570,26407,1847,6768,2106420
Madurai,933,14245,9584,3574,3280,194,575,3105,13083,5806,479,21788,948,0,0,77594,130688,139144,640319,83445,1607,85,7487,2260,12196,1017231
Malappuram,6008,5019,10719,6576,1918,1749,63,0,2046,0,139,0,28593,0,2637,65467,84779,0,140383,56931,18375,279,602,0,6872,308221
Meerut ,1291,10886,8090,953,586,514,0,2519,1628,210,4648,5534,3931,0,0,40790,135804,17730,416033,92286,1004,20,13703,27,188,676795
Nagpur,1561,15956,22173,11963,1831,1224,1336,2955,13,0,7450,19165,0,0,0,85627,360563,284698,687426,144178,39940,851,5942,5462,4325,1533385
Nashik,52,57,435,13593,494,720,107,930,1092,0,1839,17414,0,NA,0,36733,104577,28816,436256,81066,11428,84,3431,28740,5854,700252
Palakkad,1720,2891,4535,3497,920,1526,117,0,1472,0,156,0,15586,0,1505,33925,0,0,187199,41063,0,0,1510,0,3517,233289
Patna,5146,35669,9356,7375,8637,0,0,0,18460,0,0,62825,0,0,0,147468,0,3039,1006358,190865,40627,0,27270,16115,5820,1290094
Pune,5841,29343,37752,27314,2149,8893,1061,3162,221,0,22688,45638,0,0,0,184062,402874,160665,1646781,485701,34312,718,19675,10349,9290,2770365
Raipur,7270,56523,24157,5926,1238,304,1960,520,5909,409,0,12759,1198,0,0,118173,710567,127764,267383,112211,2337,14377,43749,30050,7368,1315806
Rajkot,1890,31316,25729,32099,390,4019,519,798,0,2530,5166,31918,NA,0,0,136374,1321357,292684,NA,217527,5106,0,48248,34983,10565,1930470
Ranchi,1923,34012,10742,29798,0,0,0,5127,6860,6548,0,96,1,0,0,95107,0,11894,485028,127947,21525,0,16033,7642,0,670069
Srinagar,0,13497,5576,8174,4974,0,2154,458,0,7294,2213,12665,0,NA,0,57005,31119,11514,99804,105971,6518,0,1786,111,1919,258742
Surat,1027,32456,31473,41450,553,2185,543,1283,0,1355,3478,104411,0,0,0,220214,2201379,261793,NA,428386,19520,0,20865,11551,5301,2948795
Trichy,2749,11900,6051,8998,3032,166,233,1721,8207,3482,141,11736,636,0,0,59052,130887,252267,328797,67874,1003,80,6630,1531,7508,796577
Thiruvananthapuram,1671,5608,10350,2080,6354,2414,2668,0,4796,0,4501,0,40756,0,7545,88743,0,0,475045,238709,0,0,346,0,10069,724169
Thrissur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Varanasi ,4898,8589,15631,7232,1825,1085,2108,1921,5907,365,2709,19934,2668,4,0,74876,139831,51524,606934,66054,17182,259,17935,9362,1228,910309
Vijayawada ,2206,26620,11628,10024,2008,567,187,2117,6249,1424,842,NA,34298,36,1940,100146,NA,50764,522685,72898,1033,2473,9679,6493,14704,680729
Vadodara,9979,30485,30962,22503,203,3676,1785,302,0,5357,10224,75246,0,0,0,190722,1237962,391662,NA,277171,18291,0,38299,18233,7051,1988669
Visakhapatnam ,114,812,1120,309,68,19,1,26,872,165,86,NA,1912,105,405,6014,NA,3,48420,9051,NA,100,109,1,233,57917
TOTAL ,1127666,1214684,928716,649762,210095,102916,58243,95305,693280,168009,217029,1573827,647666,9458,85851,7782506,35080394,3955458,23637792,14304003,882935,188085,1126013,284943,399495,79859118
