Million Plus Cities,Transport - Multi-axled/Articulated Vehicles,Transport - Trucks and Lorries,Transport - Light Motor Vehicles (Goods) - Four Wheelers,Transport - Light Motor Vehicles (Goods) - Three Wheelers,Transport - Light Motor Vehicles (Goods) - Stage carriage,Transport - Light Motor Vehicles (Goods) - Contract carriage,Transport - Light Motor Vehicles (Goods) - Private Service,Transport - Light Motor Vehicles (Goods) - Other Buses,Transport - Taxies - Motor cab,Transport - Taxies - Maxi cab,Transport - Taxies - Other taxis,Transport - Light Motor Vehicles (Passengers-Auto) - Three Seaters,Transport - Light Motor Vehicles (Passengers-Auto) - Four to Six Seaters,Transport - Motor Cycles on Hire,Transport - Other vehicles not covered,Transport - Total Transport,Non-Transport - Two-Wheelers - Scooters,Non-Transport - Two-Wheelers - Mopeds,Non-Transport - Two-Wheelers - Motor Cycles,Non-Transport - Cars,Non-Transport - Jeeps,Non-Transport - Omni Buses,Non-Transport - Tractors,Non-Transport - Trailers,Non-Transport - Others,Non-Transport - Total Non-Transport
Agra,3199,2275,4940,13410,136,482,467,1015,4886,867,148,13526,1722,19,0,47092,0,19805,891677,132460,0,70,26850,1,112,1070975
Ahmedabad,3498,46097,43200,67745,21028,7773,1148,981,0,6656,21562,192095,0,0,0,411783,2702517,303903,0,714526,32337,0,55996,29856,14355,3853490
Allahabad ,11103,10677,18489,1863,746,516,232,1613,3296,484,224,7973,20483,13,0,77712,156006,59263,911773,31784,15803,96,7281,58,4116,1186180
Allapppuzha,674,2521,4799,2004,483,1530,80,0,2828,0,108,0,10517,0,1498,27042,0,0,148705,31917,NA,NA,271,0,2307,183200
Aurangabad ,0,6025,11229,12483,2536,684,813,699,29,0,1162,11723,0,0,0,47383,45597,19398,343551,28576,11902,183,10620,6119,2152,468098
Bengaluru,51951,69667,98989,49874,16536,2485,11936,18351,117940,40184,15400,202033,38703,0,66972,801021,5588029,0,0,1541017,8276,50628,17230,12846,34983,7253009
Bhopal,3590,5511,9574,11663,2724,2036,258,487,11305,0,1832,17431,0,0,0,66411,121986,0,855740,169138,0,19803,20400,0,2306,1189373
Chandigarh ,0,1375,9636,3619,570,165,1999,44,2103,517,0,6400,0,0,0,26428,231047,1500,224815,504401,24559,0,298,0,0,986620
Chennai,44892,65540,71402,22960,9929,14539,4322,14821,102645,39811,2256,139855,11481,0,0,544453,955850,616940,2738268,1032894,12746,8825,2856,11775,72017,5452171
Coimbatore,3101,14774,14173,8050,3203,611,1537,4231,23165,6651,483,21537,1126,0,0,102642,413436,333490,1091065,290923,5788,310,10249,1349,28562,2175172
Delhi,169535,0,1672,71856,32173,0,11,45,108868,15601,912,113240,65821,2022,3817,585573,7432574,123428,NA,3249670,0,4,247,0,55,10805978
Dhanbad,0,27676,9348,2740,906,0,0,610,26,9,8460,16681,0,0,0,66456,29429,1338,462784,69176,12896,0,4721,4142,116,584602
Durg Bhilai,1547,19653,10112,4290,1127,451,1213,352,1146,223,0,2990,3522,0,0,46626,529821,125797,140174,69066,1853,7419,22889,11388,2625,911032
Fridabad,857033,294031,183115,18099,14726,21893,13349,12253,93349,3081,0,148076,197159,3076,0,1859240,5699857,53440,0,276464,183115,373,453017,0,74162,6740428
Ghaziabad ,2509,8612,13249,1547,290,855,1137,2461,12137,406,389,19740,3846,604,0,67782,230625,29715,521530,229621,5569,859,20632,591,1357,1040499
Greater Mumbai,11,4321,26456,20373,4951,3924,1021,3781,57810,0,60752,137650,0,0,0,321050,613580,31063,1140014,911856,29513,3714,191,102,1818,2731851
Gwalior  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyderabad,1113,26080,44332,18968,4265,1057,905,2321,24626,5050,4572,0,87074,5050,0,225413,0,43403,1949096,436231,7373,25142,1899,690,25263,2489097
Indore,19193,36914,22682,19741,2434,4428,839,1526,6078,0,2532,23732,0,0,0,140099,24974,0,1435312,255835,0,39632,35227,0,3509,1794489
Jabalpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaipur,0,102591,7321,15475,26288,0,0,0,44110,0,0,33289,8851,3195,0,241120,2155505,0,0,424975,96213,0,53742,3360,0,2733795
Jamshedpur,35,3236,4145,2431,214,32,0,0,29,3006,0,5151,1152,0,0,19431,57459,9237,141877,28435,5430,32,2078,1754,0,246302
Jodhpur,0,67036,4507,11558,8847,0,0,0,13015,0,0,14830,3245,74,0,123112,857975,0,0,86852,41247,0,72712,8729,0,1067515
Kannur,1496,2299,6337,3902,1521,1388,105,0,1917,0,1696,0,13812,0,1627,36100,96507,0,109312,59102,8624,119,98,0,3914,277676
Kanpur,3149,29693,6848,6768,706,225,28,932,2470,1301,25,4218,12775,311,0,69449,320131,44754,1107681,198095,88641,11685,16794,270,221,1788272
Kochi ,1734,5917,10874,2821,6416,2729,2733,NA,5794,NA,4791,NA,45514,NA,7298,96621,207036,2,353017,266191,982,182,195,NA,9815,837420
Kolkata,NA,NA,12683,11190,2250,1688,563,1688,27315,13658,11381,13840,6920,30,0,103205,342119,NA,NA,353373,NA,NA,94,NA,1401,696987
Kollam ,1725,3054,5165,3852,946,1651,130,NA,1767,NA,172,NA,16332,NA,1636,36430,98896,NA,166988,40026,8568,199,1578,NA,3580,319835
Kota,0,23201,1966,2619,0,0,0,0,0,0,0,10599,3766,50,0,42201,0,0,0,61402,36020,0,28704,8685,0,134811
Kozhikoda ,2307,5219,9965,4836,2188,2336,829,NA,3818,NA,508,NA,36527,NA,4196,72729,112241,NA,174358,91526,7033,187,494,NA,7632,393471
