States/Union Territories,Two wheelers (I) - Scooters,Two wheelers (I) - Mopeds,Two wheelers (I) - Motor cycles,Cars (II),Jeeps (III),Omni buses (IV),Tractors (V),Trailers (VI),Other vehicles not covered (VII),Total Non-Transport (I TO VII),Grand Total (Transport + Non Transport)
Andhra Pradesh,0,1467,946649,76653,6,1796,32249,10041,5019,1073880,1196493
Arunachal Pradesh,6983,421,10151,6809,176,11,419,193,28,25191,28969
Assam,360295,0,NA,66095,0,137,12659,6148,0,445334,494520
Bihar,0,8484,969324,54534,6086,0,37537,15867,15808,1107640,1189161
Chhattisgarh,114328,17033,356240,36871,1227,2511,18681,3188,3795,553874,581903
Goa,44311,6209,0,18484,0,0,36,1,138,69179,76609
Gujarat,1153715,112105,0,272121,1460,0,46765,4527,7310,1598003,1742601
Haryana,0,2264,578007,34022,17103,59,37657,0,2939,672051,871915
Himachal Pradesh,73326,2836,0,48912,0,29,1345,0,1597,128045,139970
Jammu and Kashmir,4710,39771,52370,63941,109,2,NA,10,815,164404,179471
Jharkhand,62948,19892,265187,38798,5085,6,6262,5276,301,403755,444458
Karnataka,0,0,1271433,194890,1002,3356,31893,12987,8723,1524284,1688798
Kerala,327840,4,369688,226867,3156,42,556,0,1523,929676,993658
Madhya Pradesh,0,39838,117428,13564,0,9283,82591,0,12148,274852,347920
Maharashtra,161401,36398,1660416,296408,15759,111,54664,13055,11382,2249594,2538833
Manipur,33877,333,150,13770,1414,2,60,41,96,49743,54053
Meghalaya,9300,0,7782,9681,0,0,21,15,1400,28199,33178
Mizoram,0,32,18448,3729,0,0,7,0,0,22216,25688
Nagaland,6613,33,0,7401,0,0,31,18,2811,16907,40486
Odisha,126767,53480,480001,50213,0,0,14741,8451,67438,801091,856950
Punjab,690927,716,454,120472,0,5,22475,83,1587,836719,878459
Rajasthan,1113012,NA,NA,108479,55815,0,61078,714,0,1339098,1429943
Sikkim,286,0,389,1153,979,0,0,14,9,2830,3852
Tamil Nadu,252880,114841,1392285,196501,67,59,22832,101,63228,2042794,2132780
Telangana,0,391,836132,124701,82,4881,23165,9826,6886,1006064,1163252
Tripura,402,1,51093,4933,0,0,3,1,159,56592,60699
Uttarakhand,203644,0,0,43802,0,39,3142,982,627,252236,269006
Uttar Pradesh,300253,90229,2273999,222551,75230,1218,99916,395,6199,3069990,3291698
West Bengal,266778.9481,34056.88699,497798.1649,83042,0,0,15933,0,3084,900693,957049
Andaman and Nicobar Islands,6962,0,0,0,2162,0,0,17,0,9141,9912
Chandigarh,27364,100,16763,16760,8,0,17,0,0,61012,62500
Daman and Diu,3758,11,0,1664,0,0,19,3,23,5478,5996
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,477131,3576,0,162364,0,0,32,0,2,643105,705195
Lakshadweep,218,3,1392,65,4,0,32,0,0,1714,2007
Puducherry,5777,120,48734,0,0,193,65,10,66,54965,64698
Total,5835806.948,584644.887,12222313.16,2620250,186930,23740,629559,91964,225141,22420349,24562680
