States/Union Territories,Two wheelers (I) - Scooters,Two wheelers (I) - Mopeds,Two wheelers (I) - Motor cycles,Cars (II),Jeeps (III),Omni buses (IV),Tractors (V),Trailers (VI),Other vehicles not covered (VII),Total Non-Transport (I TO VII),Grand Total (Transport + Non Transport)
Andhra Pradesh,0,602,706957,89613,0,1614,22933,13695,17552,852966,1011259
Arunachal Pradesh,4983,191,8130,5958,96,7,268,106,19,19758,22519
Assam,298899,0,NA,63936,0,15,6304,1026,0,370180,411868
Bihar,0,9523,919262,49865,12668,0,32683,13900,11433,1049334,1118075
Chhattisgarh,119937,29438,306040,34922,1937,3616,18518,6932,3458,524798,551331
Goa,53289,6664,0,21022,0,0,39,0,150,81164,86798
Gujarat,1182499,99195,0,304135,5309,0,52701,3711,6276,1653826,1784349
Haryana,0,3186,509658,24851,11619,20,27699,0,1686,578719,735024
Himachal Pradesh,77427,2231,0,46955,0,19,268,1,1221,128122,139045
Jammu and Kashmir,4843,41132,51787,54065,101,1,NA,9,751,155440,168840
Jharkhand,62948,19892,265187,38798,5085,6,6262,5276,301,403755,444458
Karnataka,0,0,1150231,190345,852,3255,26909,12350,8064,1392006,1510391
Kerala,328011,3,400900,236984,3485,47,590,0,1659,971679,1038301
Madhya Pradesh,0,24173,1093164,112357,0,9084,78032,0,2764,1319574,1376684
Maharashtra,218151,44314,1727138,344605,17891,24,61615,4220,7451,2425409,2698688
Manipur,17760,937,105,8184,1134,22,52,18,115,28327,31900
Meghalaya,7197,4,7641,9280,38,0,31,17,204,24412,29967
Mizoram,0,177,14233,2576,0,1,0,0,0,16987,19875
Nagaland,2809,94,2893,4765,2106,0,88,6,2801,15562,37148
Odisha,145192,45009,535759,50209,800,0,18517,12523,7335,815344,866252
Punjab,637558,4229,39,118503,0,3,20564,81,1964,782941,819505
Rajasthan,1063802,NA,NA,107135,52000,0,62711,4600,0,1290248,1379444
Sikkim,286,0,389,1153,979,0,0,14,9,2830,3852
Tamil Nadu,451530,111753,1035625,199065,182,23,17423,688,35541,1851830,1933432
Telangana,0,1133,763839,118020,156,2320,18888,8493,4908,917757,1048944
Tripura,700,5,40031,4997,0,0,11,0,135,45879,52047
Uttarakhand,201069,0,0,46737,0,85,3113,2580,279,253863,271209
Uttar Pradesh,289256,83869,2102071,220169,46689,3274,78007,889,5249,2829473,3001405
West Bengal,266779,34057,497798,83042,0,0,15933,0,3084,900693,957049
Andaman and Nicobar Islands,6130,0,0,0,2346,0,0,30,0,8506,9580
Chandigarh,28205,125,17967,17969,8,0,6,0,0,64280,66009
Daman and Diu,3997,21,0,1770,0,0,5,3,28,5824,6212
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,476713,4747,0,181431,0,0,6,0,1,662898,720417
Lakshadweep,218,3,1392,65,4,0,32,0,0,1714,2007
Puducherry,14011,1661,37828,3689,2,102,27,6,24,57350,67528
Total,5964199,568368,12196064,2797170,165487,23538,572986,91174,124462,22503448,24421412
