States/Union Territories,Total Transport Vehicle during 2018-19 (incremental),Total Non-Transport Vehicle  during 2018-19 (ncremental)  ,Total Transport    upto 31.03.2019 (cummulative),Total Non-Transport   upto 31.03.2019 (cummulative),Total Transport +  non transport during 2018-19 (incremental),Total (Transport + Non Transport upto 31.3.2019)(cummulative)
Andhra Pradesh,122613,1073880,1508319,10484487,1196493,11992806
Arunachal Pradesh,3778,25191,39526,190630,28969,230156
Assam,49186,445334,455544,3480973,494520,3936517
Bihar,81521,1107640,719055,7834128,1189161,8553183
Chhattisgarh,28029,553874,348399,6026867,581903,6375266
Goa,7430,69179,138497,1263554,76609,1402051
Gujarat,144598,1598003,2276952,22924133,1742601,25201085
Haryana,199864,672051,1859240,6740428,871915,8599668
Himachal Pradesh,11925,128045,233202,1401625,139970,1634827
Jammu and Kashmir,15067,164404,282617,1571022,179471,1853639
Jharkhand,40703,403755,551774,2833573,444458,3385347
Karnataka,164514,1524284,1967589,19102962,1688798,21070551
Kerala,63982,929676,1661729,11673255,993658,13334984
Madhya Pradesh,73068,274852,674772,14621602,347920,15296374
Maharashtra,289239,2249594,3184668,32207499,2538833,35392167
Manipur,4310,49743,45412,316558,54053,361970
Meghalaya,4979,28199,98205,267599,33178,365804
Mizoram,3472,22216,37831,195736,25688,233567
Nagaland,23579,16907,232125,257563,40486,489688
Odisha,55859,801091,720470,7560407,856950,8280877
Punjab,41740,836719,568396,9991039,878459,10559435
Rajasthan,90845,1339098,1296656,16413293,1429943,17709949
Sikkim,1022,2830,20082,34024,3852,54106
Tamil Nadu,89986,2042794,2168622,28006556,2132780,30175178
Telangana,157188,1006064,1670076,10458196,1163252,12128272
Tripura,4107,56592,79897,415962,60699,495859
Uttarakhand,16770,252236,181515,2571170,269006,2752685
Uttar Pradesh,221708,3069990,1473481,31238573,3291698,32712054
West Bengal,56356,900693,712328,6733245,957049,7445573
Andaman and Nicobar Islands,771,9141,15591,125460,9912,141051
Chandigarh,1488,61012,24660,986620,62500,1011280
Daman and Diu,518,5478,8792,114730,5996,123522
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA
Delhi,62090,643105,585573,10805978,705195,11391551
Lakshadweep,293,1714,2476,15611,2007,18087
Puducherry,9733,54965,47333,1015226,64698,1062559
Total,2142331,22420349,25891404,269880284,24562680,295771688
