States/Union Territories,Total Transport Vehicle during 2017-18,Total Non-Transport Vehicle  during 2017-18   ,Total Transport    upto 31.03.2018 (cummulative),Total Non-Transport   upto 31.03.2018 (cummulative),Total Transport +  non transport during 2017-18 ,Total (Transport + Non Transport upto 31.3.2018) 
Andhra Pradesh,158293,852966,1385406,9410609,1011259,10796015
Arunachal Pradesh,2761,19758,33848,176025,22519,209873
Assam,41688,370180,406358,3035639,411868,3441997
Bihar,68741,1049334,637534,6726488,1118075,7364022
Chhattisgarh,26533,524798,320370,5472993,551331,5793363
Goa,5634,81164,131067,1194375,86798,1325442
Gujarat,130523,1653826,2165128,21655688,1784349,23820816
Haryana,156305,578719,1658875,6074127,735024,7733002
Himachal Pradesh,10923,128122,221277,1273580,139045,1494857
Jammu and Kashmir,13400,155440,267550,1406618,168840,1674168
Jharkhand,40703,403755,551774,2833573,444458,3385347
Karnataka,118385,1392006,1803075,17578678,1510391,19381753
Kerala,66622,971679,1597747,10743579,1038301,12341326
Madhya Pradesh,57110,1319574,652595,13917282,1376684,14569877
Maharashtra,273279,2425409,2895429,29957905,2698688,32853334
Manipur,3573,28327,41102,266815,31900,307917
Meghalaya,5555,24412,93226,239400,29967,332626
Mizoram,2888,16987,34359,173520,19875,207879
Nagaland,21586,15562,208546,240656,37148,449202
Odisha,50908,815344,664611,6759316,866252,7423927
Punjab,36564,782941,526656,9154320,819505,9680976
Rajasthan,89196,1290248,1205811,15074195,1379444,16280006
Sikkim,1022,2830,20082,34024,3852,54106
Tamil Nadu,81602,1851830,2078636,25963762,1933432,28042398
Telangana,131187,917757,1513070,9452132,1048944,10965202
Tripura,6168,45879,75775,359355,52047,435130
Uttarakhand,17346,253863,166740,2313700,271209,2480440
Uttar Pradesh,171932,2829473,1285314,28109502,3001405,29394816
West Bengal,56356,900693,712328,6733245,957049,7445573
Andaman and Nicobar Islands,1074,8506,14820,116319,9580,131139
Chandigarh,1729,64280,25180,925608,66009,950788
Daman and Diu,388,5824,8274,109252,6212,117526
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA
Delhi,57519,662898,523482,10162897,720417,10686379
Lakshadweep,293,1714,2476,15611,2007,18087
Puducherry,10178,57350,37600,960261,67528,997861
Total,1917964,22503448,23966121,248621049,24421412,272587170
