States/Union Territories,Two wheelers (I) - Scooters,Two wheelers (I) - Mopeds,Two wheelers (I) - Motor cycles,Cars (II),Jeeps (III),Omni buses (IV),Tractors (V),Trailers (VI),Other vehicles not covered (VII),Total Non-Transport (I TO VII)
Andhra Pradesh,0,279850,9047038,730865,10524,29099,209399,134429,43283,10484487
Arunachal Pradesh,39405,3684,65170,67553,5228,39,1490,927,7134,190630
Assam,2633984,0,NA,750228,0,1616,66285,28860,0,3480973
Bihar,0,35383,6502794,404481,152643,0,458114,225873,54840,7834128
Chhattisgarh,2933738,543049,1707998,353854,25187,60568,242939,131967,27567,6026867
Goa,963894,0,0,290540,0,0,3963,1,5156,1263554
Gujarat,15801542,2646829,0,3011656,195031,0,773221,393045,102809,22924133
Haryana,0,53440,5699857,276464,183115,373,453017,0,74162,6740428
Himachal Pradesh,824302,10436,0,414111,22411,2047,7810,110,120398,1401625
Jammu and Kashmir,226056,96534,613953,538554,15355,35974,NA,896,15992,1571022
Jharkhand,248829,128595,1887527,352510,64614,34,80816,64659,5989,2833573
Karnataka,0,0,15376777,2495728,48173,137501,557779,361082,125922,19102962
Kerala,3895064,85,4725532,2704841,149020,2715,14296,0,181702,11673255
Madhya Pradesh,0,856703,12192002,115973,0,160511,1243358,0,53055,14621602
Maharashtra,4263186,1728929,19974672,4347089,568741,18887,771297,414173,120525,32207499
Manipur,224473,10921,7322,53026,16033,1150,1629,308,1696,316558
Meghalaya,132321,0,0,100922,23114,0,936,2909,7397,267599
Mizoram,0,1225,146158,48239,0,1,87,26,0,195736
Nagaland,82333,16944,0,86729,36496,498,2987,1092,30484,257563
Odisha,385400,154016,6072458,450648,49469,3668,177132,145558,122058,7560407
Punjab,7550265,189150,454,1749457,0,14,446354,10807,44538,9991039
Rajasthan,13427241,NA,NA,1204005,543181,0,1153510,85356,0,16413293
Sikkim,1717,0,3345,18662,9928,0,0,217,155,34024
Tamil Nadu,3749429,5493426,15209809,2711335,60911,20436,290886,80871,389453,28006556
Telangana,0,226185,8506055,1332233,16124,60525,176438,102761,37875,10458196
Tripura,40,1872,350912,59812,0,99,299,644,2284,415962
Uttarakhand,2012414,0,0,471374,0,1535,72832,9495,3520,2571170
Uttar Pradesh,3082048,914728,22600224,2439845,649405,35444,1447604,36118,33157,31238573
West Bengal,1921492,428198,3245667,961369,0,0,136112,0,40407,6733245
Andaman and Nicobar Islands,99494,0,0,0,25080,0,0,886,0,125460
Chandigarh,231047,1500,224815,504401,24559,0,298,0,0,986620
Daman and Diu,32338,5510,41524,33770,610,51,453,230,244,114730
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,7432574,123428,0,3249670,0,4,247,0,55,10805978
Lakshadweep,2664,530,11514,155,36,39,171,0,502,15611
Puducherry,164999,193451,549588,94769,1351,4411,2547,761,3349,1015226
Total,72362289.26,14144600.95,134763165,32424868,2896339,577239,8822014,2234061,1655708,269880284
