States/Union Territories,Two wheelers (I) - Scooters,Two wheelers (I) - Mopeds,Two wheelers (I) - Motor cycles,Cars (II),Jeeps (III),Omni buses (IV),Tractors (V),Trailers (VI),Other vehicles not covered (VII),Total Non-Transport (I TO VII)
Andhra Pradesh,0,278383,8100389,654214,10518,27303,177150,124388,38264,9410609
Arunachal Pradesh,32152,2532,63015,66352,3911,34,1301,723,6005,176025
Assam,0,0,2273689,684133,0,1479,53626,22712,0,3035639
Bihar,0,26899,5533470,349947,146557,0,420577,210006,39032,6726488
Chhattisgarh,2819410,526016,1351758,316983,23960,58057,224258,128779,23772,5472993
Goa,0,0,913374,272056,0,0,3927,0,5018,1194375
Gujarat,14880428,2564078,0,2794957,192789,0,741633,390276,91527,21655688
Haryana,0,51216,5130044,241346,165205,308,414785,0,71223,6074127
Himachal Pradesh,750976,7600,0,365199,22411,2018,6465,110,118801,1273580
Jammu and Kashmir,221346,56763,561583,474613,15246,35972,NA,886,15177,1406618
Jharkhand,248829,128595,1887527,352510,64614,34,80816,64659,5989,2833573
Karnataka,0,0,14105344,2300838,47171,134145,525886,348095,117199,17578678
Kerala,3567224,81,4355844,2477974,145864,2673,13740,0,180179,10743579
Madhya Pradesh,0,817767,10779188,982124,0,144734,1152821,0,40648,13917282
Maharashtra,4101785,1692531,18314256,4050681,552982,18776,716633,401118,109143,29957905
Manipur,190596,10588,7172,39256,14619,1148,1569,267,1600,266815
Meghalaya,115239,0,0,91241,23114,0,915,2894,5997,239400
Mizoram,0,1193,127710,44510,0,1,80,26,0,173520
Nagaland,40085,16911,35635,79328,36496,498,2956,1074,27673,240656
Odisha,258633,100536,5592457,400435,49469,3668,162391,137107,54620,6759316
Punjab,6859338,188434,0,1628985,0,9,423879,10724,42951,9154320
Rajasthan,12314229,NA,NA,1095526,487366,0,1092432,84642,0,15074195
Sikkim,1717,0,3345,18662,9928,0,0,217,155,34024
Tamil Nadu,3496549,5378585,13817524,2514834,60844,20377,268054,80770,326225,25963762
Telangana,0,225794,7669923,1207532,16042,55644,153273,92935,30989,9452132
Tripura,1910,400,299019,54879,0,56,296,739,2056,359355
Uttarakhand,1825226,0,0,438622,0,216,40283,5325,4028,2313700
Uttar Pradesh,2777077,832694,20302020,2195783,581770,35014,1339980,17785,27379,28109502
West Bengal,1921492,428198,3245667,961369,0,0,136112,0,40407,6733245
Andaman and Nicobar Islands,92532,0,0,0,22918,0,0,869,0,116319
Chandigarh,203683,1400,208052,487641,24551,0,281,0,0,925608
Daman and Diu,28580,5499,41524,32106,610,51,434,227,221,109252
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,6955464,119852,0,3087309,0,4,215,0,53,10162897
Lakshadweep,2664,530,11514,155,36,39,171,0,502,15611
Puducherry,159222,193331,500854,94769,1351,4218,2482,751,3283,960261
Total,63866386.26,13656405.95,125231897,30856869,2720342,546476,8184453,2128104,1430116,248621049
