States/Union Territories,Multiaxled/Articulated Vehicles (I),Trucks and Lorries (II),Light Motor Vehicles (Goods) (II) - Four Wheelers,Light Motor Vehicles (Goods) (II) - Three Wheelers,Buses (IV) - Stage carriages,Buses (IV) - Contract carriages,Buses (IV) - Private service vehicles,Buses (IV) - Other buses,Taxis (V) - Motor cabs,Taxis (V) - Maxi cabs,Taxis (V) - Other taxis,Light Motor Vehicles (Passengers) (VI) - Three seaters,Light Motor Vehicles (Passengers) (VI) - Four to six seaters,Motor cycles on hire (VII),Other vehicles not included in (I-VII),Total Transport (I TO VII)
Andhra Pradesh,9956,196862,177564,90024,19239,5514,2258,27387,47179,25489,19187,0,567990,245,319425,1508319
Arunachal Pradesh,1544,6367,7292,2566,681,6677,1189,763,85,1015,65,7010,4272,0,0,39526
Assam,5449,149944,125926,48636,2017,17647,0,4434,12243,7142,53144,28962,0,0,0,455544
Bihar,11509,117158,70082,32733,39618,0,0,0,107311,0,0,340644,0,0,0,719055
Chhattisgarh,36235,114486,90563,19890,6908,1359,7345,3034,19744,853,0,41936,6046,0,0,348399
Goa,4730,39319,0,18327,0,0,0,12411,0,0,24516,4559,0,30735,3900,138497
Gujarat,37519,419780,356005,386594,32235,35930,8804,9187,89358,53117,0,848423,0,0,0,2276952
Haryana,857033,294031,183115,18099,14726,21893,13349,12253,93349,3081,0,251886,93349,3076,0,1859240
Himachal Pradesh,31,81824,91513,3914,6485,4104,847,1139,24173,14071,0,5101,0,0,0,233202
Jammu and Kashmir,436,66616,48285,45428,18290,5954,NA,901,13132,35267,11833,27546,2940,390,0,282617
Jharkhand,3695,89043,117486,82708,1220,3247,654,5277,9301,12129,16624,58101,31396,120893,0,551774
Karnataka,91047,252334,320500,162740,45974,4002,19047,38340,227556,97394,20967,469191,51883,0,166614,1967589
Kerala,68786,129351,278890,155705,45206,77133,5633,0,127811,0,9370,0,677922,124,85798,1661729
Madhya Pradesh,64509,261782,96700,0,24304,22014,0,6814,0,22225,58701,117723,0,0,0,674772
Maharashtra,62961,520878,665583,450295,37586,65130,12659,45532,65591,284168,0,974285,0,0,0,3184668
Manipur,1651,15437,1637,1296,1568,120,8,33,3165,4289,44,4481,11683,0,0,45412
Meghalaya,0,32711,15426,0,5921,0,0,0,28206,0,0,15941,0,0,0,98205
Mizoram,2,5887,13127,75,706,13,6,0,7670,3605,0,6098,155,487,0,37831
Nagaland,55628,113323,17476,8529,2246,3098,401,838,7234,2044,873,19446,989,0,0,232125
Odisha,91867,124813,108506,87692,18037,8012,2345,3069,68955,34987,3990,158154,10043,0,0,720470
Punjab,128,363919,14757,0,49257,0,0,0,65086,0,0,7825,67203,221,0,568396
Rajasthan,0,665926,50480,77911,118301,NA,NA,NA,160994,NA,NA,167779,50862,4313,90,1296656
Sikkim,126,3721,1585,0,263,0,53,47,7487,5734,1061,0,0,5,0,20082
Tamil Nadu,118082,483564,312077,133661,67634,22049,28075,83511,282715,151241,12180,441567,32266,0,0,2168622
Telangana,5186,380506,204631,487053,17458,8385,2762,27191,103450,27537,7992,522,392189,5214,0,1670076
Tripura,141,12019,18030,4209,2900,75,0,0,8630,671,0,32961,261,0,0,79897
Uttarakhand,82054,0,0,0,15108,0,0,0,50594,0,0,33054,0,705,0,181515
Uttar Pradesh,148656,208172,334998,85576,18206,15389,22378,30558,115240,21531,34613,273862,161001,3301,0,1473481
West Bengal,0,0,235857,208109,17078,12808,4269,12808,68407,39904,28503,56370,28185,30,0,712328
Andaman and Nicobar Islands,0,3048,1951,230,1119,0,0,0,489,0,0,4508,4246,0,0,15591
Chandigarh,0,1375,9636,3639,570,165,20,44,2103,517,0,6400,191,0,0,24660
Daman and Diu,1121,4157,796,1191,0,0,6,38,38,38,42,1343,22,0,0,8792
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,0,169535,1672,71856,32173,0,11,45,108868,15601,912,113240,65821,0,5839,585573
Lakshadweep,0,0,529,801,0,0,0,0,319,32,28,767,0,0,0,2476
Puducherry,48,2294,12898,224,1968,1240,130,1161,13600,1347,1762,6878,3783,0,0,47333
Total,1760130,5330182,3985573,2689711,665002,341958,137848,326815,1940083,865029,306407,4526563,2264698,169739,581666,25891404
