States/Union Territories,Multiaxled/Articulated Vehicles (I),Trucks and Lorries (II),Light Motor Vehicles (Goods) (II) - Four Wheelers,Light Motor Vehicles (Goods) (II) - Three Wheelers,Buses (IV) - Stage carriages,Buses (IV) - Contract carriages,Buses (IV) - Private service vehicles,Buses (IV) - Other buses,Taxis (V) - Motor cabs,Taxis (V) - Maxi cabs,Taxis (V) - Other taxis,Light Motor Vehicles (Passengers) (VI) - Three seaters,Light Motor Vehicles (Passengers) (VI) - Four to six seaters,Motor cycles on hire (VII),Other vehicles not included in (I-VII),Total Transport (I TO VII)
Andhra Pradesh,8514,180387,159956,79857,18239,4429,2129,25747,44256,24193,18503,0,534713,110,284373,1385406
Arunachal Pradesh,1255,6156,6383,2061,572,4968,987,681,74,893,47,6911,2860,0,0,33848
Assam,4383,144502,106965,42859,2017,16865,0,3968,8821,6125,50601,19252,0,0,0,406358
Bihar,9960,106523,55219,25356,36584,0,0,0,102384,0,0,301508,0,0,0,637534
Chhattisgarh,33604,104626,82194,19226,6382,1265,6993,2498,18637,752,0,38230,5963,0,0,320370
Goa,4730,39319,0,18323,0,0,0,12195,0,0,21437,4483,0,28721,1859,131067
Gujarat,36307,389492,343893,372638,31729,34160,7909,7289,83906,50931,0,806874,0,0,0,2165128
Haryana,771093,275080,165205,16053,14651,21631,11656,11580,76141,2411,0,215389,76141,1844,0,1658875
Himachal Pradesh,31,79588,85294,3843,6403,3631,712,1075,22196,13597,0,4907,0,0,0,221277
Jammu and Kashmir,331,62088,43842,41871,17906,5933,NA,784,13011,34803,11833,26941,2732,390,0,267550
Jharkhand,3695,89043,117486,82708,1220,3247,654,5277,9301,12129,16624,58101,31396,120893,0,551774
Karnataka,81240,239530,283628,152260,44634,3649,18157,35005,205851,92812,19794,431353,46384,0,148778,1803075
Kerala,68697,127298,261255,149312,44700,72805,5452,0,118995,0,9298,0,655628,40,84267,1597747
Madhya Pradesh,56306,233448,89239,0,22612,21366,0,6390,0,22112,55045,146077,0,0,0,652595
Maharashtra,57718,479446,602256,434986,37245,60244,12001,42217,61659,257767,0,849890,0,0,0,2895429
Manipur,1400,13452,1305,1206,1385,120,7,29,2981,4071,9,4075,11062,0,0,41102
Meghalaya,0,31635,14500,0,5826,0,0,0,26275,0,0,14990,0,0,0,93226
Mizoram,2,5519,11438,75,681,11,6,0,7133,3359,0,5777,110,248,0,34359
Nagaland,48930,100107,15968,8473,1969,3053,326,755,6751,1840,846,18542,986,0,0,208546
Odisha,66454,122107,108506,82718,16668,7727,2127,2796,62999,34987,3990,143489,10043,0,0,664611
Punjab,91,340153,13586,0,42486,0,338,3330,21538,37580,0,299,67145,110,0,526656
Rajasthan,0,613055,44517,74533,113964,NA,NA,NA,152429,NA,NA,160015,47208,0,90,1205811
Sikkim,126,3721,1585,0,263,0,53,47,7487,5734,1061,0,0,5,0,20082
Tamil Nadu,113512,474489,304908,131009,65252,21946,26531,79716,266282,147407,12180,405790,29614,0,0,2078636
Telangana,4829,344953,181060,443454,17134,7923,2624,25120,91516,25740,7990,521,358700,1506,0,1513070
Tripura,141,11436,16405,3828,2556,320,0,0,5245,504,0,31844,3496,0,0,75775
Uttarakhand,74550,0,17227,0,13132,0,0,0,40328,0,0,20885,0,618,0,166740
Uttar Pradesh,120200,186896,302047,73647,16664,13365,17431,30292,100468,16919,29876,251167,125915,427,0,1285314
West Bengal,0,0,235857,208109,17078,12808,4269,12808,68407,39904,28503,56370,28185,30,0,712328
Andaman and Nicobar Islands,0,2934,1766,197,1101,0,0,0,489,0,0,4406,3927,0,0,14820
Chandigarh,0,1236,8994,3388,565,165,1928,44,1883,507,82,6328,60,0,0,25180
Daman and Diu,1075,3788,796,1182,0,0,0,16,17,27,42,1309,22,0,0,8274
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,0,149277,610,69704,31562,0,11,44,98809,15483,912,104780,46627,0,5663,523482
Lakshadweep,0,0,529,801,0,0,0,0,319,32,28,767,0,0,0,2476
Puducherry,29,2294,12238,178,1772,1117,110,1142,5232,1139,1762,6806,3781,0,0,37600
Total,1569203,4963578,3696657,2543855,634952,322748,127496,310845,1731820,853758,290463,4148076,2092698,154942,525030,23966121
