STATES/UTs,Licences valid at the end of the year i.e upto 31.3.2018 (Cummulative) - Male,Licences valid at the end of the year i.e upto 31.3.2018 (Cummulative) - Female,Licences valid at the end of the year i.e upto 31.3.2018 (Cummulative) - Total,New licences issued during the year i.e during  2017-18 (Incremental) - Male,New licences issued during the year i.e during  2017-18 (Incremental) - Female,New licences issued during the year i.e during  2017-18 (Incremental) - Total
Andhra Pradesh ,58309,16781,75090,566,91,657
Arunachal Pradesh ,576,146,722,367,191,558
Assam,42998,0,42998,760,0,760
Bihar,583,NA,583,21,NA,21
Chhattisgarh,4385,0,4385,74,0,74
Goa,6374,2130,8504,125,2,127
Gujarat,0,0,71777,20515,4809,25324
Haryana ,71651,0,71651,69455,0,69455
Himachal Pradesh,29867,340,30207,9652,225,9877
Jammu and Kashmir,644,0,644,82,0,82
Jharkhand,66900,2463,69363,9837,686,10523
Karnataka,936839,109620,1046459,10136,981,11117
Kerala,106886,7645,114531,3471,409,3880
Madhya Pradesh ,0,0,0,0,0,0
Maharashtra,1335201,230608,1565809,17509,4533,22042
Manipur,NA,NA,NA,NA,NA,NA
Meghalaya,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0
Nagaland,754,0,754,0,0,0
Odisha,0,0,0,0,0,0
Punjab ,8,0,8,425,23,448
Rajasthan ,0,0,230902,0,0,13400
Sikkim,2928,632,3560,2894,630,3524
Tamil Nadu,766836,18742,785578,14810,91,14901
Telangana,6002,818,6820,485,93,578
Tripura ,626,3,629,90,1,91
Uttarakhand,7676,85,7761,2304,79,2383
Uttar Pradesh,220976,238,221214,13092,62,13154
West Bengal,0,0,0,0,0,0
Andaman and Nicobar Islands,0,0,0,0,0,0
Chandigarh,6777,3048,9825,840,236,1076
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA
Daman and Diu,NA,NA,NA,NA,NA,NA
Delhi ,17159,653,17812,2545,134,2679
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
Total,3690955,393952,4387586,180055,13276,206731
