STATES / UTs ,Professional - Authorised to drive public Service Vehicles - Male,Professional - Authorised to drive public Service Vehicles - Female,Professional - Authorised to drive public Service Vehicles - Total,Professional - Others - Male,Professional - Others - Female,Professional - Others - Total,Non professional - Male,Non professional - Female,Non professional - Total,Total - Male,Total - Male,Total - Total,%age Share of total  Male Driver Licences,%age Share of Total Female Driver Licences
Andhra Pradesh ,41598,156,41754,10491,132,10623,603802,44301,648103,655891,44589,700480,93.63,6.37
Arunachal Pradesh ,3091,0,3091,4272,22,4294,22679,6022,28701,30042,6044,36086,83.25,16.75
Assam,2043,NA,2043,2722,36,2758,146105,14686,160791,150870,14722,165592,91.11,8.89
Bihar,7391,5,7396,12646,60,12706,256336,11819,268155,276373,11884,288257,95.88,4.12
Chhattisgarh,7739,152,7891,7093,1128,8221,126292,16234,142526,141124,17514,158638,88.96,11.04
Goa,135,3,138,1197,13,1210,24195,15417,39612,25527,15433,40960,62.32,37.68
Gujarat,40155,67,40222,32527,47,32574,655437,98988,754425,728119,99102,827221,88.02,11.98
Haryana ,469,3,472,0,0,0,282422,51522,333944,282891,51525,334416,84.59,15.41
Himachal Pradesh ,5045,15,5060,5944,8,5952,131600,13080,144680,142589,13103,155692,91.58,8.42
Jammu and Kashmir,7746,0,7746,5776,1,5777,59310,14905,74215,72832,14906,87738,83.01,16.99
Jharkhand,193,0,193,478,3,481,161786,32497,194283,162457,32500,194957,83.33,16.67
Karnataka ,80744,272,81016,65822,9301,75123,657302,147529,804831,803868,157102,960970,83.65,16.35
Kerala,26070,90,26160,26283,90,26373,144273,428834,573107,196626,429014,625640,31.43,68.57
Madhya Pradesh,216430,1968,218398,0,0,0,587821,84018,671839,804251,85986,890237,90.34,9.66
Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manipur,214,NA,214,990,0,990,30378,2661,33039,31582,2661,34243,92.23,7.77
Meghalaya,3305,NA,3305,NA,NA,0,35293,5627,40920,38598,5627,44225,87.28,12.72
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,225,1,226,1933,2,1935,12447,1701,14148,14605,1704,16309,89.55,10.45
Odisha,9492,3,9495,13256,7,13263,309639,28209,337848,332387,28219,360606,92.17,7.83
Punjab ,31803,74,31877,37612,54,37666,343324,49575,392899,412739,49703,462442,89.25,10.75
Rajasthan,0,0,0,0,0,51358,481911,71653,553564,0,0,604922,0,0
Sikkim ,1463,6,1469,19,0,19,4643,922,5565,6119,928,7053,86.76,13.16
Tamil Nadu,77711,810,78521,92853,1389,94242,835191,300619,1135810,1005755,302818,1308573,76.86,23.14
Telangana,27671,144,27815,4082,19,4101,408199,38002,446201,439952,38165,478117,92.02,7.98
Tripura,1768,0,1768,0,0,0,54186,2274,56460,55954,2274,58228,96.09,3.91
Uttarakhand,8145,2,8147,2245,3,2248,115820,26089,141909,126210,26094,152304,82.87,17.13
Uttar Pradesh,134784,17,134801,1729,38,1767,1067830,86395,1154225,1204343,86450,1290793,93.3,6.7
West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,214,4,218,600,0,600,5335,527,5862,6149,531,6680,92.05,7.95
Chandigarh,0,0,0,725,4,729,8628,2974,11602,9353,2978,12331,75.85,24.15
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,9316,344,9660,3793,7,3800,202887,27963,230850,215996,28314,244310,88.41,11.59
Lakshadweep,0,0,0,312,0,312,1367,137,1504,1679,137,1816,92.46,7.54
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,744960,4136,749096,335400,12364,399122,7776438,1625180,9401618,8374881,1570027,10549836,79.38,14.88
