States/UTs,Total registered motor vehicles (2017-18),%age share (2017-18),Total registered motor vehicles (2018-19),%age share (2018-19)
Andhra Pradesh,10796015,3.96,11992806,4.05
Arunachal Pradesh,209873,0.08,230156,0.08
Assam,3441997,1.26,3936517,1.33
Bihar,7364022,2.7,8553183,2.89
Chhattisgarh,5793363,2.13,6375266,2.16
Goa,1325442,0.49,1402051,0.47
Gujarat,23820816,8.74,25201085,8.52
Haryana,7733002,2.84,8599668,2.91
Himachal Pradesh,1494857,0.55,1634827,0.55
Jammu and Kashmir,1674168,0.61,1853639,0.63
Jharkhand,3385347,1.24,3385347,1.14
Karnataka,19381753,7.11,21070551,7.12
Kerala,12341326,4.53,13334984,4.51
Madhya Pradesh,14569877,5.35,15296374,5.17
Maharashtra,32853334,12.05,35392167,11.97
Manipur,307917,0.11,361970,0.12
Meghalaya,332626,0.12,365804,0.12
Mizoram,207879,0.08,233567,0.08
Nagaland,449202,0.16,489688,0.17
Odisha,7423927,2.72,8280877,2.8
Punjab,9680976,3.55,10559435,3.57
Rajasthan,16280006,5.97,17709949,5.99
Sikkim,54106,0.02,54106,0.02
Tamil Nadu,28042398,10.29,30175178,10.2
Telangana,10965202,4.02,12128272,4.1
Tripura,435130,0.16,495859,0.17
Uttarakhand,2480440,0.91,2752685,0.93
Uttar Pradesh,29394816,10.78,32712054,11.06
West Bengal,7445573,2.73,7445573,2.52
Andaman and Nicobar Islands,131139,0.05,141051,0.05
Chandigarh,950788,0.35,1011280,0.34
Dadra and Nagar Haveli,117526,0.04,123522,0.04
Daman and Diu,NA,NA,NA,NA
Delhi,10686379,3.92,11391551,3.85
Lakshadweep,18087,0.01,18087,0.01
Puducherry,997861,0.37,1062559,0.36
Total All India,272587170,100,295771688,100
